id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,LinkedIn Jobs,Global professional network and job search,Global Job Board,Remote / Global,Global,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.linkedin.com/jobs/
2,Indeed,Global job search and matching platform,Global Job Board,Remote / Global,60+ countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.indeed.com/
3,Glassdoor,"Jobs, company reviews and salary research",Global Job Board,Remote / Global,Global,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.glassdoor.com/
5,Jooble,International job aggregator,Global Job Board,Remote / Global,66 countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://jooble.org/
6,Careerjet,International job search engine,Global Job Board,Remote / Global,130+ countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.careerjet.com/
7,Talent.com,Global job search platform,Global Job Board,Remote / Global,77 countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.talent.com/
8,Adzuna,Global job search engine and labour-market data,Global Job Board,Remote / Global,Multiple countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.adzuna.com/
9,Jobrapido,International job search engine,Global Job Board,Remote / Global,Global,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.jobrapido.com/
10,Jobsora,International job search platform,Global Job Board,Remote / Global,Multiple countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://jobsora.com/
11,Monster,General job board,Global Job Board,Remote / Global,Global / selected markets,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.monster.com/
12,ZipRecruiter,Job marketplace and matching platform,Global Job Board,Remote / Global,Selected countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.ziprecruiter.com/
13,SimplyHired,General job search engine,Global Job Board,Remote / Global,Multiple countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.simplyhired.com/
14,Jora,International job search engine,Global Job Board,Remote / Global,Multiple countries,,Medium,Monitoring,,2026-07-20,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route.",Official platform,https://www.jora.com/
