id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,africaCategory,africaRegion,headquarters,fundingModel,operatingStatus,careersLinkQuality,organizationClass,activeInCountry,regionalOffice
1,African Union,Continental intergovernmental organization,Pan-African Institution,Africa-wide,Ethiopia,Ethiopia,High,Needs Verification,,2026-07-20,"Continental policy, digital transformation, health, infrastructure and programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://jobs.au.int/,Health & Digital Health,East Africa,Ethiopia,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Ethiopia
2,Africa Centres for Disease Control and Prevention,Africa CDC,Pan-African Health Institution,Africa-wide,Ethiopia,Ethiopia,High,Needs Verification,,2026-07-20,"Public health, digital health, surveillance, data and technology opportunities. Directory entry; verify current openings on the official source.",Official careers page,https://africacdc.org/opportunities/,Health & Digital Health,East Africa,Ethiopia,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Ethiopia
3,AUDA-NEPAD,African Union Development Agency,Pan-African Development Institution,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Development programmes, digital transformation, innovation and regional integration. Directory entry; verify current openings on the official source.",Official careers page,https://www.nepad.org/careers,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
4,African Development Bank Group,AfDB,Development Finance,Africa-wide,Côte d’Ivoire,Côte d’Ivoire,High,Needs Verification,,2026-07-20,"Development finance, infrastructure, IT, data, operations and digital programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.afdb.org/en/about-us/careers,Technology & Civic Tech,Pan-African,Côte d’Ivoire,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
5,United Nations Economic Commission for Africa,UNECA,UN & Multilateral,Africa-wide,Ethiopia,Ethiopia,High,Needs Verification,,2026-07-20,"Economic development, data, digital policy and regional programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://careers.un.org/,UN & Multilateral,East Africa,Ethiopia,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Ethiopia
6,African Export-Import Bank,Afreximbank,Development Finance,Africa-wide,Egypt,Egypt,High,Needs Verification,,2026-07-20,"Trade finance, technology, operations, data and digital platforms. Directory entry; verify current openings on the official source.",Official careers page,https://www.afreximbank.com/careers/,Technology & Civic Tech,North Africa,Egypt,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Egypt
7,Africa Finance Corporation,AFC,Development Finance,Africa-wide,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Infrastructure finance, technology, investment and corporate systems. Directory entry; verify current openings on the official source.",Official careers page,https://www.africafc.org/careers,Technology & Civic Tech,West Africa,Nigeria,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Nigeria
8,Trade and Development Bank Group,TDB Group,Development Finance,Eastern & Southern Africa,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Regional finance, operations, technology and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.tdbgroup.org/careers/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
9,Africa50,Infrastructure investment platform,Development Finance,Africa-wide,Morocco,Morocco,High,Needs Verification,,2026-07-20,"Infrastructure investment, digital infrastructure and project delivery. Directory entry; verify current openings on the official source.",Official careers page,https://www.africa50.com/careers/,Technology & Civic Tech,North Africa,Morocco,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Morocco
10,African Risk Capacity,ARC Group,Pan-African Institution,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Disaster risk, insurance, analytics, data and institutional technology. Directory entry; verify current openings on the official source.",Official careers page,https://www.arc.int/careers,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
11,African Capacity Building Foundation,ACBF,Pan-African Institution,Africa-wide,Zimbabwe,Zimbabwe,High,Needs Verification,,2026-07-20,"Capacity development, governance, knowledge systems and programme delivery. Directory entry; verify current openings on the official source.",Official organization website,https://www.acbf-pact.org/,African-led Organizations,Southern Africa,Zimbabwe,Foundation-funded / grant-making,Directory entry — current country operations require official verification,General website / careers not confirmed,African-led Organizations,Not verified — confirm on the official country page,Zimbabwe
12,African Peer Review Mechanism,APRM,Pan-African Institution,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Governance, institutional performance, data and continental programmes. Directory entry; verify current openings on the official source.",Official careers page,https://aprm.au.int/en/opportunities,African-led Organizations,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,African-led Organizations,Not verified — confirm on the official country page,South Africa
13,Smart Africa Alliance,Digital transformation alliance,Pan-African Technology Institution,Africa-wide,Rwanda,Rwanda,High,Needs Verification,,2026-07-20,"Digital transformation, ICT policy, digital public infrastructure and innovation. Directory entry; verify current openings on the official source.",Official organization website,https://smartafrica.org/,Research & Policy,East Africa,Rwanda,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Research & Policy,Not verified — confirm on the official country page,Rwanda
14,African Telecommunications Union,ATU,Pan-African Technology Institution,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Telecommunications policy, spectrum, digital inclusion and technology programmes. Directory entry; verify current openings on the official source.",Official organization website,https://atuuat.africa/,Research & Policy,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Research & Policy,Not verified — confirm on the official country page,Kenya
15,African Trade and Investment Development Insurance,ATIDI,Development Finance,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Risk, insurance, finance, enterprise systems and regional operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.atidi.africa/careers/,Governance & Development,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Governance & Development,Not verified — confirm on the official country page,Kenya
16,East African Community,EAC,Regional Economic Community,East Africa,Tanzania,Tanzania,High,Needs Verification,,2026-07-20,"Regional integration, health, customs, digital systems and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.eac.int/opportunities/employment,Health & Digital Health,East Africa,Tanzania,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Tanzania
17,Economic Community of West African States,ECOWAS,Regional Economic Community,West Africa,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Regional programmes, institutions, ICT, health and economic development. Directory entry; verify current openings on the official source.",Official careers page,https://www.ecowas.int/careers/,Health & Digital Health,West Africa,Nigeria,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Nigeria
18,Southern African Development Community,SADC,Regional Economic Community,Southern Africa,Botswana,Botswana,High,Needs Verification,,2026-07-20,"Regional development, infrastructure, health, ICT and policy. Directory entry; verify current openings on the official source.",Official careers page,https://www.sadc.int/opportunities/employment,Health & Digital Health,Southern Africa,Botswana,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Botswana
19,Common Market for Eastern and Southern Africa,COMESA,Regional Economic Community,Eastern & Southern Africa,Zambia,Zambia,High,Needs Verification,,2026-07-20,"Trade, regional integration, digital systems and programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://www.comesa.int/job-opportunities/,Technology & Civic Tech,Southern Africa,Zambia,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Zambia
20,Intergovernmental Authority on Development,IGAD,Regional Economic Community,Horn of Africa,Djibouti,Djibouti,High,Needs Verification,,2026-07-20,"Resilience, peace, climate, health, data and regional programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://igad.int/jobs/,Health & Digital Health,Pan-African,Djibouti,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
