"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Adecco","Adecco Group","Staffing & Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","General staffing and professional recruitment.","Established recruitment agency","https://www.adecco.com/"
"2","ManpowerGroup","ManpowerGroup","Staffing & Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","Technology and professional recruitment.","Established recruitment agency","https://www.manpowergroup.com/"
"3","Randstad","Randstad","Staffing & Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","Professional staffing and talent solutions.","Established recruitment agency","https://www.randstad.com/"
"4","Hays","Hays","Specialist Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","Technology, finance, engineering and leadership.","Established recruitment agency","https://www.hays.com/"
"5","Michael Page","PageGroup","Specialist Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","Professional and management recruitment.","Established recruitment agency","https://www.michaelpage.com/"
"6","Page Executive","PageGroup","Executive Search","Global","Global","Global","High","Needs Verification","","2026-07-20","Senior leadership and executive search.","Established recruitment agency","https://www.pageexecutive.com/"
"7","Robert Walters","Robert Walters","Specialist Recruitment","Global","Global","Global","High","Needs Verification","","2026-07-20","Professional and executive recruitment.","Established recruitment agency","https://www.robertwalters.com/"
"8","Korn Ferry","Korn Ferry","Executive Search","Global","Global","Global","High","Needs Verification","","2026-07-20","Executive search and leadership advisory.","Established recruitment agency","https://www.kornferry.com/careers"
"9","Bayt","Bayt.com","Job Platform","MENA","Middle East","Middle East","High","Needs Verification","","2026-07-20","Major Middle East job platform.","Established job platform","https://www.bayt.com/"
"10","GulfTalent","GulfTalent","Job Platform","GCC","GCC","GCC","High","Needs Verification","","2026-07-20","Professional roles across the Gulf.","Established job platform","https://www.gulftalent.com/"
"11","WUZZUF","WUZZUF","Job Platform","Egypt","Egypt","Egypt","High","Needs Verification","","2026-07-20","Egyptian professional job platform.","Established job platform","https://wuzzuf.net/jobs/egypt"
"12","Naukrigulf","Naukrigulf","Job Platform","GCC","GCC","GCC","High","Needs Verification","","2026-07-20","Gulf job listings and employer searches.","Established job platform","https://www.naukrigulf.com/"
"13","Jobberman","Jobberman","Job Platform","Africa","Africa","Africa","High","Needs Verification","","2026-07-20","African jobs and recruitment services.","Established job platform","https://www.jobberman.com/"
"14","BrighterMonday","BrighterMonday","Job Platform","East Africa","Africa","Africa","High","Needs Verification","","2026-07-20","East African jobs and talent services.","Established job platform","https://www.brightermonday.co.ke/"
"offline-recruitment-1","Chief Information Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
"offline-recruitment-2","Chief Technology Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Technology%20Officer&location=Egypt&sortBy=DD"
"offline-recruitment-3","IT Director — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=IT%20Director&location=Egypt&sortBy=DD"
"offline-recruitment-4","Director of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Director%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-recruitment-5","Head of Information Systems — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Information%20Systems&location=Egypt&sortBy=DD"
"offline-recruitment-6","Head of Enterprise Applications — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Enterprise%20Applications&location=Egypt&sortBy=DD"
"offline-recruitment-7","Head of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-recruitment-8","Enterprise Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Enterprise%20Architect&location=Egypt&sortBy=DD"
"offline-recruitment-9","Solution Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Solution%20Architect&location=Egypt&sortBy=DD"
