"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Data Governance Lead","Intellias","Data Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-06-29","2026-07-20","Governance frameworks and data catalog experience.","LinkedIn","https://www.linkedin.com/jobs/view/4429998727/"
"2","Data Management Lead","SILO HUB","Data Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Enterprise data strategy and stewardship.","LinkedIn","https://www.linkedin.com/jobs/view/4439744047/"
"3","Commercial Data Operations Manager","AstraZeneca","Data & Analytics","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Commercial data operations experience.","LinkedIn","https://www.linkedin.com/jobs/view/4369159420/"
"4","Principal AI Platform / Agentic AI Architect","Intellias","AI Architecture","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Principal-level AI platform experience.","LinkedIn","https://www.linkedin.com/jobs/view/4440528085/"
"5","Senior AI Governance","BBI","AI Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","AI governance and risk experience.","LinkedIn","https://www.linkedin.com/jobs/view/4434827215/"
"6","Enterprise Architect — GCC Search","Multiple employers","Enterprise Architecture","GCC","GCC","GCC","High","Monitoring","","2026-07-20","Live multi-employer search; verify every listing.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Enterprise%20Architect&location=GCC&sortBy=DD"
"7","Digital Transformation Director — Saudi Arabia","Multiple employers","Digital Transformation","GCC","Saudi Arabia","Saudi Arabia","High","Monitoring","","2026-07-20","Live search for senior transformation roles.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Digital%20Transformation%20Director&location=Saudi%20Arabia&sortBy=DD"
"8","Head of Enterprise Applications — UAE","Multiple employers","Enterprise Applications","GCC","United Arab Emirates","United Arab Emirates","High","Monitoring","","2026-07-20","Live search; confirm work authorization.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Enterprise%20Applications&location=United%20Arab%20Emirates&sortBy=DD"
"9","Information Systems - Open Source Technical Architect","Canonical","Enterprise Architecture","Remote","Worldwide","Worldwide","High","Needs Verification","2026-07-18","2026-07-20","Confirm supported hiring country during application.","Official employer","https://canonical.com/careers/4551832"
"10","Solutions Architect for Automotive","Canonical","Solution Architecture","Remote","Worldwide","Worldwide","Medium","Needs Verification","2026-07-18","2026-07-20","Worldwide role; specialist automotive expertise.","Official employer","https://canonical.com/careers/6292448"
