id,title,type,region,availability_status,priority_tier,url,notes
platform-0001,Greenhouse Job Boards,ATS / Employer Jobs,Global,Active Platform,Recommended,https://www.greenhouse.com/job-board,Direct employer job boards
platform-0002,Lever Jobs,ATS / Employer Jobs,Global,Active Platform,Recommended,https://www.lever.co/,Direct employer vacancies hosted on Lever
platform-0003,SmartRecruiters,ATS / Employer Jobs,Global,Active Platform,Recommended,https://www.smartrecruiters.com/,Employer vacancies and talent communities
platform-0004,Workable Jobs,ATS / Employer Jobs,Global,Active Platform,Recommended,https://jobs.workable.com/,Direct employer vacancies hosted on Workable
platform-0005,BrighterMonday Kenya,Africa Job Board,Kenya · Africa,Active Platform,Recommended,https://www.brightermonday.co.ke/jobs,Kenya and East Africa jobs
platform-0006,Careers24,Africa Job Board,South Africa · Africa,Active Platform,Recommended,https://www.careers24.com/jobs/,South Africa job search
platform-0007,Fuzu,Africa Job Board,East Africa,Active Platform,Recommended,https://www.fuzu.com/,East African jobs and career tools
platform-0008,Jobberman Nigeria,Africa Job Board,Nigeria · Africa,Active Platform,Recommended,https://www.jobberman.com/jobs,Nigeria and West Africa jobs
platform-0009,MyJobMag,Africa Job Board,Africa,Active Platform,Recommended,https://www.myjobmag.com/,Country-focused African job boards
platform-0010,PNet,Africa Job Board,South Africa · Africa,Active Platform,Recommended,https://www.pnet.co.za/jobs,South Africa professional jobs
platform-0011,AfricaWork,Africa Recruitment Platform,Africa,Active Platform,Recommended,https://www.africawork.com/,Pan-African recruitment and talent platform
platform-0012,African Development Bank Careers,Development Finance,Africa,Active Platform,Recommended,https://www.afdb.org/en/about-us/careers,African Development Bank opportunities
platform-0013,Islamic Development Bank Careers,Development Finance,GCC · Member Countries,Active Platform,Recommended,https://www.isdb.org/careers,Islamic Development Bank opportunities
platform-0014,World Bank Careers,Development Finance,Global,Active Platform,Recommended,https://www.worldbank.org/en/about/careers,World Bank employment and programs
