id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Pfizer,Global Pharmaceuticals,Global Pharmaceuticals,Global,"New York, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.pfizer.com/about/careers
2,Roche,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Basel, Switzerland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.roche.com/
3,Novartis,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Basel, Switzerland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.novartis.com/careers
4,Sanofi,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Paris, France",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.sanofi.com/
5,GSK,Global Pharmaceuticals,Global Pharmaceuticals,Global,"London, UK",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.gsk.com/
6,AstraZeneca,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Cambridge, UK",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.astrazeneca.com/
7,Merck & Co.,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Rahway, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.merck.com/
8,Johnson & Johnson Innovative Medicine,Global Pharmaceuticals,Global Pharmaceuticals,Global,"New Brunswick, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.careers.jnj.com/
9,Eli Lilly and Company,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Indianapolis, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.lilly.com/
10,AbbVie,Global Pharmaceuticals,Global Pharmaceuticals,Global,"North Chicago, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.abbvie.com/
11,Bristol Myers Squibb,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Princeton, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.bms.com/
