id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
job-01112,Official Vacancy,job,Information Systems - Open Source Technical Architect,Canonical,Canonical,Enterprise Architecture & Cloud Infrastructure,Enterprise Architecture & Cloud Infrastructure,Technology & Cloud,EMEA · Remote,EMEA,Home based - EMEA,Available,,,2026-07-24,Current official Canonical listing,Official employer,A,Official employer / primary source,Official,98,High,,https://canonical.com/careers/4551832,"High-alignment role covering internal private cloud architecture, infrastructure as code, DevOps/SRE leadership, automation, reliability, resilience, security, developer self-service and GitOps-oriented operating practices."
job-01582,Official Vacancy,job,"Sr. Program Manager, Ops Integration",Amazon,Amazon,Program Delivery,Program Delivery,Other Multinational & Enterprise,Egypt,Egypt,Cairo,Available,2026-06-22,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,94,High,,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10454746. Operations integration, program leadership and cross-functional delivery."
job-01583,Official Vacancy,job,"Launch Program Manager, Amazon Now",Amazon,Amazon,Program Delivery,Program Delivery,Other Multinational & Enterprise,Egypt,Egypt,Cairo,Available,2026-06-23,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,92,High,,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10456264. Program strategy, end-to-end delivery, metrics and senior-stakeholder communication."
job-01584,Official Vacancy,job,"Program Manager - QC Inventory Health, Supply Chain",Amazon,Amazon,Supply Chain Transformation,Supply Chain Transformation,Healthcare & Life Sciences,Egypt,Egypt,Cairo,Available,2026-07-01,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,90,High,,https://amazon.jobs/es/search?base_query=&country=EGY&loc_query=Egypt&sort=relevant,Amazon Job ID 10463444. Cross-functional technology and operations program improvement using data and metrics.
job-01585,Official Vacancy,job,Global Continuous Improvement & Governance Lead,Unilever,Unilever,Governance & Continuous Improvement,Governance & Continuous Improvement,Automotive & Mobility,Egypt,Egypt,6th of October City,Available,2026-07-22,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,88,High,,https://careers.unilever.com/en/Egypt,Current official Unilever Egypt listing focused on governance and continuous improvement. Verify details on the official career page.
job-01586,Official Vacancy,job,"Program Manager Inventory, Supply Chain",Amazon,Amazon,Supply Chain Transformation,Supply Chain Transformation,Supply Chain & Logistics,Egypt,Egypt,Cairo,Available,2026-06-22,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,88,High,,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10454589. Inventory, supply-chain program management and data-driven improvement."
job-01587,Official Vacancy,job,Category Manager - Terminal Procurement,A.P. Moller - Maersk,A.P. Moller - Maersk,Supply Chain & Procurement,Supply Chain & Procurement,Supply Chain & Logistics,GCC,United Arab Emirates,Dubai,Available,2026-07-09,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,82,High,,https://www.maersk.com/careers/vacancies/wd/Category-Manager--Terminal-Procurement_R187082/jt-category-manager-terminal-procurement,International sourcing and terminal procurement within a global integrated logistics group.
job-01588,Official Vacancy,job,Egypt Warehouse Assistant Manager,Unilever,Unilever,Supply Chain Leadership,Supply Chain Leadership,Supply Chain & Logistics,Egypt,Egypt,6th of October City,Available,2026-07-22,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,80,High,,https://careers.unilever.com/en/Egypt,Current official Unilever Egypt listing in warehouse and supply-chain leadership.
job-01589,Official Vacancy,job,"Operations City Manager, UAF",Amazon,Amazon,Operations Leadership,Operations Leadership,Supply Chain & Logistics,Egypt,Egypt,Cairo,Available,2026-07-02,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,78,Medium,,https://amazon.jobs/es/search?base_query=&country=EGY&loc_query=Egypt&sort=relevant,Amazon Job ID 10464467. Logistics and operational leadership.
job-00190,Platform-Indexed Vacancy,job,Enterprise and Solution Architect,Nagarro,Nagarro,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Oman,Muscat,Possibly Available,2026-07-18,,2026-07-20,Listed 2 days ago,LinkedIn,B,Recognized job platform,Platform,70,Medium,,https://om.linkedin.com/jobs/view/enterpise-and-solution-architect-at-nagarro-4436993214,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00709,Verified Vacancy,job,"Enterprise Architect, Data Integration and BI",Myers-Holum,Myers-Holum,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,Remote / Global,Worldwide,Remote / location dependent,Available,,,2026-07-20,Current Greenhouse listing,Greenhouse,A,Official / primary source,Official,70,Medium,,https://job-boards.greenhouse.io/mhi/jobs/6571212003,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-01158,Platform-Indexed Vacancy,job,"Director, Digital Health and Informatics",Last Mile Health,Last Mile Health,Healthcare IT,Healthcare IT,Healthcare & Life Sciences,Africa,Kenya,Kenya,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,68,Medium,,https://ke.linkedin.com/jobs/it-director-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00010,Platform-Indexed Vacancy,job,Architecture Advisor Expert,SAP,SAP,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,67,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
