id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Egypt Government Jobs Portal,Official government vacancies,Government Jobs Portal,Egypt,Egypt,,,Not Available,,2026-07-20,Central Agency for Organization and Administration,,https://jobs.caoa.gov.eg/
2,Jadarat National Employment Platform,Unified employment platform,Official Public-Sector Careers,GCC & Middle East,Saudi Arabia,,,Not Available,,2026-07-20,Government-backed national employment platform,,https://jadarat.sa/
3,Saudi Ministry of Human Resources Careers,Government entity careers,Government Jobs Portal,GCC & Middle East,Saudi Arabia,,,Not Available,,2026-07-20,Official ministry careers page,,https://www.hrsd.gov.sa/en/ministry/about-ministry/work-with-us
4,Federal Government Jobs Portal,Federal government vacancies,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,Federal Authority for Government Human Resources,,https://www.fahr.gov.ae/Portal/en/careers.aspx
5,Abu Dhabi Government Careers,Government jobs portal,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,TAMM employment services,,https://www.tamm.abudhabi/en/life-events/individual/Work-and-employment/Jobs
6,Dubai Careers,Government jobs portal,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,Dubai Government careers portal,,https://dubaicareers.ae/
7,Sharjah Government HR,Government jobs portal,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,Sharjah Directorate of Human Resources,,https://dhr.gov.ae/
8,Ajman Government Kawader,Government jobs portal,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,Ajman HR portal,,https://www.ajmanhr.gov.ae/
9,Ras Al Khaimah Government HR,Government jobs portal,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,RAK Human Resources Department,,https://hr.rak.ae/
10,Fujairah Government Careers,Government careers,Government Jobs Portal,GCC & Middle East,United Arab Emirates,,,Not Available,,2026-07-20,Official Fujairah government site,,https://fujairah.ae/en/Pages/careers.aspx
11,Qatar Kawader / Government Employment,Government jobs platform,Government Jobs Portal,GCC & Middle East,Qatar,,,Not Available,,2026-07-20,National employment platform,,https://www.kawader.gov.qa/
12,Qatar Government Hukoomi Employment Services,Government service gateway,Government Jobs Portal,GCC & Middle East,Qatar,,,Not Available,,2026-07-20,Official Qatar e-government portal,,https://hukoomi.gov.qa/en/topic/employment-and-workplace
13,Oman Government Vacancies Service,Government jobs service,Government Jobs Portal,GCC & Middle East,Oman,,,Not Available,,2026-07-20,Ministry of Labour service,,https://gov.om/en/w/apply-for-vacant-government-positions-
14,Kuwait Civil Service Commission,Civil-service recruitment,Civil Service Portal,GCC & Middle East,Kuwait,,,Not Available,,2026-07-20,Civil Service Commission,,https://www.csc.gov.kw/
15,Kuwait Government Online Employment,Government employment services,Government Jobs Portal,GCC & Middle East,Kuwait,,,Not Available,,2026-07-20,Official e-government portal,,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/InfoSubPages/Employment.aspx
16,Bahrain Civil Service Employment Application,Civil-service jobs,Civil Service Portal,GCC & Middle East,Bahrain,,,Not Available,,2026-07-20,National portal service,,https://services.bahrain.bh/wps/portal/EmploymentApplication_en
17,Jordan Public Sector Recruitment System,Public-sector jobs portal,Government Jobs Portal,Arab Region,Jordan,,,Not Available,,2026-07-20,Service and Public Administration Commission,,https://applyjobs.spac.gov.jo/Default.aspx
18,Lebanon Civil Service Board,Civil-service competitions,Government Competitions & Notices,Arab Region,Lebanon,,,Not Available,,2026-07-20,Official Civil Service Board,,https://www.csb.gov.lb/
19,Iraq Federal Public Service Council,Federal public-sector recruitment,Government Jobs Portal,Arab Region,Iraq,,,Not Available,,2026-07-20,Official federal council,,https://fpsc.gov.iq/
20,Palestine General Personnel Council,Public-sector recruitment,Government Jobs Portal,Arab Region,Palestine,,,Not Available,,2026-07-20,Official government personnel council,,https://www.gpc.pna.ps/
21,Morocco Public Employment Portal,Public competitions and vacancies,Government Competitions & Notices,Africa,Morocco,,,Not Available,,2026-07-20,Official public employment portal,,https://www.emploi-public.ma/
22,Algeria Directorate General of Public Service,Civil-service information and competitions,Government Competitions & Notices,Africa,Algeria,,,Not Available,,2026-07-20,Official public-service authority,,https://www.dgfp.gov.dz/
23,Algeria Public Service Competitions,Public competitions portal,Government Competitions & Notices,Africa,Algeria,,,Not Available,,2026-07-20,Official competitions gateway,,https://www.concours-fonction-publique.gov.dz/
24,Tunisia Public Competitions Portal,Government competitions,Government Competitions & Notices,Africa,Tunisia,,,Not Available,,2026-07-20,Official national competitions portal,,https://www.concours.gov.tn/
