title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
EgyptAir,Flag Carrier & Aviation Group,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,99,Official airline careers,A,2026-07-30,https://careers.egyptair.com/,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Air Cairo,Scheduled & Charter Airline,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,95,Official airline careers,A,2026-07-30,https://aircairo.com/en-us/careers,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Nile Air,Private Scheduled Airline,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,97,Official airline careers,A,2026-07-30,https://www.nileair.com/careers,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
flyEgypt,Scheduled & Charter Airline,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,94,Official airline careers,A,2026-07-30,https://flyegypt.com/careers,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Air Arabia Egypt,Low-Cost Airline,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,94,Official group careers,A,2026-07-30,https://www.airarabiagroupcareers.com/gb/en,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Nesma Airlines,Scheduled & Charter Airline,Egypt,Egypt · Africa,"Airlines, Aviation & Air Transport",Official Corporate Site,Priority 2,91,Official airline site; careers contact published by airline,B,2026-07-30,https://www.nesmaairlines.com/contact,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Qatar Airways,Global Flag Carrier & Aviation Group,Qatar,GCC,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,99,Official airline careers,A,2026-07-30,https://careers.qatarairways.com/global/SearchJobs/,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Emirates Group,"Airline, Cargo, Airport & Travel Group",United Arab Emirates,GCC,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,99,Official group careers,A,2026-07-30,https://www.emiratesgroupcareers.com/search-and-apply/?brand=Emirates,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
Etihad Airways,Global Flag Carrier,United Arab Emirates,GCC,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,99,Official airline careers,A,2026-07-30,https://careers.etihad.com/,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
flydubai,Low-Cost Airline,United Arab Emirates,GCC,"Airlines, Aviation & Air Transport",Career Page Available,Priority 1,97,Official airline careers,A,2026-07-30,https://careers.flydubai.com/,"Major airline or aviation employer operating in Egypt, the GCC or Africa","Target enterprise architecture, digital transformation, airline systems, data, cloud, cybersecurity, ERP, airport operations, cargo, customer platforms and technology programme roles."
