"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Data Governance Lead","Intellias","Data Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-06-29","2026-07-20","Governance frameworks and data catalog experience.","LinkedIn","https://www.linkedin.com/jobs/view/4429998727/"
"2","Data Management Lead","SILO HUB","Data Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Enterprise data strategy and stewardship.","LinkedIn","https://www.linkedin.com/jobs/view/4439744047/"
"3","Commercial Data Operations Manager","AstraZeneca","Data & Analytics","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Commercial data operations experience.","LinkedIn","https://www.linkedin.com/jobs/view/4369159420/"
"4","Principal AI Platform / Agentic AI Architect","Intellias","AI Architecture","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","Principal-level AI platform experience.","LinkedIn","https://www.linkedin.com/jobs/view/4440528085/"
"5","Senior AI Governance","BBI","AI Governance","Egypt","Egypt","Egypt","High","Needs Verification","2026-07-01","2026-07-20","AI governance and risk experience.","LinkedIn","https://www.linkedin.com/jobs/view/4434827215/"
"offline-egypt-1","Chief Information Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
"offline-egypt-2","Chief Technology Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Technology%20Officer&location=Egypt&sortBy=DD"
"offline-egypt-3","IT Director — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=IT%20Director&location=Egypt&sortBy=DD"
"offline-egypt-4","Director of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Director%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-egypt-5","Head of Information Systems — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Information%20Systems&location=Egypt&sortBy=DD"
