id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
hospital-egypt-004,Major Private Hospital Employer,company,Al Shorouk Hospital,Cleopatra Hospitals Group,Cairo · Egypt,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,Egypt,Egypt,Cairo,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Cleopatra Hospitals Group careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-egypt-008,Major Private Hospital Employer,company,As-Salam International Hospital Maadi,Alameda Healthcare,Cairo · Egypt,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,Egypt,Egypt,Cairo,Live Search,,,2026-07-29,Hospital career or vacancy-search route,Live company vacancy search,B,Live employer search,Live search — verify employer posting,99,High,Priority 1,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-egypt-009,Major Private Hospital Employer,company,As-Salam International Hospital New Cairo,Alameda Healthcare,New Cairo · Egypt,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,Egypt,Egypt,New Cairo,Live Search,,,2026-07-29,Hospital career or vacancy-search route,Live company vacancy search,B,Live employer search,Live search — verify employer posting,99,High,Priority 1,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-051,Major Private Hospital Employer,company,Aster Hospital Doha,Aster DM Healthcare,Doha · Qatar,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,Qatar,Doha,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Aster DM Healthcare careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://www.asterdmhealthcare.com/about-us/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-038,Major Private Hospital Employer,company,Burjeel Hospital Abu Dhabi,Burjeel Holdings,Abu Dhabi · United Arab Emirates,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,United Arab Emirates,Abu Dhabi,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Burjeel Holdings careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-058,Major Private Hospital Employer,company,Burjeel Hospital Muscat,Burjeel Holdings,Muscat · Oman,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,Oman,Muscat,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Burjeel Holdings careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-037,Major Private Hospital Employer,company,Burjeel Medical City,Burjeel Holdings,Abu Dhabi · United Arab Emirates,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,United Arab Emirates,Abu Dhabi,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Burjeel Holdings careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-040,Major Private Hospital Employer,company,Burjeel Royal Hospital Al Ain,Burjeel Holdings,Al Ain · United Arab Emirates,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,United Arab Emirates,Al Ain,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Burjeel Holdings careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-gcc-039,Major Private Hospital Employer,company,Burjeel Specialty Hospital Sharjah,Burjeel Holdings,Sharjah · United Arab Emirates,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,GCC,United Arab Emirates,Sharjah,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Burjeel Holdings careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
hospital-egypt-002,Major Private Hospital Employer,company,Cairo Specialized Hospital,Cleopatra Hospitals Group,Cairo · Egypt,Healthcare Technology & Hospital Operations,Private Hospitals & Healthcare,Private Hospitals & Healthcare,Egypt,Egypt,Cairo,Career Page Available,,,2026-07-29,Hospital career or vacancy-search route,Cleopatra Hospitals Group careers,A,Official healthcare careers,Official careers,99,High,Priority 1,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
