id,title,organization,location,country,region,work_model,category,availability_status,published_date,last_checked,match_score,fit_tier,source,source_quality,url,fit_reason,notes
hit-job-001,Head of Product Support - Middle East and India,InterSystems,"Dubai, UAE",United Arab Emirates,GCC,Regional leadership,Healthcare Technology Leadership,Available,2026-07-25,2026-07-26,99,Best Fit,InterSystems official job board,A,https://job-boards.greenhouse.io/intersystems,"Excellent regional fit: healthcare platforms, product support leadership, enterprise operations and executive stakeholder management.",The InterSystems job board currently lists this Dubai leadership role. Confirm the final requirements on the live board.
hit-job-002,Senior Program Architect - Health Sector / Public Sector,Salesforce,"Sydney or Melbourne, Australia",Australia,APAC,Full time,Enterprise Architecture & Healthcare,Available,2026-05-19,2026-07-26,98,Best Fit,Salesforce Careers,A,https://careers.salesforce.com/en/jobs/jr342767/senior-program-architect-health-sectorpublic-sector/,"Direct alignment with healthcare/public-sector transformation, enterprise architecture, governance, integration, data and executive advisory.","Strongest skills match, although the location is Australia and Salesforce platform experience is required."
hit-job-003,Program Executive - Health & Life Sciences,Salesforce,United States - Remote / Hybrid,United States,Remote,Remote / Hybrid,Healthcare Program Leadership,Available,2026-06-15,2026-07-26,97,Best Fit,Salesforce Careers,A,https://careers.salesforce.com/en/jobs/jr340305/program-executive-health-life-sciences/,"Exceptional match for executive program governance, health and life sciences, strategic delivery, risk, financial management and C-suite engagement.",Likely US work-authorization restrictions; keep high for professional alignment but verify eligibility.
hit-job-004,Technical Architect - Life Sciences and Health,Salesforce,"Bangalore or Hyderabad, India",India,APAC,Full time,Healthcare Solution Architecture,Available,2026-02-06,2026-07-26,96,Best Fit,Salesforce Careers,A,https://careers.salesforce.com/en/jobs/jr326080/salesforce-technical-architect-life-sciences-industry-exp-mandate/,"Strong healthcare architecture, integrations, FHIR/HL7, security, cloud and enterprise solution-governance alignment.",Requires deep Salesforce platform and certification experience; domain alignment is excellent.
hit-job-021,Healthcare Informatics Opportunities,Philips,Global / Middle East and Turkey,Multiple,Global,Multiple,Healthcare Informatics,Live Search,2026-07-26,2026-07-26,96,Best Fit,Philips Careers,A,https://www.careers.philips.com/global/en/healthcare-informatics,"Very strong healthcare informatics, cloud, interoperability, AI, solution architecture and digital-health alignment.",This is the official live Healthcare Informatics career route; open it to view all current vacancies.
hit-job-005,Life Science Program Delivery / Chief Architect,Cognizant,"Chicago, Illinois, United States",United States,North America,Hybrid,Life Sciences Architecture & Delivery,Available,2026-05-28,2026-07-26,95,Best Fit,Cognizant Careers,A,https://careers.cognizant.com/global-en/jobs/00068821181/life-science-program-deliverychief-architect/,"Combines senior architecture, program leadership, AI/analytics, life sciences and strategic client engagement.",Strong professional fit; location and US eligibility may limit practicality.
hit-job-006,Program Manager - Transformation and Solutions,Wipro,"Jersey City, New Jersey, United States",United States,North America,Full time,Digital Transformation & Solution Architecture,Available,2026-06-24,2026-07-26,95,Best Fit,Wipro Careers,A,https://careers.wipro.com/job/Program-Manager-Transformation-and-Solutions/134373-en_US,"Excellent alignment with transformation roadmaps, solution architecture, AI, automation, ERP, Dynamics 365 and executive communication.",Highly suitable responsibilities; location and authorization require confirmation.
hit-job-007,Chief Architect - HealthShare,InterSystems,"Boston, Massachusetts, United States",United States,North America,Full time,Healthcare Data Architecture,Available,2026-07-25,2026-07-26,95,Best Fit,InterSystems official job board,A,https://job-boards.greenhouse.io/intersystems,"Direct healthcare data, interoperability, enterprise architecture and HealthShare platform leadership fit.",The role is listed on the current InterSystems job board; use the board search for the live job detail.
hit-job-010,Distinguished Enterprise Architect - Healthcare,Salesforce,United States - Remote,United States,Remote,Remote,Healthcare Enterprise Architecture,Available,2026-04-24,2026-07-26,94,Strong Fit,Salesforce Careers,A,https://careers.salesforce.com/en/jobs/jr334994/distinguished-enterprise-architect/,"Strong healthcare enterprise architecture, digital transformation, compliance, security and executive-advisory match.",US remote role; Salesforce credentials and authorization are likely required.
hit-job-009,Enterprise Architect L0 - Contract,Wipro,"Manchester, United Kingdom",United Kingdom,Europe,Contract,Enterprise Architecture,Available,2026-07-03,2026-07-26,94,Strong Fit,Wipro Careers,A,https://careers.wipro.com/job/Manchester-ENTERPRISE-ARCHITECT-L0%28CONTRACT%29-GBR/185565-en_US/,Direct enterprise architecture and digital-transformation strategy alignment.,Strong technical and leadership match; UK work authorization and contract terms need confirmation.
