id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
job-00171,Platform-Indexed Vacancy,job,Enterprise Architecture Manager,Linnk Group,Linnk Group,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-20,,2026-07-20,Listed 6 hours ago,LinkedIn current search,B,Recognized job platform,Platform,66,Medium,,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00172,Platform-Indexed Vacancy,job,Principal GRC Consultant,Innovative Solutions SA,Innovative Solutions SA,Cybersecurity,Cybersecurity,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-19,,2026-07-20,Listed 1 day ago,LinkedIn current search,B,Recognized job platform,Platform,58,Low,,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00173,Platform-Indexed Vacancy,job,"Solution Architect - Senior Manager, GCC Lead",Visa,Visa,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,63,Medium,,https://sa.linkedin.com/jobs/saudi-payments-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00174,Platform-Indexed Vacancy,job,Digital Transformation Advisor,HUED,HUED,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-20,,2026-07-20,Listed 1 hour ago,LinkedIn current search,B,Recognized job platform,Platform,56,Low,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00175,Platform-Indexed Vacancy,job,Solution Architect - Enterprise,Riyadh Air,Riyadh Air,Solution Architecture,Solution Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,66,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00176,Platform-Indexed Vacancy,job,Technology Architect,Devoteam,Devoteam,Solution Architecture,Solution Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,63,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00177,Platform-Indexed Vacancy,job,Solution Enterprise Architect,CoorB,CoorB,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-19,,2026-07-20,Listed 1 day ago,LinkedIn current search,B,Recognized job platform,Platform,66,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00178,Platform-Indexed Vacancy,job,Enterprise Solutions Architect - Presales Expert,DXC Technology,DXC Technology,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Expired,,,2026-07-20,,LinkedIn,B,Recognized job platform,Platform,66,Medium,,https://sa.linkedin.com/jobs/view/enterprise-solutions-architect-presales-expert-at-dxc-technology-4427443223,
job-00179,Platform-Indexed Vacancy,job,AI Go-to-Market Solution Architect,NTT DATA,NTT DATA,AI & Automation,AI & Automation,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,63,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00180,Platform-Indexed Vacancy,job,Manager - IT Strategy and Planning,Qiddiya,Qiddiya,IT Leadership,IT Leadership,Other Multinational & Enterprise,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-15,,2026-07-20,Listed 5 days ago,LinkedIn current search,B,Recognized job platform,Platform,61,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00181,Platform-Indexed Vacancy,job,Senior Manager - Enterprise Architect,Mace,Mace,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-15,,2026-07-20,Listed 5 days ago,LinkedIn current search,B,Recognized job platform,Platform,66,Medium,,https://sa.linkedin.com/jobs/senior-manager-consulting-services-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00182,Platform-Indexed Vacancy,job,Principal Smart & Digital Consultant,WSP,WSP,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-07-14,,2026-07-20,Listed 6 days ago,LinkedIn current search,B,Recognized job platform,Platform,61,Medium,,https://sa.linkedin.com/jobs/senior-manager-consulting-services-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00183,Platform-Indexed Vacancy,job,Digital Services Senior Manager,Takامل Holding,Takامل Holding,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-06-29,,2026-07-20,Listed 3 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,61,Medium,,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00184,Platform-Indexed Vacancy,job,Enterprise Applications & Digital Transformation Manager,Sunbulah Group,Sunbulah Group,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Saudi Arabia,Jeddah,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,65,Medium,,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00185,Platform-Indexed Vacancy,job,Smart City IT Lead Consultant,JLL,JLL,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Possibly Available,2026-06-29,,2026-07-20,Listed 3 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,61,Medium,,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00186,Platform-Indexed Vacancy,job,"Pre-Sales Solution Architect - Smart Cities, IoT & Digital Twin",Confidential,Confidential,Solution Architecture,Solution Architecture,Technology & Consulting,GCC,United Arab Emirates,Abu Dhabi,Possibly Available,2026-07-14,,2026-07-20,Listed 6 days ago,LinkedIn,B,Recognized job platform,Platform,63,Medium,,https://ae.linkedin.com/jobs/view/pre-sales-solution-architect-%E2%80%93-smart-cities-iot-digital-twin-at-confidential-4434839063,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00187,Platform-Indexed Vacancy,job,Lead Solution Architect,EWEC,EWEC,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,GCC,United Arab Emirates,Abu Dhabi,Possibly Available,2026-07-20,,2026-07-20,Current listing,LinkedIn,B,Recognized job platform,Platform,63,Medium,,https://www.linkedin.com/jobs/view/4410476041/,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00188,Platform-Indexed Vacancy,job,Enterprise Solutions Architect - Presales Expert,DXC Technology,DXC Technology,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,United Arab Emirates,Dubai,Possibly Available,2026-07-18,,2026-07-20,Listed 2 days ago,LinkedIn,B,Recognized job platform,Platform,66,Medium,,https://ae.linkedin.com/jobs/view/enterprise-solutions-architect-presales-expert-at-dxc-technology-4427440228,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00189,Platform-Indexed Vacancy,job,Digital Transformation Manager / Solution Architect,Union Properties / Tetra Edge,Union Properties / Tetra Edge,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,United Arab Emirates,Dubai,Possibly Available,2026-07-16,,2026-07-20,Urgent hiring reposted 4 days ago,LinkedIn post,B,Recognized job platform,Platform,65,Medium,,https://ae.linkedin.com/in/mohammed-hashim-1a13665b,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00190,Platform-Indexed Vacancy,job,Enterprise and Solution Architect,Nagarro,Nagarro,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,GCC,Oman,Muscat,Possibly Available,2026-07-18,,2026-07-20,Listed 2 days ago,LinkedIn,B,Recognized job platform,Platform,70,Medium,,https://om.linkedin.com/jobs/view/enterpise-and-solution-architect-at-nagarro-4436993214,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00191,Platform-Indexed Vacancy,job,Senior Presales Digital Transformation Solutions Architect,stc Kuwait,stc Kuwait,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Kuwait,Kuwait,Possibly Available,,,2026-07-20,Posted 10 Jun 2026,LinkedIn,B,Recognized job platform,Platform,61,Medium,,https://www.linkedin.com/jobs/view/4427100248/,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00192,Platform-Indexed Vacancy,job,Digital Office Manager,QAFCO,QAFCO,Digital Transformation,Digital Transformation,Technology & Consulting,GCC,Qatar,Doha,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,61,Medium,,https://www.linkedin.com/jobs/aramco-digital-jobs-worldwide,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00193,Platform-Indexed Vacancy,job,"Senior Solutions Architect, MEA",GitLab,GitLab,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,GCC,United Arab Emirates,Remote UAE,Possibly Available,2026-07-20,,2026-07-20,Current official jobs listing,GitLab,B,Direct organization or specialist source,Direct,63,Medium,,https://about.gitlab.com/jobs/all-jobs/,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00194,Platform-Indexed Vacancy,job,Enterprise Architect — LinkedIn Live Search,Saudi Arabia,Saudi Arabia,Live Job Search,Live Job Search,Technology & Consulting,GCC,Saudi Arabia,Live / varies,Possibly Available,,,2026-07-20,Live search sorted toward newest results,LinkedIn,B,Recognized job platform,Platform,65,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&sortBy=DD&location=Saudi+Arabia,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00195,Platform-Indexed Vacancy,job,Enterprise Architect — GulfTalent Live Search,Saudi Arabia,Saudi Arabia,Live Job Search,Live Job Search,Technology & Consulting,GCC,Saudi Arabia,Live / varies,Possibly Available,,,2026-07-20,Live search sorted toward newest results,GulfTalent,B,Recognized job platform,Platform,65,Medium,,https://www.gulftalent.com/jobs?keywords=Enterprise+Architect,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00196,Platform-Indexed Vacancy,job,Enterprise Architect — Bayt Live Search,Saudi Arabia,Saudi Arabia,Live Job Search,Live Job Search,Technology & Consulting,GCC,Saudi Arabia,Live / varies,Possibly Available,,,2026-07-20,Live search sorted toward newest results,Bayt,B,Recognized job platform,Platform,65,Medium,,https://www.bayt.com/en/saudi-arabia/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00197,Platform-Indexed Vacancy,job,Solution Architect — LinkedIn Live Search,Saudi Arabia,Saudi Arabia,Live Job Search,Live Job Search,Other Multinational & Enterprise,GCC,Saudi Arabia,Live / varies,Possibly Available,,,2026-07-20,Live search sorted toward newest results,LinkedIn,B,Recognized job platform,Platform,61,Medium,,https://www.linkedin.com/jobs/search/?keywords=Solution+Architect&sortBy=DD&location=Saudi+Arabia,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00198,Platform-Indexed Vacancy,job,Solution Architect — GulfTalent Live Search,Saudi Arabia,Saudi Arabia,Live Job Search,Live Job Search,Other Multinational & Enterprise,GCC,Saudi Arabia,Live / varies,Possibly Available,,,2026-07-20,Live search sorted toward newest results,GulfTalent,B,Recognized job platform,Platform,61,Medium,,https://www.gulftalent.com/jobs?keywords=Solution+Architect,"GCC live-search pack. This is a live search link, not one fixed vacancy."
