id,title,company,location,country,category,platform,posted_text,deadline,source_type,fit,status,url,summary
afnew-022,Healthcare Technology Lead,DIME,"Cairo, Egypt",Egypt,Healthcare Technology Leadership,Recruitera,Application page shared by applicant,,Direct ATS,98,Recheck availability before applying,https://app.recruitera.ai/job/healthcare-technology-lead-dime-cairo-egypt-530,"Senior healthcare-technology leadership role covering software engineering, React, AWS, DevOps, QA standards, healthtech platforms and familiarity with healthcare data or clinical systems."
afnew-001,Technology & Digital Transformation Director,Protiviti Middle East Member Firm,"Cairo, Egypt",Egypt,Digital Transformation Leadership,LinkedIn,About 1 month ago,,Platform listing,98,Recheck before applying,https://eg.linkedin.com/jobs/view/technology-digital-transformation-director-at-protiviti-middle-east-member-firm-4428872477,"Executive leadership role combining digital strategy, transformation advisory, business development and delivery governance."
afnew-002,"Enterprise Architect, Commercial",Coca-Cola HBC,"Cairo, Egypt",Egypt,Enterprise Architecture,LinkedIn,About 2 weeks ago,,Platform listing,98,Recently listed,https://eg.linkedin.com/jobs/view/enterprise-architect-commercial-at-coca-cola-hbc-4436710502,"Own and govern commercial-domain enterprise architecture, target-state roadmaps, standards and delivery alignment."
afnew-003,Enterprise Architect - Hybrid Multicloud Platforms,IBM,"Giza, Egypt",Egypt,Cloud & Enterprise Architecture,LinkedIn,About 3 weeks ago,,Platform listing,97,Recently listed,https://eg.linkedin.com/jobs/view/enterprise-architect-hybrid-multicloud-platforms-at-ibm-4428579547,Define hybrid-multicloud adoption and migration strategies and lead architecture consulting for complex global clients.
afnew-004,Enterprise Architect,Veeam Software,Egypt,Egypt,Enterprise Architecture,LinkedIn,About 3 weeks ago,,Platform listing,96,Recently listed,https://eg.linkedin.com/jobs/view/enterprise-architect-at-veeam-software-4325570787,"Customer-facing enterprise architecture covering data resilience, security, solution design, reference architectures and global deployments."
afnew-005,"Program Manager - QC Inventory Health, Supply Chain",Amazon,"Cairo, Egypt",Egypt,Program & Supply Chain,Amazon Jobs,Posted 1 July 2026,,Official careers,94,Official source,https://www.amazon.jobs/en/search?base_query=Program+Manager+QC+Inventory+Health&country=EGY,"Senior cross-functional program-management role using data, metrics, process improvement and supply-chain governance."
afnew-006,"Launch Program Manager, Amazon Now",Amazon,"Cairo, Egypt",Egypt,Program & Operations,Amazon Jobs,Posted 23 June 2026,,Official careers,94,Official source,https://www.amazon.jobs/en/search?base_query=Launch+Program+Manager+Amazon+Now&country=EGY,"Own program strategy and end-to-end delivery, use metrics to drive improvement and communicate results to senior leadership."
afnew-007,"Program Manager Inventory, Supply Chain",Amazon,"Cairo, Egypt",Egypt,Program & Supply Chain,Amazon Jobs,Posted 22 June 2026,,Official careers,93,Official source,https://www.amazon.jobs/en/search?base_query=Program+Manager+Inventory+Supply+Chain&country=EGY,Program and project management for inventory and supply-chain performance in Amazon Egypt.
afnew-008,"Site Lead, Leo Customer Support",Amazon,"Cairo, Egypt",Egypt,Technology Operations Leadership,Amazon Jobs,Posted 6 July 2026,,Official careers,91,Official source,https://www.amazon.jobs/en/search?base_query=Site+Lead+Leo+Customer+Support&country=EGY,"Site leadership role requiring team management, senior-stakeholder communication and complex operational problem solving."
afnew-009,Demand Planner & S&OP Officer,Unilever,"6th of October City, Egypt",Egypt,Supply Chain & Planning,Unilever Careers,Shown on current Egypt careers page,,Official careers,83,Official source,https://careers.unilever.com/en/egypt,Demand planning and sales-and-operations-planning opportunity within a major multinational consumer-goods company.
afnew-010,Supply Chain D-com Planner,Unilever,"6th of October City, Egypt",Egypt,Supply Chain & Planning,Unilever Careers,Shown on current Egypt careers page,,Official careers,82,Official source,https://careers.unilever.com/en/egypt,Digital-commerce supply-chain planning role listed on Unilever's Egypt careers page.
afnew-011,Consultant - International Database Expert,WorldFish,"Cairo, Egypt",Egypt,Data & International Development,Workable,Current listing,31 July 2026,Direct ATS,91,Deadline approaching,https://apply.workable.com/worldfish/j/57AED1AF69/,International database consultancy supporting a GEF-funded Red Sea fisheries-management project.
afnew-012,Enterprise Architect - Remote Worldwide,WorkNomads,Remote worldwide,Remote,Enterprise Architecture,Workable,Current application page,,Direct ATS,96,Direct application,https://apply.workable.com/worknomads/j/C42FE70ED8/apply/,"Remote enterprise-architecture role with cloud, transformation and technical-leadership requirements."
afnew-013,Principal Architect: Systems & Enablement,Vodacom,"Johannesburg, South Africa",South Africa,Enterprise Architecture,LinkedIn,About 15 hours ago,,LinkedIn search result,96,Very recent - open search,https://za.linkedin.com/jobs/enterprise-architect-it-jobs,Very recent principal-architecture opportunity discovered through LinkedIn's South Africa architecture search.
afnew-014,Senior Enterprise Architect: FSI,NTT DATA,"Johannesburg, South Africa",South Africa,Enterprise Architecture,LinkedIn,About 1 week ago,,LinkedIn search result,95,Recent - open search,https://za.linkedin.com/jobs/enterprise-architect-it-jobs,Senior enterprise-architecture role focused on the financial-services industry.
afnew-015,Africa Tax Reimagined Solution Architect,KPMG South Africa,"Johannesburg, South Africa",South Africa,Solution Architecture,LinkedIn,About 1 week ago,,LinkedIn search result,91,Recent - open search,https://za.linkedin.com/jobs/enterprise-architect-jobs,Africa-focused solution-architecture opportunity in a major multinational professional-services organization.
afnew-016,Integration Architect: Clinical Applications,Mediclinic,"Stellenbosch, South Africa",South Africa,Healthcare Technology,LinkedIn,About 1 day ago,,LinkedIn search result,94,Very recent - open search,https://za.linkedin.com/jobs/enterprise-architect-jobs,Healthcare integration-architecture role involving clinical applications and enterprise interoperability.
afnew-017,"IT Director - Technology, Data & Digital Platforms",TM Forum,"Cape Town, South Africa",South Africa,Technology Leadership,LinkedIn,About 2 weeks ago,,LinkedIn search result,98,Recent - open search,https://za.linkedin.com/jobs/digital-director-jobs,"Executive technology leadership across data, platforms and digital delivery."
