id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
8837,Enterprise Architect,LinkedIn,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=South+Africa&sortBy=DD
8838,Enterprise Architect,Indeed,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://za.indeed.com/jobs?q=Enterprise+Architect&l=South+Africa&sort=date
8839,Enterprise Architect,Glassdoor,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22South+Africa%22+jobs
8840,Enterprise Architect,Jooble,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22South+Africa%22+jobs
8841,Enterprise Architect,Careerjet,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=South+Africa
8842,Enterprise Architect,Talent.com,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Enterprise+Architect&l=South+Africa
8843,Enterprise Architect,Google Jobs,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Google job search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Enterprise+Architect+jobs+South+Africa
8844,Enterprise Architect,MyJobMag,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",MyJobMag,https://www.google.com/search?q=site%3Amyjobmag.com+%22Enterprise+Architect%22+%22South+Africa%22+jobs
8845,Enterprise Architect,AfricaWork,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",AfricaWork,https://www.google.com/search?q=site%3Aafricawork.com+%22Enterprise+Architect%22+%22South+Africa%22+jobs
8846,Enterprise Architect,Careers24,Enterprise Architecture,Africa,South Africa,South Africa,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careers24,https://www.google.com/search?q=site%3Acareers24.com%2Fjobs+%22Enterprise+Architect%22+%22South+Africa%22+jobs
