"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","African Union","Continental intergovernmental organization","Pan-African Institution","Africa-wide","Ethiopia","Ethiopia","High","Needs Verification","","2026-07-20","Continental policy, digital transformation, health, infrastructure and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.au.int/"
"2","Africa Centres for Disease Control and Prevention","Africa CDC","Pan-African Health Institution","Africa-wide","Ethiopia","Ethiopia","High","Needs Verification","","2026-07-20","Public health, digital health, surveillance, data and technology opportunities. Directory entry; verify current openings on the official source.","Official careers page","https://africacdc.org/opportunities/"
"3","AUDA-NEPAD","African Union Development Agency","Pan-African Development Institution","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Development programmes, digital transformation, innovation and regional integration. Directory entry; verify current openings on the official source.","Official careers page","https://www.nepad.org/careers"
"4","African Development Bank Group","AfDB","Development Finance","Africa-wide","Côte d’Ivoire","Côte d’Ivoire","High","Needs Verification","","2026-07-20","Development finance, infrastructure, IT, data, operations and digital programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.afdb.org/en/about-us/careers"
"5","United Nations Economic Commission for Africa","UNECA","UN & Multilateral","Africa-wide","Ethiopia","Ethiopia","High","Needs Verification","","2026-07-20","Economic development, data, digital policy and regional programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://careers.un.org/"
"6","African Export-Import Bank","Afreximbank","Development Finance","Africa-wide","Egypt","Egypt","High","Needs Verification","","2026-07-20","Trade finance, technology, operations, data and digital platforms. Directory entry; verify current openings on the official source.","Official careers page","https://www.afreximbank.com/careers/"
"7","Africa Finance Corporation","AFC","Development Finance","Africa-wide","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Infrastructure finance, technology, investment and corporate systems. Directory entry; verify current openings on the official source.","Official careers page","https://www.africafc.org/careers"
"8","Trade and Development Bank Group","TDB Group","Development Finance","Eastern & Southern Africa","Kenya","Kenya","High","Needs Verification","","2026-07-20","Regional finance, operations, technology and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.tdbgroup.org/careers/"
"9","Africa50","Infrastructure investment platform","Development Finance","Africa-wide","Morocco","Morocco","High","Needs Verification","","2026-07-20","Infrastructure investment, digital infrastructure and project delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.africa50.com/careers/"
"10","African Risk Capacity","ARC Group","Pan-African Institution","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Disaster risk, insurance, analytics, data and institutional technology. Directory entry; verify current openings on the official source.","Official careers page","https://www.arc.int/careers"
"11","African Capacity Building Foundation","ACBF","Pan-African Institution","Africa-wide","Zimbabwe","Zimbabwe","High","Needs Verification","","2026-07-20","Capacity development, governance, knowledge systems and programme delivery. Directory entry; verify current openings on the official source.","Official organization website","https://www.acbf-pact.org/"
