id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-02183,Employer Career Page,company,ABB,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.abb/global/en,"Electrification, automation, digital, data and industrial technology"
company-00196,Employer Career Page,organization,Accenture,Consulting & Systems Integration,Consulting & Systems Integration,Consulting & Systems Integration,Consulting & Systems Integration,Technology & Consulting,Global,"Dublin, Ireland",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,71,Medium,Priority 1,https://www.accenture.com/us-en/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
company-00448,Employer Career Page,organization,Accenture,Career and project search,Career and project search,Consulting & Systems Integration,Consulting & Systems Integration,Technology & Consulting,Global,"Dublin, Ireland",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,71,Medium,Priority 1,https://www.google.com/search?q=%22Accenture%22+careers+jobs+digital+transformation+ICT,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
company-00143,Employer Career Page,organization,Amazon Web Services,Technology & Cloud,Technology & Cloud,Technology & Cloud,Technology & Cloud,Technology & Consulting,Global,"Seattle, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,70,Medium,Priority 1,https://www.amazon.jobs/en/teams/amazon-web-services,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
company-00403,Employer Career Page,organization,Amazon Web Services,Career and project search,Career and project search,Technology & Cloud,Technology & Cloud,Technology & Consulting,Global,"Seattle, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,70,Medium,Priority 1,https://www.google.com/search?q=%22Amazon+Web+Services%22+careers+jobs+digital+transformation+ICT,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
company-00774,Employer Career Page,company,Amgen,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Healthcare & Life Sciences,Global,"Thousand Oaks, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,64,Medium,Priority 1,https://careers.amgen.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
company-01011,Employer Career Page,company,Amgen,Health-sector employer search,Health-sector employer search,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Healthcare & Life Sciences,Global,"Thousand Oaks, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,64,Medium,Priority 1,https://www.google.com/search?q=%22Amgen%22+careers+digital+health+IT+data+jobs,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
company-02141,Employer Career Page,company,Baker Hughes,Energy Technology,Energy Technology,Energy Technology,Energy Technology,Energy Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.bakerhughes.com/,"Energy technology, digital, data, supply chain and projects"
company-01087,Employer Career Page,company,Baxter,Health-sector employer search,Health-sector employer search,Medical Technology,Medical Technology,Medical Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://jobs.baxter.com/,"Hospital products, supply chain, digital and manufacturing"
company-02190,Employer Career Page,company,Baxter,Medical Technology,Medical Technology,Medical Technology,Medical Technology,Medical Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://jobs.baxter.com/,"Hospital products, supply chain, digital and manufacturing"
company-02191,Employer Career Page,company,BD - Becton Dickinson,Medical Technology,Medical Technology,Medical Technology,Medical Technology,Medical Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://jobs.bd.com/,"Medical technology, diagnostics, supply chain and digital"
company-02184,Employer Career Page,company,Bosch,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.bosch.com/careers/,"Mobility, industrial technology, software, IoT and supply chain"
company-00826,Employer Career Page,company,Boston Scientific,Medical Devices & Equipment,Medical Devices & Equipment,Medical Technology,Medical Technology,Medical Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://jobs.bostonscientific.com/,"Medical devices, digital, data and commercial operations"
company-01084,Employer Career Page,company,Boston Scientific,Health-sector employer search,Health-sector employer search,Medical Technology,Medical Technology,Medical Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://jobs.bostonscientific.com/,"Medical devices, digital, data and commercial operations"
company-00172,Employer Career Page,organization,Broadcom,Technology & Cloud,Technology & Cloud,Technology & Infrastructure,Technology & Infrastructure,Technology & Infrastructure,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,70,Medium,Priority 1,https://careers.broadcom.com/,"Infrastructure software, cloud, security and semiconductors"
company-02233,Employer Career Page,organization,Broadcom,Technology & Infrastructure,Technology & Infrastructure,Technology & Infrastructure,Technology & Infrastructure,Technology & Infrastructure,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,70,Medium,Priority 1,https://careers.broadcom.com/,"Infrastructure software, cloud, security and semiconductors"
company-00170,Employer Career Page,organization,Canonical,Technology & Cloud,Technology & Cloud,Technology & Cloud,Technology & Cloud,Technology & Cloud,Global · EMEA · Remote,Worldwide,Home based / Remote,Career Page Available,,,2026-07-24,Official careers portal,Official Canonical careers,A,Official employer career page,Official / curated,97,High,Priority 1,https://canonical.com/careers,"Official global careers for the publisher of Ubuntu. Strong alignment with enterprise architecture, private and public cloud, Linux, Kubernetes, DevOps, SRE, GitOps, data, technical leadership, solution architecture and project management."
company-00411,Employer Career Page,organization,Canonical,Career and project search,Career and project search,Technology & Cloud,Technology & Cloud,Technology & Cloud,Global · EMEA · Remote,Worldwide,Home based / Remote,Career Page Available,,,2026-07-24,Official careers portal,Official Canonical careers,A,Official employer career page,Official / curated,97,High,Priority 1,https://canonical.com/careers,"Official global careers for the publisher of Ubuntu. Strong alignment with enterprise architecture, private and public cloud, Linux, Kubernetes, DevOps, SRE, GitOps, data, technical leadership, solution architecture and project management."
company-00201,Employer Career Page,organization,Capgemini,Consulting & Systems Integration,Consulting & Systems Integration,Consulting & Systems Integration,Consulting & Systems Integration,Technology & Consulting,Global,"Paris, France",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,71,Medium,Priority 1,https://www.capgemini.com/careers/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
