id,title,industry,region,availability_status,priority_tier,source_quality,last_checked,url,notes
company-00001,Al-Futtaim Automotive,Automotive & Mobility,Egypt · GCC,Career Page Available,Priority 1,A,2026-07-24,https://www.alfuttaim.com/careers/,"Automotive, retail, technology, logistics and corporate functions"
company-00002,BMW Group,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.bmwgroup.jobs/en.html,"Automotive, mobility, software, digital transformation and corporate functions"
company-00003,Bridgestone,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://careers.bridgestone.com/,"Mobility, manufacturing, sales and supply chain"
company-00004,Careem,Automotive & Mobility,GCC & Middle East,Career Page Available,Priority 1,B,2026-07-20,https://www.careem.com/en-AE/careers/,
company-00005,Continental,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://jobs.continental.com/,"Automotive, software, manufacturing, data and engineering"
company-00006,Ford Motor Company,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://corporate.ford.com/careers.html,"Automotive, manufacturing, digital, data and mobility"
company-00007,GB Corp,Automotive & Mobility,Egypt,Career Page Available,Priority 1,B,2026-07-20,https://www.gb-corporation.com/,
company-00008,GB Corp,Automotive & Mobility,Egypt · Africa,Career Page Available,Priority 1,A,2026-07-24,https://gb-corporation.com/careers/,"Automotive, mobility, finance, manufacturing and distribution"
company-00009,General Motors,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://search-careers.gm.com/,"Automotive, manufacturing, software, data and supply chain"
company-00010,Hyundai Motor Company,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://talent.hyundai.com/,"Automotive, mobility, engineering and technology"
company-00011,Kia Corporation,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://career.kia.com/,"Automotive, mobility, engineering and corporate functions"
company-00012,MAN Truck & Bus,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.man.eu/corporate/en/career/career.html,"Commercial vehicles, engineering, services and technology"
company-00013,Mercedes-Benz Group,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://group.mercedes-benz.com/careers/,"Automotive, mobility, digital, data, aftersales and corporate technology"
company-00014,Michelin,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://jobs.michelinman.com/,"Mobility, manufacturing, supply chain and digital"
company-00015,Nissan Motor Corporation,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.nissanmotor.jobs/,"Automotive, manufacturing, digital, engineering and supply chain"
company-00016,Scania,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.scania.com/group/en/home/career.html,"Commercial transport, engineering, digital and services"
company-00017,Stellantis,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://careers.stellantis.com/,"Automotive, software, manufacturing, supply chain and digital"
company-00018,Toyota Motor Corporation,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.toyota-global.com/company/profile/careers/,"Automotive, manufacturing, mobility, supply chain and technology"
company-00019,Valeo,Automotive & Mobility,Egypt · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.valeo.com/en/careers/,"Automotive software, engineering, R&D and digital mobility"
company-00020,Volkswagen Group,Automotive & Mobility,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.volkswagen-group.com/en/careers-16011,"Automotive, mobility, software, data and manufacturing"
company-00021,Volvo Group,Automotive & Mobility,GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.volvogroup.com/en/careers.html,"Commercial vehicles, logistics, engineering, IT and digital"
company-00022,EgyptAir,Aviation & Logistics,Egypt · Africa,Career Page Available,Priority 1,A,2026-07-24,https://careers.egyptair.com/,"Airline, cargo, technology and operations"
company-00023,Emirates Group,Aviation & Logistics,UAE · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://www.emiratesgroupcareers.com/,"Airline, cargo, dnata, technology and operations"
company-00024,Etihad Airways,Aviation & Logistics,UAE · GCC,Career Page Available,Priority 1,A,2026-07-24,https://careers.etihad.com/,"Airline, cargo, digital, data and operations"
company-00025,Qatar Airways Group,Aviation & Logistics,Qatar · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://careers.qatarairways.com/,"Aviation, cargo, supply chain, technology and corporate functions"
company-00026,Saudia Cargo,Aviation & Logistics,Saudi Arabia · GCC,Career Page Available,Priority 1,A,2026-07-24,https://www.saudiacargo.com/careers,"Air cargo, logistics, operations and technology"
company-00027,Amgen,Biotechnology,Egypt · GCC · Africa,Career Page Available,Priority 1,A,2026-07-24,https://careers.amgen.com/,"Biotechnology, digital, data, manufacturing and medical operations"
