id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Enterprise Architect,LinkedIn,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Egypt&sortBy=DD
2,Enterprise Architect,Indeed,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://eg.indeed.com/jobs?q=Enterprise+Architect&l=Egypt&sort=date
3,Enterprise Architect,Glassdoor,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Egypt%22+jobs
4,Enterprise Architect,Jooble,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Egypt%22+jobs
5,Enterprise Architect,Careerjet,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Egypt
6,Enterprise Architect,Talent.com,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Enterprise+Architect&l=Egypt
7,Enterprise Architect,Adzuna,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Adzuna,https://www.adzuna.com/search?q=Enterprise+Architect&loc=Egypt
8,Enterprise Architect,Jobrapido,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobrapido,https://www.google.com/search?q=site%3Ajobrapido.com+%22Enterprise+Architect%22+%22Egypt%22+jobs
9,Enterprise Architect,Jobsora,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobsora,https://www.google.com/search?q=site%3Ajobsora.com+%22Enterprise+Architect%22+%22Egypt%22+jobs
10,Enterprise Architect,Google Jobs,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Google job search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Enterprise+Architect+jobs+Egypt
11,Enterprise Architect,Bayt,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Bayt,https://www.bayt.com/en/egypt/jobs/enterprise-architect-jobs/
12,Enterprise Architect,GulfTalent,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",GulfTalent,https://www.google.com/search?q=site%3Agulftalent.com+%22Enterprise+Architect%22+%22Egypt%22+jobs
13,Enterprise Architect,Naukrigulf,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Naukrigulf,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Enterprise+Architect%22+%22Egypt%22+jobs
14,Enterprise Architect,WUZZUF,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",WUZZUF,https://wuzzuf.net/search/jobs/?q=Enterprise+Architect&a=navbl
15,Enterprise Architect,Forasna,Enterprise Architecture,Egypt,Egypt,Egypt,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Forasna,https://www.google.com/search?q=site%3Aforasna.com+%22Enterprise+Architect%22+%22Egypt%22+jobs
16,Solutions Architect,LinkedIn,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Solutions+Architect&location=Egypt&sortBy=DD
17,Solutions Architect,Indeed,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://eg.indeed.com/jobs?q=Solutions+Architect&l=Egypt&sort=date
18,Solutions Architect,Glassdoor,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solutions+Architect%22+%22Egypt%22+jobs
19,Solutions Architect,Jooble,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Solutions+Architect%22+%22Egypt%22+jobs
20,Solutions Architect,Careerjet,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Solutions+Architect&l=Egypt
21,Solutions Architect,Talent.com,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Solutions+Architect&l=Egypt
22,Solutions Architect,Adzuna,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Adzuna,https://www.adzuna.com/search?q=Solutions+Architect&loc=Egypt
23,Solutions Architect,Jobrapido,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobrapido,https://www.google.com/search?q=site%3Ajobrapido.com+%22Solutions+Architect%22+%22Egypt%22+jobs
24,Solutions Architect,Jobsora,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobsora,https://www.google.com/search?q=site%3Ajobsora.com+%22Solutions+Architect%22+%22Egypt%22+jobs
25,Solutions Architect,Google Jobs,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Google job search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Solutions+Architect+jobs+Egypt
26,Solutions Architect,Bayt,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Bayt,https://www.bayt.com/en/egypt/jobs/solutions-architect-jobs/
27,Solutions Architect,GulfTalent,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",GulfTalent,https://www.google.com/search?q=site%3Agulftalent.com+%22Solutions+Architect%22+%22Egypt%22+jobs
28,Solutions Architect,Naukrigulf,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Naukrigulf,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solutions+Architect%22+%22Egypt%22+jobs
29,Solutions Architect,WUZZUF,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",WUZZUF,https://wuzzuf.net/search/jobs/?q=Solutions+Architect&a=navbl
30,Solutions Architect,Forasna,Solution Architecture,Egypt,Egypt,Egypt,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Forasna,https://www.google.com/search?q=site%3Aforasna.com+%22Solutions+Architect%22+%22Egypt%22+jobs
