title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Aluminium Bahrain,Aluminium Manufacturing,Bahrain,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.albasmelter.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
OQ,"Energy, Chemicals & Industrial",Oman,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.oq.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ceer Motors,Electric Vehicle Manufacturing,Saudi Arabia,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.ceermotors.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Lucid Motors Saudi Arabia,Electric Vehicle Manufacturing,Saudi Arabia,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://lucidmotors.com/careers,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Maaden,Mining & Metals,Saudi Arabia,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.maaden.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
SABIC,Petrochemicals & Materials,Saudi Arabia,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://jobs.sabic.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Saudi Aramco,Energy & Industrial,Saudi Arabia,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://www.aramco.com/en/careers,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Borouge,Petrochemicals & Materials,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.borouge.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
EDGE Group,Advanced Technology & Defense Manufacturing,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.edgegroup.ae/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Emirates Global Aluminium,Metals Manufacturing,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.ega.ae/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
EQUATE Petrochemical Company,Petrochemicals,Kuwait,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.equate.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
QAFCO,Fertilizers,Qatar,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.qafco.com.qa/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ducab,Cable Manufacturing,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.ducab.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Emirates Steel Arkan,Steel & Building Materials,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.emiratessteel.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Strata Manufacturing,Aerospace Manufacturing,United Arab Emirates,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.strata.ae/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
GPIC,Petrochemicals & Fertilizers,Bahrain,GCC,Manufacturing & Industrial,Live Search,Priority 1,97,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=GPIC%20Bahrain&sortBy=DD,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sohar Aluminium,Aluminium Manufacturing,Oman,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.sohar-aluminium.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Industries Qatar,Industrial Holding,Qatar,GCC,Manufacturing & Industrial,Live Search,Priority 1,97,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Industries%20Qatar%20Qatar&sortBy=DD,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
QAPCO,Petrochemicals,Qatar,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.qapco.com.qa/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Qatalum,Aluminium Manufacturing,Qatar,GCC,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.qatalum.com/,"Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer","Major GCC industrial, manufacturing, food, pharmaceutical or advanced-technology employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
