title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Abdul Latif Jameel Motors,Distributor & Mobility,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.alj.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ceer Motors,Electric Vehicle Manufacturer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.ceermotors.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Lucid Motors Saudi Arabia,Electric Vehicle Manufacturer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://lucidmotors.com/careers,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al-Futtaim Automotive,"Distributor, Retail & Mobility",United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://www.afuturewithus.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Hyundai Motor Manufacturing Middle East,Vehicle Manufacturer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,98,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Hyundai%20Motor%20Manufacturing%20Middle%20East%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Petromin Corporation,"Mobility, Services & Dealer",Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.petromin.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ebrahim K. Kanoo,Automotive & Mobility Group,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.ekkanoo.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Mulla Automotive,Distributor & Dealer,Kuwait,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.almullagroup.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Alghanim Automotive,Distributor & Mobility,Kuwait,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.alghanim.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Alfardan Automotive,Distributor & Mobility Group,Qatar,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.alfardan.com.qa/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
