id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Head of Digital Transformation,Emirates NBD Egypt,Digital Transformation,Egypt,Egypt,Cairo,High,Available,Listed 2 weeks ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
2,"Consulting Manager - Digital, Visa Consulting and Analytics",Visa,Digital Transformation,Egypt,Egypt,Egypt,High,Available,Listed 4 days ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
3,Odoo Implementer & Digital Transformation Manager,Misr Radiology Center,Digital Transformation,Egypt,Egypt,Cairo,High,Available,Listed 11 hours ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
4,Senior AI / Digital Transformation Expert,Accenture,AI & Automation,Egypt,Egypt,Cairo,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
5,AI Architect,Deloitte Innovation Hub,AI & Automation,Egypt,Egypt,Cairo,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
6,Platform Architect - OT/IT,Coca-Cola HBC,Solution Architecture,Egypt,Egypt,Cairo,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
7,Business Transformation Lead,VOIS,Digital Transformation,Egypt,Egypt,Giza,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
8,Associate Director - MENA Chief Data Officer,EY,Data & Governance,Egypt,Egypt,Cairo,High,Available,Listed 13 hours ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
9,IT Solution Architect,VOIS,Solution Architecture,Egypt,Egypt,Giza,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
10,Architecture Advisor Expert,SAP,Enterprise Architecture,Egypt,Egypt,Cairo,High,Available,Listed 2 weeks ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
