id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-00825,Employer Career Page,company,Abbott,Medical Devices & Equipment,Medical Devices & Equipment,Medical Devices & Equipment,Medical Devices & Equipment,Healthcare & Life Sciences,Global,"Abbott Park, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,66,Medium,Priority 1,https://www.jobs.abbott/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
company-01082,Employer Career Page,company,Abbott,Health-sector employer search,Health-sector employer search,Medical Devices & Equipment,Medical Devices & Equipment,Healthcare & Life Sciences,Global,"Abbott Park, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,66,Medium,Priority 1,https://www.google.com/search?q=%22Abbott%22+careers+digital+health+IT+data+jobs,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
company-00713,Employer Career Page,company,AbbVie,Global Pharmaceuticals,Global Pharmaceuticals,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://careers.abbvie.com/,"Biopharma, digital, data, medical and commercial operations"
company-01010,Employer Career Page,company,AbbVie,Health-sector employer search,Health-sector employer search,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://careers.abbvie.com/,"Biopharma, digital, data, medical and commercial operations"
company-00380,Employer Career Page,organization,Aga Khan Health Services,Career and project search,Career and project search,Healthcare Provider,Healthcare Provider,Healthcare Provider,Africa · Global,Africa · Global,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,20,Low,Priority 1,https://www.aku.edu/careers/Pages/home.aspx,"Hospitals, health systems, data, education and development"
company-02169,Employer Career Page,organization,Aga Khan Health Services,Healthcare Provider,Healthcare Provider,Healthcare Provider,Healthcare Provider,Healthcare Provider,Africa · Global,Africa · Global,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,20,Low,Priority 1,https://www.aku.edu/careers/Pages/home.aspx,"Hospitals, health systems, data, education and development"
company-00774,Employer Career Page,company,Amgen,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Healthcare & Life Sciences,Global,"Thousand Oaks, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,64,Medium,Priority 1,https://careers.amgen.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
company-01011,Employer Career Page,company,Amgen,Health-sector employer search,Health-sector employer search,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Healthcare & Life Sciences,Global,"Thousand Oaks, USA",,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,64,Medium,Priority 1,https://www.google.com/search?q=%22Amgen%22+careers+digital+health+IT+data+jobs,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
company-00984,Employer Career Page,company,Amoun Pharmaceutical,"Egypt, Middle East & Africa","Egypt, Middle East & Africa",Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://amoun.com/careers/,"Pharma manufacturing, operations, supply chain and technology"
company-01060,Employer Career Page,company,Amoun Pharmaceutical,Health-sector employer search,Health-sector employer search,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://amoun.com/careers/,"Pharma manufacturing, operations, supply chain and technology"
