id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
search-005218,Live Search,live_search,Enterprise Architect,LinkedIn,LinkedIn,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,63,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Jordan&sortBy=DD,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005219,Live Search,live_search,Enterprise Architect,Indeed,Indeed,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,63,Medium,,https://www.indeed.com/jobs?q=Enterprise+Architect&l=Jordan&sort=date,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005220,Live Search,live_search,Enterprise Architect,Glassdoor,Glassdoor,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005221,Live Search,live_search,Enterprise Architect,Jooble,Jooble,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005222,Live Search,live_search,Enterprise Architect,Careerjet,Careerjet,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,63,Medium,,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Jordan,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005223,Live Search,live_search,Enterprise Architect,Talent.com,Talent.com,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,63,Medium,,https://www.talent.com/jobs?k=Enterprise+Architect&l=Jordan,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005224,Live Search,live_search,Enterprise Architect,Google Jobs,Google Jobs,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=Enterprise+Architect+jobs+Jordan,"Google job search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005225,Live Search,live_search,Enterprise Architect,Bayt,Bayt,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,63,Medium,,https://www.bayt.com/en/jordan/jobs/enterprise-architect-jobs/,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005226,Live Search,live_search,Enterprise Architect,Akhtaboot,Akhtaboot,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Akhtaboot,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Enterprise+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005227,Live Search,live_search,Enterprise Architect,Tanqeeb,Tanqeeb,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Tanqeeb,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Atanqeeb.com+%22Enterprise+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005228,Live Search,live_search,Enterprise Architect,Naukrigulf,Naukrigulf,Enterprise Architecture,Enterprise Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Naukrigulf,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Enterprise+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005229,Live Search,live_search,Solutions Architect,LinkedIn,LinkedIn,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,59,Low,,https://www.linkedin.com/jobs/search/?keywords=Solutions+Architect&location=Jordan&sortBy=DD,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005230,Live Search,live_search,Solutions Architect,Indeed,Indeed,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,59,Low,,https://www.indeed.com/jobs?q=Solutions+Architect&l=Jordan&sort=date,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005231,Live Search,live_search,Solutions Architect,Glassdoor,Glassdoor,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,59,Low,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solutions+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005232,Live Search,live_search,Solutions Architect,Jooble,Jooble,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=site%3Ajooble.org+%22Solutions+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005233,Live Search,live_search,Solutions Architect,Careerjet,Careerjet,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,59,Low,,https://www.careerjet.com/search/jobs?s=Solutions+Architect&l=Jordan,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005234,Live Search,live_search,Solutions Architect,Talent.com,Talent.com,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,59,Low,,https://www.talent.com/jobs?k=Solutions+Architect&l=Jordan,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005235,Live Search,live_search,Solutions Architect,Google Jobs,Google Jobs,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=Solutions+Architect+jobs+Jordan,"Google job search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005236,Live Search,live_search,Solutions Architect,Bayt,Bayt,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,59,Low,,https://www.bayt.com/en/jordan/jobs/solutions-architect-jobs/,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005237,Live Search,live_search,Solutions Architect,Akhtaboot,Akhtaboot,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Akhtaboot,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Solutions+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005238,Live Search,live_search,Solutions Architect,Tanqeeb,Tanqeeb,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Tanqeeb,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=site%3Atanqeeb.com+%22Solutions+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005239,Live Search,live_search,Solutions Architect,Naukrigulf,Naukrigulf,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Naukrigulf,B,Recognized job platform,Platform,59,Low,,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solutions+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005240,Live Search,live_search,Solution Architect,LinkedIn,LinkedIn,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,59,Low,,https://www.linkedin.com/jobs/search/?keywords=Solution+Architect&location=Jordan&sortBy=DD,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005241,Live Search,live_search,Solution Architect,Indeed,Indeed,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,59,Low,,https://www.indeed.com/jobs?q=Solution+Architect&l=Jordan&sort=date,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005242,Live Search,live_search,Solution Architect,Glassdoor,Glassdoor,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,59,Low,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solution+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005243,Live Search,live_search,Solution Architect,Jooble,Jooble,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=site%3Ajooble.org+%22Solution+Architect%22+%22Jordan%22+jobs,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005244,Live Search,live_search,Solution Architect,Careerjet,Careerjet,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,59,Low,,https://www.careerjet.com/search/jobs?s=Solution+Architect&l=Jordan,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005245,Live Search,live_search,Solution Architect,Talent.com,Talent.com,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,59,Low,,https://www.talent.com/jobs?k=Solution+Architect&l=Jordan,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-005246,Live Search,live_search,Solution Architect,Google Jobs,Google Jobs,Solution Architecture,Solution Architecture,,Arab Region,Jordan,Jordan,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,59,Low,,https://www.google.com/search?q=Solution+Architect+jobs+Jordan,"Google job search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route."
