id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,United Nations Secretariat,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.un.org/
2,UNDP,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.undp.org/careers
3,UNICEF,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unicef.org/careers
4,UNOPS,UN & Multilateral,UN & Multilateral,Global,"Copenhagen, Denmark",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://jobs.unops.org/
5,UNHCR,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unhcr.org/careers
6,World Food Programme,UN & Multilateral,UN & Multilateral,Global,"Rome, Italy",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.wfp.org/careers
7,World Health Organization,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.who.int/careers
8,International Organization for Migration,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.iom.int/careers
9,UNFPA,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unfpa.org/jobs
10,FAO,UN & Multilateral,UN & Multilateral,Global,"Rome, Italy",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.fao.org/employment/en/
11,UNESCO,UN & Multilateral,UN & Multilateral,Global,"Paris, France",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.unesco.org/
12,International Labour Organization,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://jobs.ilo.org/
13,UN Women,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unwomen.org/en/about-us/employment
14,UN Environment Programme,UN & Multilateral,UN & Multilateral,Africa,"Nairobi, Kenya",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unep.org/work-with-us
15,UN-Habitat,UN & Multilateral,UN & Multilateral,Africa,"Nairobi, Kenya",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://unhabitat.org/join-us
16,UNIDO,UN & Multilateral,UN & Multilateral,Global,"Vienna, Austria",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.unido.org/
17,UNRWA,UN & Multilateral,UN & Multilateral,GCC & Middle East,"Amman, Jordan",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.unrwa.org/
