id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
project-00001,Project / Tender,project,Provision of Software and Application Development Services,UN Secretariat,UN Secretariat,UN / Multilateral ICT Contract,UN / Multilateral ICT Contract,,Remote / Global,Global,,Available,2026-07-15,2026-08-30,2026-07-20,Published 15 Jul 2026; deadline 30 Aug 2026,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice/307464,Reference: EOIUNPD24558. Verify deadline and bidder eligibility on the source portal.
project-00002,Project / Tender,project,Consultancy Firm to Develop Digital Infrastructure and Knowledge Systems,ILO,ILO,Digital Infrastructure Consultancy,Digital Infrastructure Consultancy,,Africa,Ethiopia / East & Horn of Africa,,Expired,2026-06-26,2026-07-09,2026-07-20,Published 26 Jun 2026; deadline 9 Jul 2026,UNGM,A,Official / primary source,Official,50,Low,,https://www.ungm.org/Public/Notice/305410,Reference: rfx_7435_ROAF. Verify deadline and bidder eligibility on the source portal.
project-00003,Project / Tender,project,"ICT Advisory, Research and Consulting Services",UNICC,UNICC,ICT Consulting Framework,ICT Consulting Framework,,Other,Multiple destinations,,Expired,2026-06-19,2026-07-17,2026-07-20,Published 19 Jun 2026; deadline 17 Jul 2026,UNGM,A,Official / primary source,Official,48,Low,,https://www.ungm.org/Public/Notice/304703,Reference: UNICC/RFP/2026/00262. Verify deadline and bidder eligibility on the source portal.
project-00004,Project / Tender,project,Digital Skills Training for Youth and MSMEs,UNDP,UNDP,Digital Skills Consultancy,Digital Skills Consultancy,,Africa,Nigeria,,Expired,2026-06-26,2026-07-08,2026-07-20,Published 26 Jun 2026; deadline 8 Jul 2026,UNGM,A,Official / primary source,Official,50,Low,,https://www.ungm.org/Public/Notice/305435,Reference: UNDP-NGA-01455. Verify deadline and bidder eligibility on the source portal.
project-00005,Project / Tender,project,LTA for Outsourced ICT Support Personnel,UNICEF,UNICEF,ICT Staffing Contract,ICT Staffing Contract,,Other,India / UN Offices,,Available,2026-07-08,2026-07-30,2026-07-20,Published 8 Jul 2026; deadline 30 Jul 2026,UNGM,A,Official / primary source,Official,48,Low,,https://www.ungm.org/Public/Notice/306551,Reference: RFP-2026-019-9204913. Verify deadline and bidder eligibility on the source portal.
project-00006,Project / Tender,project,Digital Innovation and Cooperative Development for Renewable Energy Livelihoods,IOM,IOM,Digital Innovation Consultancy,Digital Innovation Consultancy,,Africa,Uganda,,Expired,2026-07-02,2026-07-10,2026-07-20,Published 2 Jul 2026; deadline 10 Jul 2026,UNGM,A,Official / primary source,Official,50,Low,,https://www.ungm.org/Public/Notice/305967,Reference: CD/06/2026. Verify deadline and bidder eligibility on the source portal.
project-00007,Project / Tender,project,MSME Capacity Assessments and Market Readiness Diagnostics,UNDP,UNDP,Business Development Consultancy,Business Development Consultancy,,Africa,Ghana,,Available,2026-07-10,2026-07-24,2026-07-20,Published 10 Jul 2026; deadline 24 Jul 2026,UNGM,A,Official / primary source,Official,50,Low,,https://www.ungm.org/Public/Notice/306912,Reference: UNDP-GHA-00535. Verify deadline and bidder eligibility on the source portal.
project-00008,Project / Tender,project,"IT Consultancy for ServiceNow, ManageEngine and Open Source Enterprise Solutions",UNICC,UNICC,Enterprise IT Consulting Framework,Enterprise IT Consulting Framework,,Other,Multiple destinations,,Expired,2026-03-09,2026-03-30,2026-07-20,Published 9 Mar 2026; deadline 30 Mar 2026,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice/293265,Reference: UNICC/RFP/2026/00225. Verify deadline and bidder eligibility on the source portal.
project-00009,Project / Tender,project,Digital Health and AI Access Approach Consultancy,Unitaid / WHO,Unitaid / WHO,Digital Health & AI Consultancy,Digital Health & AI Consultancy,,Remote / Global,Global,,Expired,2026-05-12,2026-05-15,2026-07-20,Published 12 May 2026; deadline 15 May 2026,UNGM,A,Official / primary source,Official,57,Low,,https://www.ungm.org/Public/Notice/298060,Reference: UNITAID/P/0009044. Verify deadline and bidder eligibility on the source portal.
project-00010,Project / Tender,project,Provider of Digital Labor Market Intermediation Services,World Bank Group,World Bank Group,Software & Digital Employment Services,Software & Digital Employment Services,,Remote / Global,Global,,Expired,2026-06-29,2026-07-13,2026-07-20,Published 29 Jun 2026; deadline 13 Jul 2026,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/7061/view.html,Reference: 0002022785. Verify deadline and bidder eligibility on the source portal.
