id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
search-008837,Live Search,live_search,Enterprise Architect,LinkedIn,LinkedIn,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,64,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=South+Africa&sortBy=DD,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008838,Live Search,live_search,Enterprise Architect,Indeed,Indeed,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,64,Medium,,https://za.indeed.com/jobs?q=Enterprise+Architect&l=South+Africa&sort=date,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008839,Live Search,live_search,Enterprise Architect,Glassdoor,Glassdoor,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,64,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22South+Africa%22+jobs,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008840,Live Search,live_search,Enterprise Architect,Jooble,Jooble,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,64,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22South+Africa%22+jobs,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008841,Live Search,live_search,Enterprise Architect,Careerjet,Careerjet,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,64,Medium,,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=South+Africa,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008842,Live Search,live_search,Enterprise Architect,Talent.com,Talent.com,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,64,Medium,,https://www.talent.com/jobs?k=Enterprise+Architect&l=South+Africa,"Direct platform search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008843,Live Search,live_search,Enterprise Architect,Google Jobs,Google Jobs,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,64,Medium,,https://www.google.com/search?q=Enterprise+Architect+jobs+South+Africa,"Google job search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008844,Live Search,live_search,Enterprise Architect,MyJobMag,MyJobMag,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,MyJobMag,B,Direct organization or specialist source,Direct,64,Medium,,https://www.google.com/search?q=site%3Amyjobmag.com+%22Enterprise+Architect%22+%22South+Africa%22+jobs,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008845,Live Search,live_search,Enterprise Architect,AfricaWork,AfricaWork,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,AfricaWork,B,Direct organization or specialist source,Direct,64,Medium,,https://www.google.com/search?q=site%3Aafricawork.com+%22Enterprise+Architect%22+%22South+Africa%22+jobs,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-008846,Live Search,live_search,Enterprise Architect,Careers24,Careers24,Enterprise Architecture,Enterprise Architecture,,Africa,South Africa,South Africa,Live Search,,,2026-07-20,Live search,Careers24,B,Direct organization or specialist source,Direct,64,Medium,,https://www.google.com/search?q=site%3Acareers24.com%2Fjobs+%22Enterprise+Architect%22+%22South+Africa%22+jobs,"Platform-indexed search for Enterprise Architect in South Africa. Sort by newest on the platform and verify employer, date, location eligibility and application route."
