id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
706,Enterprise Architect,LinkedIn,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Saudi+Arabia&sortBy=DD
707,Enterprise Architect,Indeed,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://sa.indeed.com/jobs?q=Enterprise+Architect&l=Saudi+Arabia&sort=date
708,Enterprise Architect,Glassdoor,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs
709,Enterprise Architect,Jooble,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs
710,Enterprise Architect,Careerjet,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Saudi+Arabia
711,Enterprise Architect,Talent.com,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://sa.talent.com/jobs?k=Enterprise+Architect&l=Saudi+Arabia
712,Enterprise Architect,Adzuna,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Adzuna,https://www.adzuna.com/search?q=Enterprise+Architect&loc=Saudi+Arabia
713,Enterprise Architect,Jobrapido,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobrapido,https://www.google.com/search?q=site%3Ajobrapido.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs
714,Enterprise Architect,Jobsora,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jobsora,https://www.google.com/search?q=site%3Ajobsora.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs
715,Enterprise Architect,Google Jobs,Enterprise Architecture,GCC,Saudi Arabia,Saudi Arabia,High,Available,Live search,2026-07-20,"Google job search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Enterprise+Architect+jobs+Saudi+Arabia
