"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Egypt Government Jobs Portal","Central Agency for Organization and Administration","Official Government Vacancies","Egypt","Egypt","Egypt","High","Needs Verification","","2026-07-20","Eligibility varies by vacancy.","Official government portal","https://jobs.caoa.gov.eg/"
"2","Jadarat National Employment Platform","Saudi Arabia","Unified Employment Platform","GCC","Saudi Arabia","Saudi Arabia","High","Needs Verification","","2026-07-20","Government-backed national employment platform.","Official government portal","https://jadarat.sa/"
"3","Saudi Ministry of Human Resources Careers","HRSD","Government Careers","GCC","Saudi Arabia","Saudi Arabia","High","Needs Verification","","2026-07-20","Verify nationality and vacancy conditions.","Official government portal","https://www.hrsd.gov.sa/en/ministry/about-ministry/work-with-us"
"4","Federal Government Jobs Portal","FAHR","Federal Government Vacancies","GCC","United Arab Emirates","United Arab Emirates","High","Needs Verification","","2026-07-20","Many roles prioritize UAE nationals.","Official government portal","https://www.fahr.gov.ae/Portal/en/careers.aspx"
"5","Abu Dhabi Government Careers","TAMM","Government Jobs Portal","GCC","United Arab Emirates","United Arab Emirates","High","Needs Verification","","2026-07-20","Eligibility varies by vacancy.","Official government portal","https://www.tamm.abudhabi/en/life-events/individual/Work-and-employment/Jobs"
"6","Dubai Careers","Dubai Government","Government Jobs Portal","GCC","United Arab Emirates","United Arab Emirates","High","Needs Verification","","2026-07-20","Eligibility varies by vacancy.","Official government portal","https://dubaicareers.ae/"
"7","Qatar Kawader","Qatar Government","Government Employment Platform","GCC","Qatar","Qatar","High","Needs Verification","","2026-07-20","Verify nationality and eligibility.","Official government portal","https://www.kawader.gov.qa/"
"8","Bahrain Civil Service Bureau","Bahrain Government","Public Service Careers","GCC","Bahrain","Bahrain","High","Needs Verification","","2026-07-20","Verify vacancy requirements.","Official government portal","https://www.csb.gov.bh/"
"9","Oman Ministry of Labour","Oman Government","Government Employment Services","GCC","Oman","Oman","High","Needs Verification","","2026-07-20","Verify public and private employment services.","Official government portal","https://www.mol.gov.om/"
"10","Kuwait Civil Service Commission","Kuwait Government","Public Service Careers","GCC","Kuwait","Kuwait","High","Needs Verification","","2026-07-20","Verify nationality and registration conditions.","Official government portal","https://www.csc.gov.kw/"
"offline-government-1","Chief Information Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
"offline-government-2","Chief Technology Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Technology%20Officer&location=Egypt&sortBy=DD"
"offline-government-3","IT Director — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=IT%20Director&location=Egypt&sortBy=DD"
"offline-government-4","Director of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Director%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-government-5","Head of Information Systems — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Information%20Systems&location=Egypt&sortBy=DD"
"offline-government-6","Head of Enterprise Applications — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Enterprise%20Applications&location=Egypt&sortBy=DD"
"offline-government-7","Head of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-government-8","Enterprise Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Enterprise%20Architect&location=Egypt&sortBy=DD"
"offline-government-9","Solution Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Solution%20Architect&location=Egypt&sortBy=DD"
