employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
1,Saudi Aramco,Saudi Arabia,GCC,Energy & Utilities,Career Page Available,Priority 1,92,Official employer careers,A,2026-07-28,https://www.aramco.com/en/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #1. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
2,International Holding Company (IHC),United Arab Emirates,GCC,Diversified Holdings,Career Page Available,Priority 1,90,Official employer careers,A,2026-07-28,https://www.ihcuae.com/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #2. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
3,QNB Group,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,94,,B,2026-07-28,https://www.qnb.com/sites/qnb/qnbglobal/page/en/encareers.html,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #3. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
4,Saudi National Bank (SNB),Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.alahli.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #4. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
5,Al Rajhi Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.alrajhibank.com.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #5. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
6,Emirates NBD Group,United Arab Emirates,GCC,Diversified & Other,Career Page Available,Monitor,81,,B,2026-07-28,https://www.emiratesnbd.com/en/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #6. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
7,First Abu Dhabi Bank (FAB),United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.bankfab.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #7. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
8,stc Group,Saudi Arabia,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,A,2026-07-28,https://www.stc.com.sa/content/stcgroupwebsite/sa/en/content-page/careers.html,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #8. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
9,Kuwait Finance House (KFH),Kuwait,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://www.kfh.com/en/home/Personal/careers.html,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #9. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
10,Abu Dhabi Commercial Bank (ADCB),United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://www.adcb.com/en/about-us/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #10. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
11,TAQA Group,United Arab Emirates,GCC,Energy & Utilities,Career Page Available,Priority 2,89,,B,2026-07-28,https://careers.taqa.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #11. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
12,ADNOC Gas,United Arab Emirates,GCC,Energy & Utilities,Career Page Available,Priority 2,89,Official employer careers,A,2026-07-28,https://jobs.adnoc.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #12. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
13,e&,United Arab Emirates,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,A,2026-07-28,https://www.eand.com/en/careers.html,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #13. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
14,SABIC,Saudi Arabia,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,88,Official employer careers,A,2026-07-28,https://jobs.sabic.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #14. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
