id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,LinkedIn Egypt digital transformation jobs,Recent Egypt roles,Job Source,Egypt,Egypt,,,Monitoring,,2026-07-20,Used to identify recently listed Egypt roles and job families.,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1
2,LinkedIn Saudi digital transformation advisor jobs,Recent Saudi roles,Job Source,GCC,Saudi Arabia,,,Monitoring,,2026-07-20,Used to identify recent architecture and transformation roles.,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
3,LinkedIn Kenya IT director jobs,Recent Kenya roles,Job Source,Africa,Kenya,,,Monitoring,,2026-07-20,Used to identify current technology leadership and digital health roles.,,https://ke.linkedin.com/jobs/it-director-jobs
4,Canonical Careers,Remote worldwide roles,Official Employer Source,Remote / Global,Worldwide,,,Monitoring,,2026-07-20,Official current remote roles.,,https://canonical.com/careers/all
5,GitLab Jobs,Remote solutions architecture roles,Official Employer Source,Remote / Global,Worldwide,,,Monitoring,,2026-07-20,Official remote job listing.,,https://about.gitlab.com/jobs/all-jobs/
6,UNGM,UN tenders and consulting opportunities,Project Source,Global,Multiple,,,Monitoring,,2026-07-20,Official UN procurement platform.,,https://www.ungm.org/Public/Notice
7,World Bank RFx Now,World Bank consulting opportunities,Project Source,Global,Multiple,,,Monitoring,,2026-07-20,World Bank Group operational consulting opportunities.,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
8,African Development Bank Consultants,Consultant opportunities,Project Source,Africa,Africa,,,Monitoring,,2026-07-20,Official AfDB consultant vacancy page.,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
9,Indeed,Global job search platform,Official platform source,Remote / Global,60+ countries,,,Monitoring,,2026-07-20,Indeed describes itself as the world’s #1 job site and operates in over 60 countries.,Official platform,https://www.indeed.com/
10,Glassdoor,"Jobs, reviews and salary research",Official platform source,Remote / Global,Global,,,Monitoring,,2026-07-20,Glassdoor provides millions of jobs plus company reviews and salary information.,Official platform,https://www.glassdoor.com/
11,GulfTalent,Middle East professional jobs,Official platform source,GCC,Middle East,,,Monitoring,,2026-07-20,Used for Gulf and Middle East searches and recent market counts.,Official platform,https://www.gulftalent.com/jobs
12,Bayt,MENA job platform,Official platform source,Arab Region,MENA,,,Monitoring,,2026-07-20,Used for Middle East and North Africa searches.,Official platform,https://www.bayt.com/en/international/jobs/
13,WUZZUF,Egypt jobs platform,Official platform source,Egypt,Egypt,,,Monitoring,,2026-07-20,Used for current Egypt searches and category coverage.,Official platform,https://wuzzuf.net/jobs/egypt
14,Naukrigulf,Gulf jobs platform,Official platform source,GCC,GCC / Middle East,,,Monitoring,,2026-07-20,Used for Gulf-focused searches.,Official platform,https://www.naukrigulf.com/
15,BrighterMonday,East Africa jobs,Official platform source,Africa,Kenya / Uganda / Tanzania,,,Monitoring,,2026-07-20,Used for East African country searches.,Official platform,https://www.brightermonday.co.ke/jobs
16,Jobberman,West Africa jobs,Official platform source,Africa,Nigeria / Ghana,,,Monitoring,,2026-07-20,Used for Nigeria and Ghana searches.,Official platform,https://www.jobberman.com/jobs
17,Careers24,South Africa jobs,Official platform source,Africa,South Africa,,,Monitoring,,2026-07-20,Used for South African job searches.,Official platform,https://www.careers24.com/jobs
18,Wellfound,Startup jobs,Official platform source,Remote / Global,Global startups,,,Monitoring,,2026-07-20,Used for startup and remote technology searches.,Official platform,https://wellfound.com/jobs
19,We Work Remotely,Remote job board,Official platform source,Remote / Global,Worldwide remote,,,Monitoring,,2026-07-20,Used for remote-first searches.,Official platform,https://weworkremotely.com/
20,Remotive,Curated remote jobs,Official platform source,Remote / Global,Worldwide remote,,,Monitoring,,2026-07-20,Used for curated remote searches.,Official platform,https://remotive.com/remote-jobs
21,Jooble,International aggregator,Official platform source,Remote / Global,66 countries,,,Monitoring,,2026-07-20,Used as an international aggregator.,Official platform,https://jooble.org/
22,Careerjet,International job search engine,Official platform source,Remote / Global,130+ countries,,,Monitoring,,2026-07-20,Used for broad country and keyword searches.,Official platform,https://www.careerjet.com/
23,Talent.com,International job search platform,Official platform source,Remote / Global,77 countries,,,Monitoring,,2026-07-20,Used for international job searches.,Official platform,https://www.talent.com/
