id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
49,Solution Architecture Manager,Canonical,Solution Architecture,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=public+cloud
50,Cloud Solutions Architect - Alliances,Canonical,Solution Architecture,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=cloud
51,Solutions Architect for Automotive,Canonical,Solution Architecture,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=cloud
52,Cloud Professional Services Manager,Canonical,IT Leadership,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=Home+based
53,Cloud Field Engineering Manager,Canonical,IT Leadership,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=cloud
54,Lead Data Governance Engineer,Canonical,Data & Governance,Remote / Global,Worldwide,EMEA Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=App
55,Engineering Manager - Data Platform,Canonical,Data & Governance,Remote / Global,Worldwide,Worldwide Remote,High,Available,Current official careers listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Canonical,https://canonical.com/careers/all?search=App
56,"Senior Solutions Architect, AI / Core DevOps - EMEA",GitLab,Solution Architecture,Remote / Global,Worldwide,Remote United Kingdom / EMEA,High,Available,Current official jobs listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",GitLab,https://about.gitlab.com/jobs/all-jobs/
57,"Senior Solutions Architect, MEA",GitLab,Solution Architecture,GCC,United Arab Emirates,Remote UAE,High,Available,Current official jobs listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",GitLab,https://about.gitlab.com/jobs/all-jobs/
58,Solution/Enterprise Architect - Martech Consolidation,Exadel,Enterprise Architecture,Remote / Global,Worldwide,Remote / contract,High,Available,Current Greenhouse listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Greenhouse,https://job-boards.greenhouse.io/externaljobboards/jobs/6109259004
59,"Enterprise Architect, Data Integration and BI",Myers-Holum,Enterprise Architecture,Remote / Global,Worldwide,Remote / location dependent,High,Available,Current Greenhouse listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Greenhouse,https://job-boards.greenhouse.io/mhi/jobs/6571212003
60,Transformation Architect - Northern Europe,Zscaler,Enterprise Architecture,Remote / Global,Worldwide,Remote Northern Europe,High,Available,Remote listing,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",Greenhouse,https://job-boards.greenhouse.io/zscaler/jobs/4998839007
1011,Enterprise Architect — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&sortBy=DD&location=Worldwide+Remote
1012,Enterprise Architect — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Enterprise+Architect
1013,Enterprise Architect — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-enterprise-architect-jobs
1014,Enterprise Architect — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Enterprise+Architect&remote=True
1015,Solution Architect — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Solution+Architect&sortBy=DD&location=Worldwide+Remote
1016,Solution Architect — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Solution+Architect
1017,Solution Architect — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-solution-architect-jobs
1018,Solution Architect — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Solution+Architect&remote=True
1019,Digital Transformation Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Digital+Transformation+Manager&sortBy=DD&location=Worldwide+Remote
1020,Digital Transformation Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Digital+Transformation+Manager
1021,Digital Transformation Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-digital-transformation-manager-jobs
1022,Digital Transformation Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Digital+Transformation+Manager&remote=True
1023,IT Director — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=IT+Director&sortBy=DD&location=Worldwide+Remote
1024,IT Director — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=IT+Director
1025,IT Director — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-it-director-jobs
1026,IT Director — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=IT+Director&remote=True
1027,Head of Technology — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Head+of+Technology&sortBy=DD&location=Worldwide+Remote
1028,Head of Technology — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Head+of+Technology
1029,Head of Technology — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-head-of-technology-jobs
1030,Head of Technology — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Head+of+Technology&remote=True
1031,Technology Director — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Technology+Director&sortBy=DD&location=Worldwide+Remote
1032,Technology Director — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Technology+Director
1033,Technology Director — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-technology-director-jobs
1034,Technology Director — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Technology+Director&remote=True
1035,IT Strategy Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=IT+Strategy+Manager&sortBy=DD&location=Worldwide+Remote
1036,IT Strategy Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=IT+Strategy+Manager
1037,IT Strategy Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-it-strategy-manager-jobs
1038,IT Strategy Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=IT+Strategy+Manager&remote=True
1039,Data Architect — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Data+Architect&sortBy=DD&location=Worldwide+Remote
1040,Data Architect — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Data+Architect
1041,Data Architect — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-data-architect-jobs
1042,Data Architect — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Data+Architect&remote=True
1043,Data Governance Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Worldwide+Remote
1044,Data Governance Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Data+Governance+Manager
1045,Data Governance Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-data-governance-manager-jobs
1046,Data Governance Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Data+Governance+Manager&remote=True
1047,Chief Data Officer — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Chief+Data+Officer&sortBy=DD&location=Worldwide+Remote
1048,Chief Data Officer — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Chief+Data+Officer
1049,Chief Data Officer — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-chief-data-officer-jobs
1050,Chief Data Officer — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Chief+Data+Officer&remote=True
1051,Healthcare IT Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Healthcare+IT+Manager&sortBy=DD&location=Worldwide+Remote
1052,Healthcare IT Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Healthcare+IT+Manager
1053,Healthcare IT Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-healthcare-it-manager-jobs
1054,Healthcare IT Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Healthcare+IT+Manager&remote=True
1055,Health Informatics — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Health+Informatics&sortBy=DD&location=Worldwide+Remote
1056,Health Informatics — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Health+Informatics
1057,Health Informatics — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-health-informatics-jobs
1058,Health Informatics — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Health+Informatics&remote=True
1059,Digital Health — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Digital+Health&sortBy=DD&location=Worldwide+Remote
1060,Digital Health — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Digital+Health
1061,Digital Health — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-digital-health-jobs
1062,Digital Health — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Digital+Health&remote=True
1063,Technical Program Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Technical+Program+Manager&sortBy=DD&location=Worldwide+Remote
1064,Technical Program Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=Technical+Program+Manager
1065,Technical Program Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-technical-program-manager-jobs
1066,Technical Program Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,High,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=Technical+Program+Manager&remote=True
1067,IT Portfolio Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=IT+Portfolio+Manager&sortBy=DD&location=Worldwide+Remote
1068,IT Portfolio Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=IT+Portfolio+Manager
1069,IT Portfolio Manager — RemoteOK Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",RemoteOK,https://remoteok.com/remote-it-portfolio-manager-jobs
1070,IT Portfolio Manager — Wellfound Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",Wellfound,https://wellfound.com/jobs?q=IT+Portfolio+Manager&remote=True
1071,PMO Manager — LinkedIn Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=PMO+Manager&sortBy=DD&location=Worldwide+Remote
1072,PMO Manager — WeWorkRemotely Live Search,Worldwide Remote,Live Job Search,Remote / Global,Worldwide Remote,Live / varies,Medium,Available,Live search sorted toward newest results,2026-07-20,"Global remote live-search pack. This is a live search link, not one fixed vacancy.",WeWorkRemotely,https://weworkremotely.com/remote-jobs/search?term=PMO+Manager
