title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Fairmont Doha,Accor,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor careers,A,2026-07-29,https://careers.accor.com/global/en/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Doha,Four Seasons,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Raffles Doha,Accor,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor careers,A,2026-07-29,https://careers.accor.com/global/en/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Ritz-Carlton, Doha",Marriott International,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Doha,Marriott International,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
W Doha,Marriott International,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Fairmont Riyadh,Accor,Riyadh,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor careers,A,2026-07-29,https://careers.accor.com/global/en/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Riyadh at Kingdom Centre,Four Seasons,Riyadh,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Ritz-Carlton, Riyadh",Marriott International,Riyadh,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Address Downtown,Emaar Hospitality Group,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Emaar Hospitality Group careers,A,2026-07-29,https://www.emaarhospitality.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Address Sky View,Emaar Hospitality Group,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Emaar Hospitality Group careers,A,2026-07-29,https://www.emaarhospitality.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Armani Hotel Dubai,Emaar Hospitality Group,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Emaar Hospitality Group careers,A,2026-07-29,https://www.emaarhospitality.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
