"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"15","Chief Information Officer","LinkedIn","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Saudi%20Arabia&sortBy=DD"
"16","Chief Information Officer","Indeed","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=Saudi%20Arabia&sort=date"
"17","Chief Information Officer","Glassdoor","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"18","Chief Information Officer","Bayt","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"19","Chief Information Officer","GulfTalent","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"20","Chief Information Officer","Naukrigulf","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"21","Chief Information Officer","Careerjet","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=Saudi%20Arabia"
"22","Chief Information Officer","Jooble","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=Saudi%20Arabia&ukw=Chief%20Information%20Officer"
"23","Chief Information Officer","Jobberman","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"24","Chief Information Officer","BrighterMonday","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"25","Chief Information Officer","Devex","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22Saudi%20Arabia%22%20jobs"
"26","Chief Information Officer","ReliefWeb","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20Saudi%20Arabia"
"27","Chief Information Officer","Google Jobs","Live Platform Search","Saudi Arabia","Saudi Arabia","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Saudi Arabia using Google Jobs.","Generated search matrix","https://www.google.com/search?q=Chief%20Information%20Officer%20jobs%20Saudi%20Arabia"
"28","Chief Information Officer","LinkedIn","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=United%20Arab%20Emirates&sortBy=DD"
"29","Chief Information Officer","Indeed","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=United%20Arab%20Emirates&sort=date"
"30","Chief Information Officer","Glassdoor","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22United%20Arab%20Emirates%22%20jobs"
"31","Chief Information Officer","Bayt","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"32","Chief Information Officer","GulfTalent","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22United%20Arab%20Emirates%22%20jobs"
"33","Chief Information Officer","Naukrigulf","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22United%20Arab%20Emirates%22%20jobs"
"34","Chief Information Officer","Careerjet","Live Platform Search","United Arab Emirates","United Arab Emirates","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in United Arab Emirates using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=United%20Arab%20Emirates"
