title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Burjeel Hospital Muscat,Burjeel Holdings,Muscat,Oman,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Burjeel Holdings careers,A,2026-07-29,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Aster Hospital Doha,Aster DM Healthcare,Doha,Qatar,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Aster DM Healthcare careers,A,2026-07-29,https://www.asterdmhealthcare.com/about-us/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Aseer,Saudi German Health,Khamis Mushait,Saudi Arabia,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Dammam,Saudi German Health,Dammam,Saudi Arabia,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Hail,Saudi German Health,Hail,Saudi Arabia,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Jeddah,Saudi German Health,Jeddah,Saudi Arabia,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Riyadh,Saudi German Health,Riyadh,Saudi Arabia,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Burjeel Hospital Abu Dhabi,Burjeel Holdings,Abu Dhabi,United Arab Emirates,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Burjeel Holdings careers,A,2026-07-29,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Burjeel Medical City,Burjeel Holdings,Abu Dhabi,United Arab Emirates,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Burjeel Holdings careers,A,2026-07-29,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Burjeel Royal Hospital Al Ain,Burjeel Holdings,Al Ain,United Arab Emirates,GCC,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Burjeel Holdings careers,A,2026-07-29,https://burjeelholdings.com/careers/,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
