id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
job-00001,Platform-Indexed Vacancy,job,Head of Digital Transformation,Emirates NBD Egypt,Emirates NBD Egypt,Digital Transformation,Digital Transformation,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,62,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00002,Platform-Indexed Vacancy,job,"Consulting Manager - Digital, Visa Consulting and Analytics",Visa,Visa,Digital Transformation,Digital Transformation,Technology & Consulting,Egypt,Egypt,Egypt,Possibly Available,2026-07-16,,2026-07-20,Listed 4 days ago,LinkedIn current search,B,Recognized job platform,Platform,64,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00003,Platform-Indexed Vacancy,job,Odoo Implementer & Digital Transformation Manager,Misr Radiology Center,Misr Radiology Center,Digital Transformation,Digital Transformation,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-20,,2026-07-20,Listed 11 hours ago,LinkedIn current search,B,Recognized job platform,Platform,62,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00004,Platform-Indexed Vacancy,job,Senior AI / Digital Transformation Expert,Accenture,Accenture,AI & Automation,AI & Automation,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,60,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00005,Platform-Indexed Vacancy,job,AI Architect,Deloitte Innovation Hub,Deloitte Innovation Hub,AI & Automation,AI & Automation,Other Multinational & Enterprise,Egypt,Egypt,Cairo,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,58,Low,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00006,Platform-Indexed Vacancy,job,Platform Architect - OT/IT,Coca-Cola HBC,Coca-Cola HBC,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,Egypt,Egypt,Cairo,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,64,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00007,Platform-Indexed Vacancy,job,Business Transformation Lead,VOIS,VOIS,Digital Transformation,Digital Transformation,Technology & Consulting,Egypt,Egypt,Giza,Possibly Available,2026-07-13,,2026-07-20,Listed 1 week ago,LinkedIn current search,B,Recognized job platform,Platform,62,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00008,Platform-Indexed Vacancy,job,Associate Director - MENA Chief Data Officer,EY,EY,Data & Governance,Data & Governance,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-20,,2026-07-20,Listed 13 hours ago,LinkedIn current search,B,Recognized job platform,Platform,65,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00009,Platform-Indexed Vacancy,job,IT Solution Architect,VOIS,VOIS,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,Egypt,Egypt,Giza,Expired,,,2026-07-20,Listing page available,LinkedIn,B,Recognized job platform,Platform,64,Medium,,https://www.linkedin.com/jobs/view/4356560149,Verify listing remains open
job-00010,Platform-Indexed Vacancy,job,Architecture Advisor Expert,SAP,SAP,Enterprise Architecture,Enterprise Architecture,Technology & Consulting,Egypt,Egypt,Cairo,Possibly Available,2026-07-06,,2026-07-20,Listed 2 weeks ago,LinkedIn current search,B,Recognized job platform,Platform,67,Medium,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
