"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Siemens Healthineers","Siemens Healthineers","Medical Technology","Global","Global","Global","High","Needs Verification","","2026-07-20","Healthcare technology, digital health and enterprise IT.","Official careers page","https://jobs.siemens-healthineers.com/"
"2","GE HealthCare","GE HealthCare","Medical Technology","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital platforms, medical technology and data.","Official careers page","https://careers.gehealthcare.com/"
"3","Philips","Philips","Health Technology","Global","Global","Global","High","Needs Verification","","2026-07-20","Health informatics, digital health and enterprise systems.","Official careers page","https://www.careers.philips.com/global/en/search-results"
"4","Roche","Roche","Pharmaceuticals & Diagnostics","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital, data, diagnostics and technology roles.","Official careers page","https://careers.roche.com/"
"5","AstraZeneca","AstraZeneca","Pharmaceuticals","Global","Global","Global","High","Needs Verification","","2026-07-20","IT, data, digital and commercial technology.","Official careers page","https://careers.astrazeneca.com/"
"6","Pfizer","Pfizer","Pharmaceuticals","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital, data and enterprise technology.","Official careers page","https://www.pfizer.com/about/careers"
"7","Sanofi","Sanofi","Pharmaceuticals","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital transformation and technology operations.","Official careers page","https://jobs.sanofi.com/"
"8","Abbott","Abbott","Medical Devices & Diagnostics","Global","Global","Global","High","Needs Verification","","2026-07-20","Diagnostics, devices, digital and IT roles.","Official careers page","https://www.jobs.abbott/"
"9","Johnson & Johnson","Johnson & Johnson","Healthcare","Global","Global","Global","High","Needs Verification","","2026-07-20","Technology, data and healthcare operations.","Official careers page","https://www.careers.jnj.com/"
"10","IQVIA","IQVIA","Life Sciences Technology","Global","Global","Global","High","Needs Verification","","2026-07-20","Health data, analytics, technology and consulting.","Official careers page","https://jobs.iqvia.com/"
"11","Novartis","Novartis","Pharmaceuticals","Global","Global","Global","High","Needs Verification","","2026-07-20","Data, digital, IT and pharmaceutical operations.","Official careers page","https://www.novartis.com/careers/career-search"
"12","Vezeeta","Vezeeta","Digital Health","Middle East","Egypt / MENA","Egypt / MENA","High","Needs Verification","","2026-07-20","Digital health platforms and technology leadership.","Official careers page","https://www.vezeeta.com/en/careers"
"offline-medical-1","Chief Information Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
"offline-medical-2","Chief Technology Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Technology%20Officer&location=Egypt&sortBy=DD"
"offline-medical-3","IT Director — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=IT%20Director&location=Egypt&sortBy=DD"
"offline-medical-4","Director of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Director%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-medical-5","Head of Information Systems — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Information%20Systems&location=Egypt&sortBy=DD"
"offline-medical-6","Head of Enterprise Applications — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Enterprise%20Applications&location=Egypt&sortBy=DD"
"offline-medical-7","Head of Digital Transformation — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Head%20of%20Digital%20Transformation&location=Egypt&sortBy=DD"
"offline-medical-8","Enterprise Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Enterprise%20Architect&location=Egypt&sortBy=DD"
"offline-medical-9","Solution Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Solution%20Architect&location=Egypt&sortBy=DD"
"offline-medical-10","Business Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Business%20Architect&location=Egypt&sortBy=DD"
"offline-medical-11","Technology Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Technology%20Architect&location=Egypt&sortBy=DD"
"offline-medical-12","Data Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Data%20Architect&location=Egypt&sortBy=DD"
"offline-medical-13","Cloud Architect — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=Egypt&sortBy=DD"
