id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Adecco,Staffing & Recruitment,Specialist Recruitment,Global,Global,,High,Not Available,,2026-07-20,"General staffing, professional recruitment",,https://www.adecco.com/
2,ManpowerGroup,Staffing & Recruitment,Technology Recruitment,Global,Global,,High,Not Available,,2026-07-20,"Technology, professional and workforce solutions",,https://www.manpowergroup.com/
3,Randstad,Staffing & Recruitment,HR & Talent Advisory,Global,Global,,Medium,Not Available,,2026-07-20,Professional staffing and talent solutions,,https://www.randstad.com/
4,Hays,Specialist Recruitment,Technology Recruitment,Global,Global,,High,Not Available,,2026-07-20,"Technology, finance, engineering and leadership",,https://www.hays.com/
5,Michael Page,Specialist Recruitment,Specialist Recruitment,Global,Global,,High,Not Available,,2026-07-20,Professional and management recruitment,,https://www.michaelpage.com/
6,Page Executive,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Senior leadership and executive search,,https://www.pageexecutive.com/
7,Robert Walters,Specialist Recruitment,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Professional and executive recruitment,,https://www.robertwalters.com/
8,Robert Half,Specialist Recruitment,Technology Recruitment,Global,Global,,High,Not Available,,2026-07-20,"Technology, finance, legal and administration",,https://www.roberthalf.com/
9,Korn Ferry,Executive Search & Advisory,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Executive search and organizational consulting,,https://www.kornferry.com/
10,Spencer Stuart,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Board and C-suite search,,https://www.spencerstuart.com/
11,Heidrick & Struggles,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Executive and leadership advisory,,https://www.heidrick.com/
12,Russell Reynolds Associates,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Board and executive leadership,,https://www.russellreynolds.com/
13,Egon Zehnder,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Executive search and leadership advisory,,https://www.egonzehnder.com/
14,Boyden,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Executive search and interim management,,https://www.boyden.com/
15,Odgers Berndtson,Executive Search,Executive Search,Global,Global,,High,Not Available,,2026-07-20,Executive recruitment and leadership services,,https://www.odgersberndtson.com/
16,Kelly,Staffing & Recruitment,Technology Recruitment,Global,Global,,High,Not Available,,2026-07-20,"Science, engineering, technology and professional staffing",,https://www.kellyservices.com/
17,Allegis Group,Talent Solutions,Staffing & Outsourcing,Global,Global,,Medium,Not Available,,2026-07-20,"Staffing, consulting and workforce solutions",,https://www.allegisgroup.com/
18,TEKsystems,Technology Recruitment,Technology Recruitment,Global,Global,,High,Not Available,,2026-07-20,"IT staffing, services and transformation talent",,https://www.teksystems.com/
19,Aerotek,Staffing & Recruitment,General Recruitment Agency,Global,Global,,Medium,Not Available,,2026-07-20,"Engineering, manufacturing and operations staffing",,https://www.aerotek.com/
20,Aston Carter,Professional Staffing,RPO & Talent Acquisition,Global,Global,,Medium,Not Available,,2026-07-20,"Business, finance, operations and corporate talent",,https://www.astoncarter.com/
