title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Mansour Automotive,"Distributor, Dealer & Manufacturer",Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.almansour.com.eg/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Valeo Egypt,Automotive Technology & Engineering,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://www.valeo.com/en/careers/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
GB Auto,"Manufacturer, Distributor & Mobility",Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://www.gb-auto.com/en/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
General Motors Egypt,Vehicle Manufacturer,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,97,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=General%20Motors%20Egypt%20Egypt&sortBy=DD,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Leoni Egypt,Automotive Wiring Manufacturer,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.leoni.com/en/careers/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
MCV,Commercial Vehicle Manufacturer,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.mcv-eg.com/careers,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Nissan Motor Egypt,Vehicle Manufacturer,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,97,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Nissan%20Motor%20Egypt%20Egypt&sortBy=DD,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Toyota Egypt,Distributor & Engineering,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://toyotaegypt.jobs.hr.cloud.sap/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Abou Ghaly Motors,Mobility & Automotive Group,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.aboughali.com/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ezz Elarab Automotive Group,Distributor & Dealer,Egypt,Egypt,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://ezz-elarab.com/careers/,"Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt","Major automotive manufacturer, assembler, agency, distributor, dealer or component company in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
