id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
search-017767,Live Search,live_search,Enterprise Architect,LinkedIn,LinkedIn,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,66,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Worldwide&sortBy=DD,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017768,Live Search,live_search,Enterprise Architect,Indeed,Indeed,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,66,Medium,,https://www.indeed.com/jobs?q=Enterprise+Architect&l=Worldwide&sort=date,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017769,Live Search,live_search,Enterprise Architect,Glassdoor,Glassdoor,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,66,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Worldwide%22+jobs,"Platform-indexed search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017770,Live Search,live_search,Enterprise Architect,Jooble,Jooble,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Worldwide%22+jobs,"Platform-indexed search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017771,Live Search,live_search,Enterprise Architect,Careerjet,Careerjet,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,66,Medium,,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Worldwide,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017772,Live Search,live_search,Enterprise Architect,Talent.com,Talent.com,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,66,Medium,,https://www.talent.com/jobs?k=Enterprise+Architect&l=Worldwide,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017773,Live Search,live_search,Enterprise Architect,Adzuna,Adzuna,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,66,Medium,,https://www.adzuna.com/search?q=Enterprise+Architect&loc=Worldwide,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017774,Live Search,live_search,Enterprise Architect,Google Jobs,Google Jobs,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=Enterprise+Architect+jobs+Worldwide,"Google job search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017775,Live Search,live_search,Enterprise Architect,Remote OK,Remote OK,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,Remote OK,B,Direct organization or specialist source,Direct,66,Medium,,https://remoteok.com/remote-enterprise-architect-jobs,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-017776,Live Search,live_search,Enterprise Architect,We Work Remotely,We Work Remotely,Enterprise Architecture,Enterprise Architecture,,Remote / Global,Worldwide,Worldwide,Live Search,,,2026-07-20,Live search,We Work Remotely,B,Direct organization or specialist source,Direct,66,Medium,,https://weworkremotely.com/remote-jobs/search?term=Enterprise+Architect,"Direct platform search for Enterprise Architect in Worldwide. Sort by newest on the platform and verify employer, date, location eligibility and application route."
