"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","United Nations Secretariat","United Nations","UN & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","ICT leadership, digital transformation and programme technology roles.","Official careers page","https://careers.un.org/"
"2","UNDP","United Nations Development Programme","UN & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital transformation, data and ICT programme roles.","Official careers page","https://www.undp.org/careers"
"3","UNICEF","United Nations Children’s Fund","UN & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","Technology for development, data and ICT leadership.","Official careers page","https://www.unicef.org/careers"
"4","UNOPS","United Nations Office for Project Services","UN & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital systems, infrastructure and programme delivery.","Official careers page","https://jobs.unops.org/"
"5","World Health Organization","WHO","Health & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","Health information systems and digital health roles.","Official careers page","https://www.who.int/careers"
"6","World Food Programme","WFP","UN & Multilateral","Global","Global","Global","High","Needs Verification","","2026-07-20","Enterprise systems, data and digital operations.","Official careers page","https://www.wfp.org/careers"
"7","World Bank Group","International Development","Development Finance","Global","Global","Global","High","Needs Verification","","2026-07-20","Digital development, GovTech and enterprise technology.","Official careers page","https://www.worldbank.org/en/about/careers"
"8","African Development Bank","AfDB","Development Finance","Africa","Africa","Africa","High","Needs Verification","","2026-07-20","Digital transformation and technology programmes across Africa.","Official careers page","https://www.afdb.org/en/about/careers"
"9","Microsoft Careers","Microsoft","Technology Vendor","Global","Global","Global","High","Needs Verification","","2026-07-20","Cloud, architecture, consulting and technology leadership.","Official careers page","https://jobs.careers.microsoft.com/global/en/search"
"10","SAP Careers","SAP","Enterprise Software","Global","Global","Global","High","Needs Verification","","2026-07-20","ERP, enterprise applications and transformation.","Official careers page","https://jobs.sap.com/"
"11","Oracle Careers","Oracle","Enterprise Software","Global","Global","Global","High","Needs Verification","","2026-07-20","Cloud, enterprise architecture and applications.","Official careers page","https://careers.oracle.com/"
"12","IBM Careers","IBM","Technology & Consulting","Global","Global","Global","High","Needs Verification","","2026-07-20","Architecture, consulting and digital transformation.","Official careers page","https://www.ibm.com/careers/search"
"13","GIZ","German Development Cooperation","International Development","Africa & MENA","Global","Global","High","Needs Verification","","2026-07-20","Digital development and public-sector transformation.","Official careers page","https://www.giz.de/en/career/jobs.html"
"14","Orange Egypt Careers","Orange Egypt","Telecommunications","Middle East","Egypt","Egypt","High","Needs Verification","","2026-07-20","Telecom technology, platforms and IT leadership.","Official careers page","https://orange.jobs/jobs?lang=en"
"15","Vodafone Careers","Vodafone","Telecommunications","Global","Egypt / Global","Egypt / Global","High","Needs Verification","","2026-07-20","Enterprise technology and digital programmes.","Official careers page","https://careers.vodafone.com/"
"offline-organizations-1","Chief Information Officer — Egypt","LinkedIn","Live Search","Egypt","Egypt","Egypt","High","Monitoring","","2026-07-21","Generated monitoring search for offline coverage. Open the source and verify any named vacancy before applying.","Generated live search","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
