title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Gulf Insurance Group,Regional Insurance Group,Kuwait,GCC,Insurance & InsurTech,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://www.gig-gulf.com/en/careers,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Bupa Arabia,Health Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.bupa.com.sa/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Tawuniya,Composite & Medical,Saudi Arabia,GCC,Insurance & InsurTech,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.tawuniya.com.sa/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Daman,Health Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.damanhealth.ae/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Qatar Insurance Company,Composite Insurance,Qatar,GCC,Insurance & InsurTech,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.qic-group.com/careers/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Abu Dhabi National Insurance Company,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.adnic.ae/about-us/careers,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sukoon Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.sukoon.com/about-us/careers,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Orient Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Orient%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
National Life & General Insurance,Life & General,Oman,GCC,Insurance & InsurTech,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://www.nlgic.com/careers/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
QLM Life & Medical Insurance,Life & Medical,Qatar,GCC,Insurance & InsurTech,Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=QLM%20Life%20%26%20Medical%20Insurance%20Qatar&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Rajhi Takaful,Takaful,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Rajhi%20Takaful%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Saudi Re,Reinsurance,Saudi Arabia,GCC,Insurance & InsurTech,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://saudire.net/careers/,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
