id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
17,Enterprise Architecture Manager,Linnk Group,Enterprise Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 6 hours ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/it-leadership-jobs
18,Principal GRC Consultant,Innovative Solutions SA,Cybersecurity,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 day ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/it-leadership-jobs
19,"Solution Architect - Senior Manager, GCC Lead",Visa,Solution Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/saudi-payments-jobs?countryRedirected=1
20,Digital Transformation Advisor,HUED,Digital Transformation,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 hour ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
21,Solution Architect - Enterprise,Riyadh Air,Solution Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 2 weeks ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
22,Technology Architect,Devoteam,Solution Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 week ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
23,Solution Enterprise Architect,CoorB,Enterprise Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 day ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
24,Enterprise Solutions Architect - Presales Expert,DXC Technology,Enterprise Architecture,GCC,Saudi Arabia,Riyadh,High,Available,Listed 1 day ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
25,AI Go-to-Market Solution Architect,NTT DATA,AI & Automation,GCC,Saudi Arabia,Riyadh,High,Available,Listed 2 weeks ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
26,Manager - IT Strategy and Planning,Qiddiya,IT Leadership,GCC,Saudi Arabia,Riyadh,High,Available,Listed 5 days ago,2026-07-20,"Verify eligibility, deadline and work authorization on the linked source before applying.",LinkedIn current search,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1
