title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Al Shorouk Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
As-Salam International Hospital Maadi,Alameda Healthcare,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,99,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
As-Salam International Hospital New Cairo,Alameda Healthcare,New Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,99,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Cairo Specialized Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Cleopatra El Tagamoa Hospital,Cleopatra Hospitals Group,New Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Cleopatra Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Dar Al Fouad Hospital 6th of October,Alameda Healthcare,6th of October City,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,99,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Dar Al Fouad Hospital Nasr City,Alameda Healthcare,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,99,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alameda%20Healthcare%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
El Katib Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Nile Badrawi Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
