title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Cairo Marriott Hotel,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Conrad Cairo,Hilton,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Fairmont Nile City,Accor Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Cairo at Nile Plaza,Four Seasons,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hilton Cairo Heliopolis,Hilton,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hilton Cairo Nile Maadi,Hilton,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Holiday Inn Cairo Citystars,IHG Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Holiday Inn Cairo Maadi,IHG Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
InterContinental Cairo Citystars,IHG Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
InterContinental Cairo Semiramis,IHG Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
