id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Provision of Software and Application Development Services,UN Secretariat,UN / Multilateral ICT Contract,Remote / Global,Global,,High,Available,Published 15 Jul 2026; deadline 30 Aug 2026,2026-07-20,Reference: EOIUNPD24558. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/307464
2,Consultancy Firm to Develop Digital Infrastructure and Knowledge Systems,ILO,Digital Infrastructure Consultancy,Africa,Ethiopia / East & Horn of Africa,,High,Not Available,Published 26 Jun 2026; deadline 9 Jul 2026,2026-07-20,Reference: rfx_7435_ROAF. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/305410
3,"ICT Advisory, Research and Consulting Services",UNICC,ICT Consulting Framework,Other,Multiple destinations,,High,Not Available,Published 19 Jun 2026; deadline 17 Jul 2026,2026-07-20,Reference: UNICC/RFP/2026/00262. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/304703
4,Digital Skills Training for Youth and MSMEs,UNDP,Digital Skills Consultancy,Africa,Nigeria,,High,Not Available,Published 26 Jun 2026; deadline 8 Jul 2026,2026-07-20,Reference: UNDP-NGA-01455. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/305435
5,LTA for Outsourced ICT Support Personnel,UNICEF,ICT Staffing Contract,Other,India / UN Offices,,High,Available,Published 8 Jul 2026; deadline 30 Jul 2026,2026-07-20,Reference: RFP-2026-019-9204913. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/306551
6,Digital Innovation and Cooperative Development for Renewable Energy Livelihoods,IOM,Digital Innovation Consultancy,Africa,Uganda,,High,Not Available,Published 2 Jul 2026; deadline 10 Jul 2026,2026-07-20,Reference: CD/06/2026. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/305967
7,MSME Capacity Assessments and Market Readiness Diagnostics,UNDP,Business Development Consultancy,Africa,Ghana,,Medium,Available,Published 10 Jul 2026; deadline 24 Jul 2026,2026-07-20,Reference: UNDP-GHA-00535. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/306912
8,"IT Consultancy for ServiceNow, ManageEngine and Open Source Enterprise Solutions",UNICC,Enterprise IT Consulting Framework,Other,Multiple destinations,,Medium,Not Available,Published 9 Mar 2026; deadline 30 Mar 2026,2026-07-20,Reference: UNICC/RFP/2026/00225. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/293265
9,Digital Health and AI Access Approach Consultancy,Unitaid / WHO,Digital Health & AI Consultancy,Remote / Global,Global,,High,Not Available,Published 12 May 2026; deadline 15 May 2026,2026-07-20,Reference: UNITAID/P/0009044. Verify deadline and bidder eligibility on the source portal.,UNGM,https://www.ungm.org/Public/Notice/298060
10,Provider of Digital Labor Market Intermediation Services,World Bank Group,Software & Digital Employment Services,Remote / Global,Global,,High,Not Available,Published 29 Jun 2026; deadline 13 Jul 2026,2026-07-20,Reference: 0002022785. Verify deadline and bidder eligibility on the source portal.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/7061/view.html
11,FCS Africa Private Sector Advisory Assignment,IFC,Consulting Firm EOI,Africa,Sub-Saharan Africa,,Medium,Not Available,Published 9 Jun 2026; deadline 7 Jul 2026,2026-07-20,Reference: Advertisement 6989. Verify deadline and bidder eligibility on the source portal.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/6989/view.html
12,Data Readiness for AI Development Framework for African Countries,African Development Bank,Data & AI Consultancy,Africa,Remote / Africa,,High,Not Available,Published 11 Feb 2026; deadline 25 Feb 2026,2026-07-20,Reference: PITD EOI. Verify deadline and bidder eligibility on the source portal.,AfDB,https://www.afdb.org/en/consultants/eoi-consultancy-framework-development-data-readiness-ai-development-african-countries-pitd-90760
13,Agribusiness Digital Transformation and Climate Resilience Support,African Development Bank,Digital Transformation Consultancy,Africa,Ghana,,High,Available,Listed 6 Jul 2026; closing 20 Jul 2026,2026-07-20,Reference: AHHD EOI. Verify deadline and bidder eligibility on the source portal.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
14,SAPZ Portfolio Management Consultant,African Development Bank,Portfolio Management Consultancy,Africa,Africa,,Medium,Available,Listed 8 Jul 2026; closing 31 Jul 2026,2026-07-20,Reference: AHFR EOI. Verify deadline and bidder eligibility on the source portal.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
15,Supply Chain Finance Market Validation in Africa,African Development Bank,Financial Technology Consultancy,Africa,Africa,,Medium,Available,Listed 1 Jul 2026; closing 31 Jul 2026,2026-07-20,Reference: PIFD EOI. Verify deadline and bidder eligibility on the source portal.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
16,UNGM — Ict Consulting Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
17,UNGM — Digital Transformation Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
18,UNGM — Software Development Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
19,UNGM — Enterprise Architecture Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
20,UNGM — Data Governance Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
21,UNGM — Digital Health Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
22,UNGM — Health Information Systems Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
23,UNGM — Cloud Migration Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
24,UNGM — Cybersecurity Consulting Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
25,UNGM — Ai Strategy Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
26,UNGM — Erp Implementation Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
27,UNGM — Systems Integration Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
28,UNGM — Project Management Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
29,UNGM — Technical Assistance Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
30,UNGM — Business Process Reengineering Search,UN tenders and EOIs,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNGM,https://www.ungm.org/Public/Notice
31,UNDP Procurement Notices — Ict Consulting Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
32,UNDP Procurement Notices — Digital Transformation Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
33,UNDP Procurement Notices — Software Development Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
34,UNDP Procurement Notices — Enterprise Architecture Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
35,UNDP Procurement Notices — Data Governance Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
36,UNDP Procurement Notices — Digital Health Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
37,UNDP Procurement Notices — Health Information Systems Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
38,UNDP Procurement Notices — Cloud Migration Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
39,UNDP Procurement Notices — Cybersecurity Consulting Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
40,UNDP Procurement Notices — Ai Strategy Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
41,UNDP Procurement Notices — Erp Implementation Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
42,UNDP Procurement Notices — Systems Integration Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
43,UNDP Procurement Notices — Project Management Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
44,UNDP Procurement Notices — Technical Assistance Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
45,UNDP Procurement Notices — Business Process Reengineering Search,UNDP tenders and individual consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,UNDP Procurement Notices,https://procurement-notices.undp.org/
46,World Bank RFx Now — Ict Consulting Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
47,World Bank RFx Now — Digital Transformation Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
48,World Bank RFx Now — Software Development Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
49,World Bank RFx Now — Enterprise Architecture Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
50,World Bank RFx Now — Data Governance Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
51,World Bank RFx Now — Digital Health Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
52,World Bank RFx Now — Health Information Systems Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
53,World Bank RFx Now — Cloud Migration Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
54,World Bank RFx Now — Cybersecurity Consulting Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
55,World Bank RFx Now — Ai Strategy Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
56,World Bank RFx Now — Erp Implementation Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
57,World Bank RFx Now — Systems Integration Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
58,World Bank RFx Now — Project Management Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
