id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
search-000706,Live Search,live_search,Enterprise Architect,LinkedIn,LinkedIn,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,66,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Saudi+Arabia&sortBy=DD,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000707,Live Search,live_search,Enterprise Architect,Indeed,Indeed,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,66,Medium,,https://sa.indeed.com/jobs?q=Enterprise+Architect&l=Saudi+Arabia&sort=date,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000708,Live Search,live_search,Enterprise Architect,Glassdoor,Glassdoor,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,66,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000709,Live Search,live_search,Enterprise Architect,Jooble,Jooble,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000710,Live Search,live_search,Enterprise Architect,Careerjet,Careerjet,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,66,Medium,,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Saudi+Arabia,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000711,Live Search,live_search,Enterprise Architect,Talent.com,Talent.com,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,66,Medium,,https://sa.talent.com/jobs?k=Enterprise+Architect&l=Saudi+Arabia,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000712,Live Search,live_search,Enterprise Architect,Adzuna,Adzuna,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,66,Medium,,https://www.adzuna.com/search?q=Enterprise+Architect&loc=Saudi+Arabia,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000713,Live Search,live_search,Enterprise Architect,Jobrapido,Jobrapido,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobrapido,B,Direct organization or specialist source,Direct,68,Medium,,https://www.google.com/search?q=site%3Ajobrapido.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000714,Live Search,live_search,Enterprise Architect,Jobsora,Jobsora,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobsora,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Ajobsora.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000715,Live Search,live_search,Enterprise Architect,Google Jobs,Google Jobs,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=Enterprise+Architect+jobs+Saudi+Arabia,"Google job search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000716,Live Search,live_search,Enterprise Architect,Bayt,Bayt,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,66,Medium,,https://www.bayt.com/en/saudi-arabia/jobs/enterprise-architect-jobs/,"Direct platform search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000717,Live Search,live_search,Enterprise Architect,GulfTalent,GulfTalent,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,GulfTalent,B,Recognized job platform,Platform,66,Medium,,https://www.google.com/search?q=site%3Agulftalent.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000718,Live Search,live_search,Enterprise Architect,Naukrigulf,Naukrigulf,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Naukrigulf,B,Recognized job platform,Platform,66,Medium,,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000719,Live Search,live_search,Enterprise Architect,Akhtaboot,Akhtaboot,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Akhtaboot,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000720,Live Search,live_search,Enterprise Architect,Tanqeeb,Tanqeeb,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Tanqeeb,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Atanqeeb.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000721,Live Search,live_search,Enterprise Architect,Laimoon,Laimoon,Enterprise Architecture,Enterprise Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Laimoon,B,Direct organization or specialist source,Direct,66,Medium,,https://www.google.com/search?q=site%3Ajobs.laimoon.com+%22Enterprise+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Enterprise Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000722,Live Search,live_search,Solutions Architect,LinkedIn,LinkedIn,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,63,Medium,,https://www.linkedin.com/jobs/search/?keywords=Solutions+Architect&location=Saudi+Arabia&sortBy=DD,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000723,Live Search,live_search,Solutions Architect,Indeed,Indeed,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,63,Medium,,https://sa.indeed.com/jobs?q=Solutions+Architect&l=Saudi+Arabia&sort=date,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000724,Live Search,live_search,Solutions Architect,Glassdoor,Glassdoor,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000725,Live Search,live_search,Solutions Architect,Jooble,Jooble,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000726,Live Search,live_search,Solutions Architect,Careerjet,Careerjet,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,63,Medium,,https://www.careerjet.com/search/jobs?s=Solutions+Architect&l=Saudi+Arabia,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000727,Live Search,live_search,Solutions Architect,Talent.com,Talent.com,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,63,Medium,,https://sa.talent.com/jobs?k=Solutions+Architect&l=Saudi+Arabia,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000728,Live Search,live_search,Solutions Architect,Adzuna,Adzuna,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,63,Medium,,https://www.adzuna.com/search?q=Solutions+Architect&loc=Saudi+Arabia,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000729,Live Search,live_search,Solutions Architect,Jobrapido,Jobrapido,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobrapido,B,Direct organization or specialist source,Direct,65,Medium,,https://www.google.com/search?q=site%3Ajobrapido.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000730,Live Search,live_search,Solutions Architect,Jobsora,Jobsora,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobsora,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobsora.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000731,Live Search,live_search,Solutions Architect,Google Jobs,Google Jobs,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=Solutions+Architect+jobs+Saudi+Arabia,"Google job search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000732,Live Search,live_search,Solutions Architect,Bayt,Bayt,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,63,Medium,,https://www.bayt.com/en/saudi-arabia/jobs/solutions-architect-jobs/,"Direct platform search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000733,Live Search,live_search,Solutions Architect,GulfTalent,GulfTalent,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,GulfTalent,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Agulftalent.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000734,Live Search,live_search,Solutions Architect,Naukrigulf,Naukrigulf,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Naukrigulf,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000735,Live Search,live_search,Solutions Architect,Akhtaboot,Akhtaboot,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Akhtaboot,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000736,Live Search,live_search,Solutions Architect,Tanqeeb,Tanqeeb,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Tanqeeb,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Atanqeeb.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000737,Live Search,live_search,Solutions Architect,Laimoon,Laimoon,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Laimoon,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobs.laimoon.com+%22Solutions+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solutions Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000738,Live Search,live_search,Solution Architect,LinkedIn,LinkedIn,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,63,Medium,,https://www.linkedin.com/jobs/search/?keywords=Solution+Architect&location=Saudi+Arabia&sortBy=DD,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000739,Live Search,live_search,Solution Architect,Indeed,Indeed,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,63,Medium,,https://sa.indeed.com/jobs?q=Solution+Architect&l=Saudi+Arabia&sort=date,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000740,Live Search,live_search,Solution Architect,Glassdoor,Glassdoor,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000741,Live Search,live_search,Solution Architect,Jooble,Jooble,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000742,Live Search,live_search,Solution Architect,Careerjet,Careerjet,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,63,Medium,,https://www.careerjet.com/search/jobs?s=Solution+Architect&l=Saudi+Arabia,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000743,Live Search,live_search,Solution Architect,Talent.com,Talent.com,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,63,Medium,,https://sa.talent.com/jobs?k=Solution+Architect&l=Saudi+Arabia,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000744,Live Search,live_search,Solution Architect,Adzuna,Adzuna,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,63,Medium,,https://www.adzuna.com/search?q=Solution+Architect&loc=Saudi+Arabia,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000745,Live Search,live_search,Solution Architect,Jobrapido,Jobrapido,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobrapido,B,Direct organization or specialist source,Direct,65,Medium,,https://www.google.com/search?q=site%3Ajobrapido.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000746,Live Search,live_search,Solution Architect,Jobsora,Jobsora,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Jobsora,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobsora.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000747,Live Search,live_search,Solution Architect,Google Jobs,Google Jobs,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=Solution+Architect+jobs+Saudi+Arabia,"Google job search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000748,Live Search,live_search,Solution Architect,Bayt,Bayt,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,63,Medium,,https://www.bayt.com/en/saudi-arabia/jobs/solution-architect-jobs/,"Direct platform search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000749,Live Search,live_search,Solution Architect,GulfTalent,GulfTalent,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,GulfTalent,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Agulftalent.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000750,Live Search,live_search,Solution Architect,Naukrigulf,Naukrigulf,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Naukrigulf,B,Recognized job platform,Platform,63,Medium,,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000751,Live Search,live_search,Solution Architect,Akhtaboot,Akhtaboot,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Akhtaboot,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000752,Live Search,live_search,Solution Architect,Tanqeeb,Tanqeeb,Solution Architecture,Solution Architecture,,GCC,Saudi Arabia,Saudi Arabia,Live Search,,,2026-07-20,Live search,Tanqeeb,B,Direct organization or specialist source,Direct,63,Medium,,https://www.google.com/search?q=site%3Atanqeeb.com+%22Solution+Architect%22+%22Saudi+Arabia%22+jobs,"Platform-indexed search for Solution Architect in Saudi Arabia. Sort by newest on the platform and verify employer, date, location eligibility and application route."
