id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
government-00001,Government Portal,government,Egypt Government Jobs Portal,Official government vacancies,Official government vacancies,Government Jobs Portal,Government Jobs Portal,,Egypt,Egypt,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://jobs.caoa.gov.eg/,Central Agency for Organization and Administration
government-00002,Government Portal,government,Jadarat National Employment Platform,Unified employment platform,Unified employment platform,Official Public-Sector Careers,Official Public-Sector Careers,,GCC & Middle East,Saudi Arabia,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,57,Low,,https://jadarat.sa/,Government-backed national employment platform
government-00003,Government Portal,government,Saudi Ministry of Human Resources Careers,Government entity careers,Government entity careers,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,Saudi Arabia,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://www.hrsd.gov.sa/en/ministry/about-ministry/work-with-us,Official ministry careers page
government-00004,Government Portal,government,Federal Government Jobs Portal,Federal government vacancies,Federal government vacancies,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://www.fahr.gov.ae/Portal/en/careers.aspx,Federal Authority for Government Human Resources
government-00005,Government Portal,government,Abu Dhabi Government Careers,Government jobs portal,Government jobs portal,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://www.tamm.abudhabi/en/life-events/individual/Work-and-employment/Jobs,TAMM employment services
government-00006,Government Portal,government,Dubai Careers,Government jobs portal,Government jobs portal,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://dubaicareers.ae/,Dubai Government careers portal
government-00007,Government Portal,government,Sharjah Government HR,Government jobs portal,Government jobs portal,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,63,Medium,,https://dhr.gov.ae/,Sharjah Directorate of Human Resources
government-00008,Government Portal,government,Ajman Government Kawader,Government jobs portal,Government jobs portal,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://www.ajmanhr.gov.ae/,Ajman HR portal
government-00009,Government Portal,government,Ras Al Khaimah Government HR,Government jobs portal,Government jobs portal,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://hr.rak.ae/,RAK Human Resources Department
government-00010,Government Portal,government,Fujairah Government Careers,Government careers,Government careers,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,United Arab Emirates,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://fujairah.ae/en/Pages/careers.aspx,Official Fujairah government site
government-00011,Government Portal,government,Qatar Kawader / Government Employment,Government jobs platform,Government jobs platform,Government Jobs Portal,Government Jobs Portal,,GCC & Middle East,Qatar,,Active Portal,,,2026-07-20,,,A,Official / primary source,Official,54,Low,,https://www.kawader.gov.qa/,National employment platform
