"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"119","Chief Information Officer","LinkedIn","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Jordan&sortBy=DD"
"120","Chief Information Officer","Indeed","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=Jordan&sort=date"
"121","Chief Information Officer","Glassdoor","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
"122","Chief Information Officer","Bayt","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"123","Chief Information Officer","GulfTalent","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
"124","Chief Information Officer","Naukrigulf","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
"125","Chief Information Officer","Careerjet","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=Jordan"
"126","Chief Information Officer","Jooble","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=Jordan&ukw=Chief%20Information%20Officer"
"127","Chief Information Officer","Jobberman","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
"128","Chief Information Officer","BrighterMonday","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
"129","Chief Information Officer","Devex","Live Platform Search","Jordan","Jordan","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Jordan using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22Jordan%22%20jobs"
