id,name,country,category,fit,focus,careers,live_search
hit-company-018,InterSystems,United States / Global,Healthcare Data & Interoperability,99,"HealthShare, IRIS for Health, TrakCare, interoperability, data platforms, architecture and regional healthcare programs.",https://www.intersystems.com/careers/,https://job-boards.greenhouse.io/intersystems
hit-company-020,CitiusTech,India / United States / Global,Healthcare Technology Consulting,98,"Healthcare technology consulting, enterprise transformation, payer/provider systems, data, cloud and interoperability.",https://www.citiustech.com/careers,https://www.citiustech.com/careers
hit-company-002,Cognizant,United States / Global,Healthcare IT & Consulting,97,"Enterprise architecture, healthcare IT, life sciences, cloud, data, program delivery and digital engineering.",https://careers.cognizant.com/global-en/jobs/,https://careers.cognizant.com/global-en/jobs/?search=enterprise%20architect
hit-company-003,Philips,Netherlands / Global,Healthcare Informatics & MedTech,97,"Healthcare informatics, cloud, interoperability, imaging, AI, clinical workflows and digital health transformation.",https://www.careers.philips.com/global/en/,https://www.careers.philips.com/global/en/healthcare-informatics
hit-company-011,Wipro,India / Global,Technology Consulting & Healthcare,97,"Enterprise architecture, digital transformation, healthcare and life sciences, cloud, AI, data and program delivery.",https://careers.wipro.com/,https://careers.wipro.com/search/?q=enterprise+architect
hit-company-019,Salesforce,United States / Global,Health Cloud & Enterprise Platforms,97,"Health Cloud, life sciences, public sector, enterprise architecture, integration, data and transformation programs.",https://careers.salesforce.com/en/jobs/,https://careers.salesforce.com/en/jobs/?search=healthcare
hit-company-024,Tata Consultancy Services,India / Global,Technology Consulting & Healthcare,97,"Enterprise architecture, cloud, healthcare, life sciences, AI, cybersecurity and large transformation programs.",https://www.tcs.com/careers,https://www.tcs.com/careers
hit-company-005,GE HealthCare,United States / Global,Healthcare Technology & Digital,96,"Healthcare software, data, digital platforms, informatics, program delivery, cloud and operational transformation.",https://careers.gehealthcare.com/global/en/,https://careers.gehealthcare.com/global/en/search-results?keywords=digital
hit-company-006,Oracle Health,United States / Global,Enterprise Applications & Healthcare,96,"Oracle Health, cloud architecture, integration, interoperability, enterprise applications, data and healthcare transformation.",https://careers.oracle.com/en/sites/jobsearch/,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=Oracle%20Health
hit-company-029,Chartis,United States / Global,Healthcare Consulting & Digital,95,"Healthcare strategy, digital transformation, data, technology consulting, operating models and program leadership.",https://www.chartis.com/careers,https://www.chartis.com/careers
hit-company-001,Optum,United States,"Healthcare Services, Data & Platforms",94,"Healthcare platforms, data, analytics, cloud, interoperability, technology operations and transformation.",https://careers.unitedhealthgroup.com/job-search-results/,https://careers.unitedhealthgroup.com/job-search-results/?keyword=technology
hit-company-010,Nuance / Microsoft,United States / Global,Clinical AI & Cloud,94,"Clinical documentation AI, cloud, voice technology, healthcare platforms, architecture and customer success.",https://jobs.careers.microsoft.com/global/en/search,https://jobs.careers.microsoft.com/global/en/search?q=Nuance
hit-company-017,Merative,United States / Global,Healthcare Data & Analytics,94,"Healthcare data, analytics, imaging, clinical development, enterprise platforms and product technology.",https://www.merative.com/careers,https://www.merative.com/careers
hit-company-014,Infor,United States / Global,Enterprise Software & Healthcare,93,"ERP, enterprise architecture, cloud, healthcare operations, supply chain, data and transformation.",https://careers.infor.com/,https://careers.infor.com/en_US/careers/SearchJobs/?jobRecordsPerPage=20
hit-company-026,MedeAnalytics,United States,Healthcare Analytics,93,"Healthcare analytics, data platforms, cloud, engineering, product delivery and customer transformation.",https://www.medeanalytics.com/careers/,https://www.medeanalytics.com/careers/
hit-company-004,Dell Technologies,United States / Global,"Cloud, Infrastructure & Enterprise Technology",92,"Private cloud, infrastructure, data platforms, solutions architecture, cybersecurity and enterprise transformation.",https://jobs.dell.com/en/,https://jobs.dell.com/en/search-results?keywords=architect
hit-company-007,Epic Systems,United States / International,Electronic Health Records,91,"Healthcare software implementation, project leadership, technical services, data, interoperability and operational change.",https://careers.epic.com/,https://careers.epic.com/jobs/
hit-company-008,Veradigm,United States / Global,Healthcare Data & Technology,91,"Healthcare platforms, data, EHR technology, interoperability, analytics and solution delivery.",https://veradigm.com/careers/,https://veradigm.com/careers/
hit-company-013,Inovalon,United States,Healthcare Data & Analytics,91,"Healthcare analytics, data platforms, cloud, product technology, security and enterprise operations.",https://www.inovalon.com/careers/,https://www.inovalon.com/careers/
hit-company-015,Conifer Health Solutions,United States,Healthcare Operations & Analytics,91,"Healthcare analytics, information technology, cybersecurity, engineering, revenue-cycle technology and leadership.",https://jobs.tenethealth.com/conifer,https://jobs.tenethealth.com/search-jobs?acm=63840&alrpm=ALL&ascf=%5B%7B%22key%22%3A%22custom_fields.CustomBrand%22%2C%22value%22%3A%22Conifer+Health+Solutions%22%7D%5D
hit-company-027,Medecision,United States,Care Management Technology,91,"Care management platforms, healthcare data, product technology, implementation and enterprise transformation.",https://www.medecision.com/careers/,https://www.medecision.com/careers/
hit-company-009,SAS,United States / Global,"Data, AI & Analytics",90,"Enterprise analytics, AI, healthcare data, architecture, consulting and program management.",https://www.sas.com/en_us/careers/search-jobs.html,https://www.sas.com/en_us/careers/search-jobs.html
hit-company-012,eClinicalWorks,United States / Global,EHR & Healthcare Platforms,89,"Cloud EHR, interoperability, patient engagement, population health, implementation and technical operations.",https://www.eclinicalworks.com/careers/,https://www.eclinicalworks.com/careers/
hit-company-025,Elsevier,Netherlands / Global,Health Information & Research Technology,89,"Clinical information, research data, analytics, platforms, product technology and digital transformation.",https://www.elsevier.com/about/careers,https://www.elsevier.com/about/careers
hit-company-016,Solventum,United States / Global,MedTech & Healthcare Solutions,88,"Healthcare technology, clinical systems, digital platforms, data, product operations and transformation.",https://www.solventum.com/en-us/home/our-company/careers/,https://www.solventum.com/en-us/home/our-company/careers/
hit-company-028,Surgical Information Systems,United States,Surgical Healthcare IT,88,"Surgical systems, healthcare software, cloud, implementation, data and operational technology.",https://www.sisfirst.com/about-us/careers/,https://www.sisfirst.com/about-us/careers/
hit-company-030,Clearwave,United States,Patient Engagement Technology,88,"Patient access platforms, healthcare SaaS, product technology, implementation and customer success.",https://www.clearwaveinc.com/,https://www.linkedin.com/company/clearwaveinc/jobs/
hit-company-022,Carestream Health,United States / Global,Medical Imaging Technology,87,"Imaging informatics, healthcare IT, cloud, technical services, product systems and operations.",https://www.carestream.com/en/us/company/careers,https://www.carestream.com/en/us/company/careers
hit-company-021,Conduent,United States / Global,Digital Platforms & Healthcare Operations,86,"Healthcare operations, digital platforms, program management, data, customer experience and enterprise services.",https://careers.conduent.com/us/en,https://careers.conduent.com/us/en/search-results?keywords=technology
hit-company-023,Practice Fusion,United States,Cloud EHR,86,"Cloud EHR, healthcare applications, implementation, product operations and customer technology.",https://www.practicefusion.com/company/careers/,https://veradigm.com/careers/
