id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Commercial International Bank (CIB),Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.cibeg.com/en/careers
2,QNB Alahli,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.qnbalahli.com/
3,Banque Misr,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.banquemisr.com/en/Home/ABOUT-US/Careers
4,National Bank of Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.nbe.com.eg/
5,Arab African International Bank,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.aaib.com/careers
6,AlexBank,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.alexbank.com/
7,HSBC Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.hsbc.com/careers
8,Crédit Agricole Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.ca-egypt.com/en/careers/
9,FABMISR,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.fabmisr.com.eg/
10,ADCB Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.adcb.com.eg/
11,Emirates NBD Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.emiratesnbd.com.eg/en/careers
12,Mashreq Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.mashreq.com/en/egypt/careers/
13,Arab Bank Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.arabbank.com/
14,Abu Dhabi Islamic Bank Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.adib.eg/
15,Housing and Development Bank,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.hdb-egy.com/
16,Faisal Islamic Bank of Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.faisalbank.com.eg/
17,saib,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.saib.com.eg/
18,Export Development Bank of Egypt,Banking,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.ebank.com.eg/
19,Vodafone Egypt,Telecommunications,Telecommunications & Digital Infrastructure,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://careers.vodafone.com/egypt/
20,Orange Egypt,Telecommunications,Telecommunications & Digital Infrastructure,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.orange.eg/en/about/careers/
21,Telecom Egypt,Telecommunications,Telecommunications & Digital Infrastructure,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.te.eg/wps/portal/te/About/Careers
22,e& Egypt,Telecommunications,Telecommunications & Digital Infrastructure,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.etisalat.eg/portal/pages/about/careers.html
23,Raya Holding,Technology & Services,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://rayacorp.com/careers/
24,Fawry,FinTech,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.fawry.com/careers/
25,eFinance Investment Group,FinTech & Digital Infrastructure,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.efinanceinvestment.com/
26,Egyptian Banks Company,Payments Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.egyptianbanks.com/careers
27,MNT-Halan,FinTech,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://mnt-halan.com/
28,valU,FinTech,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.valu.com.eg/
29,Paymob,FinTech,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.paymob.com/careers
30,Khazna,FinTech,"Banking, FinTech & Financial Services",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.khazna.app/
31,Sumerge,Software & Integration,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.sumerge.com/careers/
32,ITWorx,Software & Digital Transformation,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.itworx.com/careers/
33,Link Development,Software & Digital Transformation,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://linkdevelopment.com/careers/
34,Giza Systems,Systems Integration,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.gizasystems.com/careers/
35,Valeo Egypt,Automotive Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs
36,IBM Egypt,Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.ibm.com/careers
37,Microsoft Egypt,Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://jobs.careers.microsoft.com/global/en/search
38,Oracle Egypt,Enterprise Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://careers.oracle.com/
39,SAP Egypt,Enterprise Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://jobs.sap.com/
40,Huawei Egypt,Technology & Telecom,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://career.huawei.com/
41,Siemens Egypt,Industrial Technology,Technology & Digital Services,Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://jobs.siemens.com/
42,Schneider Electric Egypt,Energy Management & Automation,"Energy, Utilities & Mining",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.se.com/ww/en/about-us/careers/job-search/
43,Elsewedy Electric,Energy & Industrial,"Energy, Utilities & Mining",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.elsewedyelectric.com/en/careers/
44,Orascom Construction,Engineering & Construction,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.orascom.com/careers/
45,Orascom Development Egypt,Real Estate & Hospitality,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.orascomdh.com/
46,Hassan Allam Holding,Engineering & Infrastructure,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.hassanallam.com/careers
47,Talaat Moustafa Group,Real Estate,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://talaatmoustafa.com/
48,Palm Hills Developments,Real Estate,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.palmhillsdevelopments.com/
49,SODIC,Real Estate,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.sodic.com/
50,Emaar Misr,Real Estate,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://careers.emaar.com/
51,Mountain View,Real Estate,"Real Estate, Construction & Hospitality",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://mountainviewegypt.com/
52,Juhayna Food Industries,FMCG,"Retail, FMCG & Consumer",Egypt,Egypt,,High,Not Available,,2026-07-20,,,https://www.juhayna.com/careers/
