id,title,arabic_name,category,region,country,profile_relevance,recommendation,availability_status,verification_level,url,use_case,notes
linkedin-post-platform-001,LinkedIn Jobs,لينكدإن للوظائف,Global Professional Network,Global,Global,99,Priority 1,Active Platform,Official,https://www.linkedin.com/jobs/,"Senior technology leadership, enterprise architecture, digital transformation, networking and direct employer applications.",Strongest platform for your profile because senior roles are often promoted through employer pages and professional networks.
linkedin-post-platform-002,Indeed Egypt,إنديد مصر,Global Job Board,Egypt / Global,Egypt,94,Priority 1,Active Platform,Official,https://eg.indeed.com/,"Technology, data, software, healthcare IT, remote and international employer vacancies.",Use exact senior-role keywords and verify whether the application is hosted by Indeed or redirects to the employer.
linkedin-post-platform-003,Glassdoor,جلاس دور,"Jobs, Reviews & Salaries",Global,Global,92,Priority 1,Active Platform,Official,https://www.glassdoor.com/,"Vacancy search, employer reviews, salary research and interview intelligence.","Best used alongside an official employer page to validate company reputation, salary and interview expectations."
linkedin-post-platform-004,WUZZUF,وظف,Egypt & MENA Job Board,Egypt / Saudi Arabia / MENA,Egypt,89,Priority 1,Active Platform,Official,https://wuzzuf.net/jobs,"Egypt and regional technology, management, architecture, data and program-delivery vacancies.",A major Egypt-focused recruitment platform with regional expansion.
linkedin-post-platform-005,LoopCV,لوب سي في,AI Job Search Automation,Global / Remote,Global,85,Priority 2,Active Platform,Official,https://www.loopcv.pro/,"Automated job discovery, matching, application tracking and optional auto-application.",Use strict filters and manual review for senior roles. Avoid uncontrolled high-volume applications that may reduce application quality.
linkedin-post-platform-006,Google Interview Warmup,جوجل للتدريب على المقابلات,Interview Preparation Tool,Global,Global,84,Priority 2,Active Tool,Official,https://grow.google/certificates/interview-warmup/,"Practice interview answers, review job-related terms and improve verbal delivery.",Career-preparation tool rather than a vacancy platform.
linkedin-post-platform-007,Workana,وركانا,Freelance & Remote Work,Global / Latin America / Remote,Global,76,Priority 2,Active Platform,Official,https://www.workana.com/work,"Remote consulting, IT, programming, data, DevOps, architecture and management projects.",Useful for consulting and project-based income rather than senior permanent executive employment.
linkedin-post-platform-008,Ureed,أُريد,MENA Freelance Marketplace,MENA / Remote,MENA,75,Priority 2,Active Platform,Official,https://ureed.com/,"Technology, AI, data, digital transformation and management consulting projects.",Strong regional freelance platform; position yourself as a senior technology and transformation consultant.
linkedin-post-platform-009,Forasna,فرصنا,Egypt Job Board,Egypt,Egypt,70,Monitor,Active Platform,Official,https://forasna.com/,Egypt vacancies across multiple sectors and employer sizes.,"Broad Egyptian job board. Use management, IT, systems and project keywords to avoid unrelated frontline results."
linkedin-post-platform-010,Nafezly,نفذلي,Arabic Freelance Marketplace,Arab Region / Remote,MENA,66,Monitor,Active Platform,Official,https://nafezly.com/,"Freelance software, architecture, business analysis, data and digital consulting projects.",Better suited to project-based work and portfolio building than executive permanent roles.
