id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
platform-00001,Job Platform,platform,LinkedIn Jobs,Global professional network and job search,Global professional network and job search,Global Job Board,Global Job Board,,Global,Global,,Active Platform,,,2026-07-24,,Official platform,B,Recognized job platform,Platform,52,Low,Recommended,https://www.linkedin.com/jobs/,Professional network; strong employer pages and recent-job sorting
platform-00002,Job Platform,platform,Indeed,Global job search and matching platform,Global job search and matching platform,Global Job Board,Global Job Board,,Remote / Global,60+ countries,,Active Platform,,,2026-07-20,,Official platform,B,Recognized job platform,Platform,52,Low,Directory,https://www.indeed.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00003,Job Platform,platform,Glassdoor,"Jobs, company reviews and salary research","Jobs, company reviews and salary research",Global Job Board,Global Job Board,,Remote / Global,Global,,Active Platform,,,2026-07-20,,Official platform,B,Recognized job platform,Platform,52,Low,Directory,https://www.glassdoor.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00004,Job Platform,platform,Google Jobs,Job results indexed through Google Search,Job results indexed through Google Search,Global Job Board,Global Job Board,,Remote / Global,Global,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,52,Low,Directory,https://www.google.com/search?q=jobs,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00005,Job Platform,platform,Jooble,International job aggregator,International job aggregator,Global Job Board,Global Job Board,,Remote / Global,66 countries,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,20,Low,Directory,https://jooble.org/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00006,Job Platform,platform,Careerjet,International job search engine,International job search engine,Global Job Board,Global Job Board,,Remote / Global,130+ countries,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,20,Low,Directory,https://www.careerjet.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00007,Job Platform,platform,Talent.com,Global job search platform,Global job search platform,Global Job Board,Global Job Board,,Remote / Global,77 countries,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,52,Low,Directory,https://www.talent.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00008,Job Platform,platform,Adzuna,Global job search engine and labour-market data,Global job search engine and labour-market data,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,53,Low,Directory,https://www.adzuna.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00009,Job Platform,platform,Jobrapido,International job search engine,International job search engine,Global Job Board,Global Job Board,,Remote / Global,Global,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,20,Low,Directory,https://www.jobrapido.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00010,Job Platform,platform,Jobsora,International job search platform,International job search platform,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,C,Aggregator,Aggregator,20,Low,Directory,https://jobsora.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00011,Job Platform,platform,Monster,General job board,General job board,Global Job Board,Global Job Board,,Remote / Global,Global / selected markets,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,52,Low,Directory,https://www.monster.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00012,Job Platform,platform,ZipRecruiter,Job marketplace and matching platform,Job marketplace and matching platform,Global Job Board,Global Job Board,,Remote / Global,Selected countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,52,Low,Directory,https://www.ziprecruiter.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00013,Job Platform,platform,SimplyHired,General job search engine,General job search engine,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,52,Low,Directory,https://www.simplyhired.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00014,Job Platform,platform,Jora,International job search engine,International job search engine,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,20,Low,Directory,https://www.jora.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00015,Job Platform,platform,WhatJobs,International job search platform,International job search platform,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,20,Low,Directory,https://www.whatjobs.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00016,Job Platform,platform,GrabJobs,International jobs and recruitment platform,International jobs and recruitment platform,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,20,Low,Directory,https://grabjobs.co/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
platform-00017,Job Platform,platform,JobisJob,International job aggregator,International job aggregator,Global Job Board,Global Job Board,,Remote / Global,Multiple countries,,Active Platform,,,2026-07-20,,Official platform,B,Direct organization or specialist source,Direct,20,Low,Directory,https://www.jobisjob.com/,"Official platform entry point. Use platform filters and verify posting date, employer identity, location eligibility and application route."
