id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
job-00117,Platform-Indexed Vacancy,job,AI Solution Architect,CodeNinja,CodeNinja,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,Egypt,Egypt,Remote,Expired,,,2026-07-20,2026-07-12,Workable,A,Official / primary source,Official,64,Medium,,https://jobs.workable.com/view/2LNtkwJTBYeMQNxCZNYQii/remote-ai-solution-architect-in-egypt-at-codeninja,Remote Egypt
job-00118,Platform-Indexed Vacancy,job,Eskadenia Solutions Architect,Müller’s Solutions,Müller’s Solutions,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,Egypt,Egypt,Cairo / Remote,Expired,,,2026-07-20,2026-07-16,Workable,A,Official / primary source,Official,64,Medium,,https://jobs.workable.com/view/gBESCNVFPomv8EGGT9en18/remote-eskadenia-solutions-architect-in-cairo-at-m%C3%BCller%60s-solutions,Remote Cairo
job-00119,Platform-Indexed Vacancy,job,AWS Cloud Solution Architect (CDK Support),SSC HR Solutions,SSC HR Solutions,Solution Architecture,Solution Architecture,Supply Chain & Logistics,Egypt,Egypt,New Cairo / Hybrid,Expired,,,2026-07-20,2026-07-12,Workable,A,Official / primary source,Official,65,Medium,,https://jobs.workable.com/view/jX9DuPw6foy5n8FWKmrB1U/hybrid-aws-cloud-solution-architect-%28cdk-support%29-in-new-cairo-city-at-ssc-hr-solutions,Hybrid New Cairo
job-00120,Platform-Indexed Vacancy,job,Oracle EPM Principal Consultant,Talent 360,Talent 360,Enterprise Applications & Software,Enterprise Applications & Software,Technology & Consulting,Egypt,Egypt,Maadi / Hybrid,Expired,,,2026-07-20,2026-06-21,Workable,A,Official / primary source,Official,62,Medium,,https://jobs.workable.com/view/tsxMuHXXa1DbK4RGUPVVMk/hybrid-oracle-epm-principle-consultant-in-maadi-at-talent-360.me,Hybrid Maadi
job-00121,Platform-Indexed Vacancy,job,Sitecore Solution Architect (XM Cloud),Arcsen,Arcsen,Solution Architecture,Solution Architecture,Technology & Consulting,Egypt,Egypt,Maadi / Hybrid,Expired,,,2026-07-20,2026-06-23,Workable,A,Official / primary source,Official,65,Medium,,https://jobs.workable.com/view/vrEjNQyZvDiNRzx2vGmZkj/hybrid-sitecore-solution-architect-%28xm-cloud%29-in-maadi-at-arcsen,Hybrid Maadi
job-00644,Platform-Indexed Vacancy,job,Manager - IT Strategy and Planning,Qiddiya Investment Company,Qiddiya Investment Company,IT Governance & Service Management,IT Governance & Service Management,Other Multinational & Enterprise,GCC,Saudi Arabia,Riyadh,Expired,,,2026-07-20,2026-07-05,Workable,A,Official / primary source,Official,63,Medium,,https://jobs.workable.com/view/ovBb3YbvhMDKGBERFdwLKB/manager---it-strategy-and-planning-in-riyadh-at-qiddiya-investment-company,On-site Riyadh
job-00645,Platform-Indexed Vacancy,job,Manager - IT Delivery Management,Qiddiya Investment Company,Qiddiya Investment Company,"Program, Project & Delivery Management","Program, Project & Delivery Management",Other Multinational & Enterprise,GCC,Saudi Arabia,Riyadh,Expired,,,2026-07-20,2026-06-25,Workable,A,Official / primary source,Official,58,Low,,https://jobs.workable.com/view/4pnsntXVAwmcL32FjotbRQ/manager---it-delivery-management-in-riyadh-at-qiddiya-investment-company,On-site Riyadh
job-00646,Platform-Indexed Vacancy,job,Senior Solution Architect,CodeNinja,CodeNinja,Solution Architecture,Solution Architecture,Other Multinational & Enterprise,GCC,Saudi Arabia,Riyadh,Expired,,,2026-07-20,2026-07-18,Workable,A,Official / primary source,Official,63,Medium,,https://jobs.workable.com/view/tVupmTWz1rZkfJuzaKW3m4/senior-solution-architect-in-riyadh-at-codeninja,On-site Riyadh
job-00647,Platform-Indexed Vacancy,job,Digital Solutions Architect / Lead Developer,Müller’s Solutions,Müller’s Solutions,Solution Architecture,Solution Architecture,Technology & Consulting,GCC,Saudi Arabia,Riyadh,Expired,,,2026-07-20,2026-07-16,Workable,A,Official / primary source,Official,63,Medium,,https://jobs.workable.com/view/xetoAqkQoxYvxmTjs5ih5M/digital-solutions-architect-%2F-lead-developer--arabic-speaker-%289-month-%29-in-riyadh-at-m%C3%BCller%60s-solutions,On-site Riyadh
job-00648,Platform-Indexed Vacancy,job,IT Manager,SSC HR Solutions,SSC HR Solutions,IT Leadership & Management,IT Leadership & Management,Other Multinational & Enterprise,GCC,Saudi Arabia,Jeddah,Expired,,,2026-07-20,2026-06-21,Workable,A,Official / primary source,Official,58,Low,,https://jobs.workable.com/view/i2Vvp2wtAG7Myjc3he2WvD/it-manager-in-jeddah-at-ssc-hr-solutions,On-site Jeddah
