title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
ABB Egypt,Electrical & Automation Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.abb/global/en,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
EVA Pharma,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.evapharma.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Elsewedy Electric,"Electrical, Cables & Industrial",Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://careers.elsewedyelectric.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Schneider Electric Egypt,Electrical & Automation Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://www.se.com/ww/en/about-us/careers/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Siemens Egypt,Industrial Technology & Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,99,Official careers,A,2026-07-29,https://jobs.siemens.com/careers,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Elaraby Group,Consumer Electronics Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,98,Official careers,A,2026-07-29,https://careers.elarabygroup.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Coca-Cola HBC Egypt,Beverage Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.coca-colahellenic.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ezz Steel,Steel Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.ezzsteel.com/careers,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Leoni Egypt,Automotive Components Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.leoni.com/en/careers/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Procter & Gamble Egypt,Consumer Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.pgcareers.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
EIPICO,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=EIPICO%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Minapharm Pharmaceuticals,Pharmaceutical & Biotechnology,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Minapharm%20Pharmaceuticals%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Nestlé Egypt,Food & Beverage Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.nestle.com/jobs,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
PepsiCo Egypt,Food & Beverage Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.pepsicojobs.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Pharco Pharmaceuticals,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Pharco%20Pharmaceuticals%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sumitomo Electric Wiring Systems Egypt,Automotive Components Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Sumitomo%20Electric%20Wiring%20Systems%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Unilever Egypt,Consumer Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.unilever.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
