id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-02210,Employer Career Page,company,A.P. Moller - Maersk,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.maersk.com/careers/,"Integrated logistics, shipping, ports, technology, data and supply-chain transformation"
company-02211,Employer Career Page,company,AD Ports Group,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.adportsgroup.com/en/careers,"Ports, maritime, logistics, economic cities and digital trade"
company-01517,Employer Career Page,company,Agility,Logistics,Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,52,Low,Priority 1,https://www.agility.com/en/careers/,"Supply-chain services, aviation, infrastructure and technology"
company-02133,Employer Career Page,company,Amazon,E-commerce & Supply Chain,E-commerce & Supply Chain,E-commerce & Supply Chain,E-commerce & Supply Chain,E-commerce & Supply Chain,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.amazon.jobs/,"E-commerce, cloud, operations, program management, supply chain and data"
company-02207,Employer Career Page,company,APM Terminals,Ports & Logistics,Ports & Logistics,Ports & Logistics,Ports & Logistics,Ports & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.apmterminals.com/en/careers,"Ports, terminals, operations and technology"
company-01536,Employer Career Page,company,Aramex,Logistics,Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.aramex.com/as/en/careers,"Express, freight, logistics, digital platforms and regional operations"
company-01877,Employer Career Page,company,Aramex,Employer career search,Employer career search,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.aramex.com/as/en/careers,"Express, freight, logistics, digital platforms and regional operations"
company-02212,Employer Career Page,company,Aramex,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.aramex.com/as/en/careers,"Express, freight, logistics, digital platforms and regional operations"
company-01453,Employer Career Page,company,Bahri,Shipping & Logistics,Shipping & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Saudi Arabia · GCC,Saudi Arabia · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.bahri.sa/en/careers/,"Shipping, logistics, oil transport and digital operations"
company-01821,Employer Career Page,company,Bahri,Employer career search,Employer career search,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Saudi Arabia · GCC,Saudi Arabia · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.bahri.sa/en/careers/,"Shipping, logistics, oil transport and digital operations"
company-02213,Employer Career Page,company,Bahri,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Saudi Arabia · GCC,Saudi Arabia · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.bahri.sa/en/careers/,"Shipping, logistics, oil transport and digital operations"
company-01490,Employer Career Page,company,Careem,Technology & Mobility,Technology & Mobility,E-commerce & Mobility,E-commerce & Mobility,E-commerce & Mobility,Egypt · GCC,Egypt · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.careem.com/en-AE/careers,"Mobility, delivery, fintech, product and technology"
company-01757,Employer Career Page,company,Careem,Employer career search,Employer career search,E-commerce & Mobility,E-commerce & Mobility,E-commerce & Mobility,Egypt · GCC,Egypt · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.careem.com/en-AE/careers,"Mobility, delivery, fintech, product and technology"
company-02214,Employer Career Page,company,CEVA Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.cevalogistics.com/en/careers,"Contract logistics, freight, automotive and healthcare supply chains"
company-02215,Employer Career Page,company,CMA CGM Group,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://jobs.cmacgm-group.com/,"Shipping, terminals, logistics and digital trade"
company-02216,Employer Career Page,company,DB Schenker,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.dbschenker.com/global/careers,"Land, air, ocean, contract logistics and digitalization"
company-02217,Employer Career Page,company,DHL Group,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.dhl.com/global/en,"Global logistics, express, freight, supply-chain technology and digital operations"
company-01464,Employer Career Page,company,DP World,Ports & Logistics,Ports & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.dpworld.com/en/dpworld-careers,"Ports, terminals, freight forwarding, contract logistics, trade technology and economic zones"
company-01869,Employer Career Page,company,DP World,Employer career search,Employer career search,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.dpworld.com/en/dpworld-careers,"Ports, terminals, freight forwarding, contract logistics, trade technology and economic zones"
company-02218,Employer Career Page,company,DP World,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.dpworld.com/en/dpworld-careers,"Ports, terminals, freight forwarding, contract logistics, trade technology and economic zones"
company-02219,Employer Career Page,company,DSV,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.dsv.com/en/careers,"Global transport, warehousing, projects, technology and supply chain"
company-02127,Employer Career Page,company,EgyptAir,Aviation & Logistics,Aviation & Logistics,Aviation & Logistics,Aviation & Logistics,Aviation & Logistics,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.egyptair.com/,"Airline, cargo, technology and operations"
company-01461,Employer Career Page,company,Emirates Group,Aviation,Aviation,"Aviation, Transport & Logistics","Aviation, Transport & Logistics",Supply Chain & Logistics,GCC & Middle East,United Arab Emirates,,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,52,Low,Priority 1,https://www.emiratesgroupcareers.com/,"Airline, cargo, dnata, technology and operations"
company-01870,Employer Career Page,company,Emirates Group,Employer career search,Employer career search,"Aviation, Transport & Logistics","Aviation, Transport & Logistics",Supply Chain & Logistics,GCC & Middle East,United Arab Emirates,,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,52,Low,Priority 1,https://www.linkedin.com/jobs/search/?keywords=Emirates+Group&sortBy=DD,"Airline, cargo, dnata, technology and operations"
company-01462,Employer Career Page,company,Etihad Airways,Aviation,Aviation,"Aviation, Transport & Logistics","Aviation, Transport & Logistics",Supply Chain & Logistics,GCC & Middle East,United Arab Emirates,,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,52,Low,Priority 1,https://careers.etihad.com/,"Airline, cargo, digital, data and operations"
company-01871,Employer Career Page,company,Etihad Airways,Employer career search,Employer career search,"Aviation, Transport & Logistics","Aviation, Transport & Logistics",Supply Chain & Logistics,GCC & Middle East,United Arab Emirates,,Career Page Available,,,2026-07-20,,Official employer careers,B,Direct organization or specialist source,Direct,52,Low,Priority 1,https://www.linkedin.com/jobs/search/?keywords=Etihad+Airways&sortBy=DD,"Airline, cargo, digital, data and operations"
company-02220,Employer Career Page,company,Expeditors,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.expeditors.com/careers,"Freight forwarding, customs, logistics and technology"
company-02221,Employer Career Page,company,FedEx,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.fedex.com/,"Express, logistics, operations, data and technology"
