"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"457","Chief Information Officer","LinkedIn","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=EMEA&sortBy=DD"
"458","Chief Information Officer","Indeed","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=EMEA&sort=date"
"459","Chief Information Officer","Glassdoor","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"460","Chief Information Officer","Bayt","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"461","Chief Information Officer","GulfTalent","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"462","Chief Information Officer","Naukrigulf","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"463","Chief Information Officer","WUZZUF","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using WUZZUF.","Generated search matrix","https://wuzzuf.net/search/jobs/?q=Chief%20Information%20Officer&a=hpb"
"464","Chief Information Officer","Careerjet","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=EMEA"
"465","Chief Information Officer","Jooble","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=EMEA&ukw=Chief%20Information%20Officer"
"466","Chief Information Officer","Jobberman","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"467","Chief Information Officer","BrighterMonday","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"468","Chief Information Officer","Devex","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22EMEA%22%20jobs"
"469","Chief Information Officer","ReliefWeb","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20EMEA"
"470","Chief Information Officer","Google Jobs","Live Platform Search","EMEA","EMEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in EMEA using Google Jobs.","Generated search matrix","https://www.google.com/search?q=Chief%20Information%20Officer%20jobs%20EMEA"
"471","Chief Information Officer","LinkedIn","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=MEA&sortBy=DD"
"472","Chief Information Officer","Indeed","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=MEA&sort=date"
"473","Chief Information Officer","Glassdoor","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"474","Chief Information Officer","Bayt","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"475","Chief Information Officer","GulfTalent","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"476","Chief Information Officer","Naukrigulf","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"477","Chief Information Officer","WUZZUF","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using WUZZUF.","Generated search matrix","https://wuzzuf.net/search/jobs/?q=Chief%20Information%20Officer&a=hpb"
"478","Chief Information Officer","Careerjet","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=MEA"
"479","Chief Information Officer","Jooble","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=MEA&ukw=Chief%20Information%20Officer"
"480","Chief Information Officer","Jobberman","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"481","Chief Information Officer","BrighterMonday","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"482","Chief Information Officer","Devex","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22MEA%22%20jobs"
"483","Chief Information Officer","ReliefWeb","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20MEA"
"484","Chief Information Officer","Google Jobs","Live Platform Search","MEA","MEA","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in MEA using Google Jobs.","Generated search matrix","https://www.google.com/search?q=Chief%20Information%20Officer%20jobs%20MEA"
"485","Chief Information Officer","LinkedIn","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Europe&sortBy=DD"
"486","Chief Information Officer","Indeed","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=Europe&sort=date"
"487","Chief Information Officer","Glassdoor","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"488","Chief Information Officer","Bayt","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"489","Chief Information Officer","GulfTalent","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"490","Chief Information Officer","Naukrigulf","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"491","Chief Information Officer","WUZZUF","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using WUZZUF.","Generated search matrix","https://wuzzuf.net/search/jobs/?q=Chief%20Information%20Officer&a=hpb"
"492","Chief Information Officer","Careerjet","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=Europe"
"493","Chief Information Officer","Jooble","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=Europe&ukw=Chief%20Information%20Officer"
"494","Chief Information Officer","Jobberman","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"495","Chief Information Officer","BrighterMonday","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"496","Chief Information Officer","Devex","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22Europe%22%20jobs"
"497","Chief Information Officer","ReliefWeb","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20Europe"
"498","Chief Information Officer","Google Jobs","Live Platform Search","Europe","Europe","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Europe using Google Jobs.","Generated search matrix","https://www.google.com/search?q=Chief%20Information%20Officer%20jobs%20Europe"
"499","Chief Information Officer","LinkedIn","Live Platform Search","Worldwide","Worldwide","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Worldwide using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Worldwide&sortBy=DD"
"500","Chief Information Officer","Indeed","Live Platform Search","Worldwide","Worldwide","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Worldwide using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=Worldwide&sort=date"
"501","Chief Information Officer","Glassdoor","Live Platform Search","Worldwide","Worldwide","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Worldwide using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22Worldwide%22%20jobs"
"502","Chief Information Officer","Bayt","Live Platform Search","Worldwide","Worldwide","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Worldwide using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"503","Chief Information Officer","GulfTalent","Live Platform Search","Worldwide","Worldwide","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Worldwide using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22Worldwide%22%20jobs"
