employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
1,Commercial International Bank (CIB),Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,94,,B,2026-07-28,https://www.cibeg.com/en/careers,Forbes Middle East 2026 ranked employer,"Employer target rank #1. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
2,Elsewedy Electric,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,88,Official employer careers,A,2026-07-28,https://www.elsewedyelectric.com/en/careers,Forbes Middle East 2026 ranked employer,"Employer target rank #2. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
3,Telecom Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://www.te.eg/wps/portal/te/About/Careers,Forbes Middle East 2026 ranked employer,"Employer target rank #3. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
4,Talaat Moustafa Group Holding (TMG Holding),Egypt,Egypt,Real Estate & Construction,Career Page Available,Priority 2,86,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Talaat+Moustafa+Group&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #4. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
5,Misr Fertilizers Production Company (MOPCO),Egypt,Egypt,Energy & Utilities,Career Page Available,Priority 2,89,,B,2026-07-28,https://careers.du.ae/,Forbes Middle East 2026 ranked employer,"Employer target rank #5. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
6,QNB Egypt,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=QNB+Egypt&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #6. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
7,Abu Qir Fertilizers and Chemical Industries Company,Egypt,Egypt,Energy & Utilities,Career Page Available,Priority 2,89,,B,2026-07-28,https://careers.du.ae/,Forbes Middle East 2026 ranked employer,"Employer target rank #7. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
8,e-finance Investment Group,Egypt,Egypt,"Technology, Telecom & Digital",Live Search,Priority 1,99,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=e-finance%20Investment%20Group&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #8. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
9,Alexandria Container & Cargo Handling Company,Egypt,Egypt,"Logistics, Transport & Aviation",Live Search,Priority 1,92,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Alexandria%20Container%20%26%20Cargo%20Handling%20Company&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #9. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
10,Fawry,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://www.fawry.com/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #10. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
11,Housing & Development Bank (HDB),Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Housing+and+Development+Bank&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #11. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
12,Emaar Misr,Egypt,Egypt,Real Estate & Construction,Career Page Available,Priority 2,86,,B,2026-07-28,https://careers.emaar.com/,Forbes Middle East 2026 ranked employer,"Employer target rank #12. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
