"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","Chief Information Officer","LinkedIn","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=Egypt&sortBy=DD"
"2","Chief Information Officer","Indeed","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=Egypt&sort=date"
"3","Chief Information Officer","Glassdoor","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"4","Chief Information Officer","Bayt","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"5","Chief Information Officer","GulfTalent","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"6","Chief Information Officer","Naukrigulf","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"7","Chief Information Officer","WUZZUF","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using WUZZUF.","Generated search matrix","https://wuzzuf.net/search/jobs/?q=Chief%20Information%20Officer&a=hpb"
"8","Chief Information Officer","Careerjet","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=Egypt"
"9","Chief Information Officer","Jooble","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=Egypt&ukw=Chief%20Information%20Officer"
"10","Chief Information Officer","Jobberman","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"11","Chief Information Officer","BrighterMonday","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"12","Chief Information Officer","Devex","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22Egypt%22%20jobs"
"13","Chief Information Officer","ReliefWeb","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20Egypt"
"14","Chief Information Officer","Google Jobs","Live Platform Search","Egypt","Egypt","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in Egypt using Google Jobs.","Generated search matrix","https://www.google.com/search?q=Chief%20Information%20Officer%20jobs%20Egypt"
"541","Chief Technology Officer","LinkedIn","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Technology%20Officer&location=Egypt&sortBy=DD"
"542","Chief Technology Officer","Indeed","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Technology%20Officer&l=Egypt&sort=date"
"543","Chief Technology Officer","Glassdoor","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Technology%20Officer%22%20%22Egypt%22%20jobs"
"544","Chief Technology Officer","Bayt","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-technology-officer-jobs/"
"545","Chief Technology Officer","GulfTalent","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Technology%20Officer%22%20%22Egypt%22%20jobs"
"546","Chief Technology Officer","Naukrigulf","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Technology%20Officer%22%20%22Egypt%22%20jobs"
"547","Chief Technology Officer","WUZZUF","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using WUZZUF.","Generated search matrix","https://wuzzuf.net/search/jobs/?q=Chief%20Technology%20Officer&a=hpb"
"548","Chief Technology Officer","Careerjet","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Technology%20Officer&l=Egypt"
"549","Chief Technology Officer","Jooble","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=Egypt&ukw=Chief%20Technology%20Officer"
"550","Chief Technology Officer","Jobberman","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Technology%20Officer%22%20%22Egypt%22%20jobs"
"551","Chief Technology Officer","BrighterMonday","Live Platform Search","Egypt","Egypt","","High","Monitoring","","2026-07-20","Live search for Chief Technology Officer in Egypt using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Technology%20Officer%22%20%22Egypt%22%20jobs"
