id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
job-01112,Official Vacancy,job,Information Systems - Open Source Technical Architect,Canonical,Canonical,Enterprise Architecture & Cloud Infrastructure,Enterprise Architecture & Cloud Infrastructure,Technology & Cloud,EMEA · Remote,EMEA,Home based - EMEA,Available,,,2026-07-24,Current official Canonical listing,Official employer,A,Official employer / primary source,Official,98,High,,https://canonical.com/careers/4551832,"High-alignment role covering internal private cloud architecture, infrastructure as code, DevOps/SRE leadership, automation, reliability, resilience, security, developer self-service and GitOps-oriented operating practices."
job-01585,Official Vacancy,job,Global Continuous Improvement & Governance Lead,Unilever,Unilever,Governance & Continuous Improvement,Governance & Continuous Improvement,Automotive & Mobility,Egypt,Egypt,6th of October City,Available,2026-07-22,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,88,High,,https://careers.unilever.com/en/Egypt,Current official Unilever Egypt listing focused on governance and continuous improvement. Verify details on the official career page.
job-01587,Official Vacancy,job,Category Manager - Terminal Procurement,A.P. Moller - Maersk,A.P. Moller - Maersk,Supply Chain & Procurement,Supply Chain & Procurement,Supply Chain & Logistics,GCC,United Arab Emirates,Dubai,Available,2026-07-09,,2026-07-24,Official listing,Official employer careers,A,Official employer / primary source,Official,82,High,,https://www.maersk.com/careers/vacancies/wd/Category-Manager--Terminal-Procurement_R187082/jt-category-manager-terminal-procurement,International sourcing and terminal procurement within a global integrated logistics group.
search-018442,Live Search,live_search,Digital Health Director,LinkedIn,LinkedIn,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,70,Medium,,https://www.linkedin.com/jobs/search/?keywords=Digital+Health+Director&location=Worldwide&sortBy=DD,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018443,Live Search,live_search,Digital Health Director,Indeed,Indeed,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,70,Medium,,https://www.indeed.com/jobs?q=Digital+Health+Director&l=Worldwide&sort=date,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018446,Live Search,live_search,Digital Health Director,Careerjet,Careerjet,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,70,Medium,,https://www.careerjet.com/search/jobs?s=Digital+Health+Director&l=Worldwide,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018447,Live Search,live_search,Digital Health Director,Talent.com,Talent.com,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,70,Medium,,https://www.talent.com/jobs?k=Digital+Health+Director&l=Worldwide,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018448,Live Search,live_search,Digital Health Director,Adzuna,Adzuna,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,70,Medium,,https://www.adzuna.com/search?q=Digital+Health+Director&loc=Worldwide,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018450,Live Search,live_search,Digital Health Director,Remote OK,Remote OK,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,Remote OK,B,Direct organization or specialist source,Direct,70,Medium,,https://remoteok.com/remote-digital-health-director-jobs,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-018451,Live Search,live_search,Digital Health Director,We Work Remotely,We Work Remotely,Healthcare IT & Digital Health,Healthcare IT & Digital Health,,Remote / Global,MENA,MENA,Live Search,,,2026-07-20,Live search,We Work Remotely,B,Direct organization or specialist source,Direct,70,Medium,,https://weworkremotely.com/remote-jobs/search?term=Digital+Health+Director,"Direct platform search for Digital Health Director in MENA. Sort by newest on the platform and verify employer, date, location eligibility and application route."
