id,title,organization,role_family,country,location,availability_status,published_date,last_checked,record_type,source_quality,match_score,url,notes
job-00001,"Sr. Program Manager, Ops Integration",Amazon,Program Delivery,Egypt,Cairo,Available,2026-06-22,2026-07-24,Official Vacancy,A,94,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10454746. Operations integration, program leadership and cross-functional delivery."
job-00002,"Launch Program Manager, Amazon Now",Amazon,Program Delivery,Egypt,Cairo,Available,2026-06-23,2026-07-24,Official Vacancy,A,92,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10456264. Program strategy, end-to-end delivery, metrics and senior-stakeholder communication."
job-00003,"Program Manager - QC Inventory Health, Supply Chain",Amazon,Supply Chain Transformation,Egypt,Cairo,Available,2026-07-01,2026-07-24,Official Vacancy,A,90,https://amazon.jobs/es/search?base_query=&country=EGY&loc_query=Egypt&sort=relevant,Amazon Job ID 10463444. Cross-functional technology and operations program improvement using data and metrics.
job-00004,Global Continuous Improvement & Governance Lead,Unilever,Governance & Continuous Improvement,Egypt,6th of October City,Available,2026-07-22,2026-07-24,Official Vacancy,A,88,https://careers.unilever.com/en/Egypt,Current official Unilever Egypt listing focused on governance and continuous improvement. Verify details on the official career page.
job-00005,"Program Manager Inventory, Supply Chain",Amazon,Supply Chain Transformation,Egypt,Cairo,Available,2026-06-22,2026-07-24,Official Vacancy,A,88,https://www.amazon.jobs/en/search?country=EGY&loc_query=Egypt,"Amazon Job ID 10454589. Inventory, supply-chain program management and data-driven improvement."
job-00006,Category Manager - Terminal Procurement,A.P. Moller - Maersk,Supply Chain & Procurement,United Arab Emirates,Dubai,Available,2026-07-09,2026-07-24,Official Vacancy,A,82,https://www.maersk.com/careers/vacancies/wd/Category-Manager--Terminal-Procurement_R187082/jt-category-manager-terminal-procurement,International sourcing and terminal procurement within a global integrated logistics group.
job-00007,Egypt Warehouse Assistant Manager,Unilever,Supply Chain Leadership,Egypt,6th of October City,Available,2026-07-22,2026-07-24,Official Vacancy,A,80,https://careers.unilever.com/en/Egypt,Current official Unilever Egypt listing in warehouse and supply-chain leadership.
job-00008,"Operations City Manager, UAF",Amazon,Operations Leadership,Egypt,Cairo,Available,2026-07-02,2026-07-24,Official Vacancy,A,78,https://amazon.jobs/es/search?base_query=&country=EGY&loc_query=Egypt&sort=relevant,Amazon Job ID 10464467. Logistics and operational leadership.
job-00009,"Enterprise Architect, Data Integration and BI",Myers-Holum,Enterprise Architecture,Worldwide,Remote / location dependent,Available,,2026-07-20,Verified Vacancy,A,70,https://job-boards.greenhouse.io/mhi/jobs/6571212003,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00010,Solution/Enterprise Architect - Martech Consolidation,Exadel,Enterprise Architecture,Worldwide,Remote / contract,Available,,2026-07-20,Verified Vacancy,A,66,https://job-boards.greenhouse.io/externaljobboards/jobs/6109259004,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00011,Transformation Architect - Northern Europe,Zscaler,Enterprise Architecture,Worldwide,Remote Northern Europe,Available,,2026-07-20,Verified Vacancy,A,66,https://job-boards.greenhouse.io/zscaler/jobs/4998839007,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00012,Cloud Solutions Architect - Alliances,Canonical,Solution Architecture,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,64,https://canonical.com/careers/all?search=cloud,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00013,Lead Data Governance Engineer,Canonical,Data & Governance,Worldwide,EMEA Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,64,https://canonical.com/careers/all?search=App,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00014,Solution Architecture Manager,Canonical,Solution Architecture,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,62,https://canonical.com/careers/all?search=public+cloud,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00015,Solutions Architect for Automotive,Canonical,Solution Architecture,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,62,https://canonical.com/careers/all?search=cloud,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00016,Engineering Manager - Data Platform,Canonical,Data & Governance,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,61,https://canonical.com/careers/all?search=App,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00017,Cloud Field Engineering Manager,Canonical,IT Leadership,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,59,https://canonical.com/careers/all?search=cloud,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00018,Cloud Professional Services Manager,Canonical,IT Leadership,Worldwide,Worldwide Remote,Available,2026-07-20,2026-07-20,Verified Vacancy,A,59,https://canonical.com/careers/all?search=Home+based,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00019,Director of Enterprise Architecture,OneSource Virtual,Enterprise Architecture,United States,Remote / Verify,Expired,,2026-07-20,Platform-Indexed Vacancy,B,70,https://careers.ta.com/companies/onesource-virtual-2/jobs/69576711-director-of-enterprise-architecture,Confirm location and work authorization
job-00020,"Director, Solutions Architecture - Enterprise & Strategic",ClickHouse,Solution Architecture,United States,Remote-friendly,Expired,,2026-07-20,Platform-Indexed Vacancy,A,70,https://boards.greenhouse.io/clickhouse/jobs/6006037004,US role; remote-friendly company
job-00021,Enterprise and Solution Architect,Nagarro,Enterprise Architecture,Oman,Muscat,Possibly Available,2026-07-18,2026-07-20,Platform-Indexed Vacancy,B,70,https://om.linkedin.com/jobs/view/enterpise-and-solution-architect-at-nagarro-4436993214,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00022,"Senior Director, Enterprise Architecture",Foot Locker,Enterprise Architecture,United States,Fully remote,Expired,,2026-07-20,Platform-Indexed Vacancy,B,70,https://careers.footlocker.com/jobs/68535?lang=en-us,US only
job-00023,Data Solutions Presales Architect - English & French,Hewlett Packard Enterprise,Solution Architecture,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,69,https://www.linkedin.com/jobs/view/4340103624/,English and French required
job-00024,"Director, Digital Health and Informatics",Last Mile Health,Healthcare IT,Kenya,Kenya,Possibly Available,2026-07-06,2026-07-20,Platform-Indexed Vacancy,B,68,https://ke.linkedin.com/jobs/it-director-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
