title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
AXA Egypt,Composite Insurance,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://www.axa-egypt.com/en/careers,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Allianz Insurance Egypt,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.allianz.com.eg/en_GB/about-us/careers.html,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Allianz Life Assurance Egypt,Life Insurance,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.allianz.com.eg/en_GB/about-us/careers.html,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
MetLife Egypt,Life & Medical Insurance,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.metlife.com/about-us/careers/,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
GIG Egypt,Composite Insurance,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=GIG%20Egypt%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Misr Insurance,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://misrins.com.eg/,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Chubb Egypt,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,94,Official careers,A,2026-07-29,https://careers.chubb.com/global/en,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Misr Life Insurance,Life Insurance,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 1,94,Official careers,A,2026-07-29,https://www.misrlife.com/,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Egyptian Takaful Property & Liability,Takaful,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Egyptian%20Takaful%20Property%20%26%20Liability%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sarwa Insurance,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Sarwa%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Suez Canal Insurance,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Suez%20Canal%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Tokio Marine Egypt Family Takaful,Takaful Life,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 2,91,Official careers,A,2026-07-29,https://www.tokiomarine.com/eg/en/careers.html,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Tokio Marine General Takaful Egypt,Takaful,Egypt,Egypt,Insurance & InsurTech,Career Page Available,Priority 2,91,Official careers,A,2026-07-29,https://www.tokiomarine.com/eg/en/careers.html,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Delta Insurance,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Delta%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Egyptian Takaful Life,Takaful Life,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Egyptian%20Takaful%20Life%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Misr Takaful Insurance,Takaful,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Misr%20Takaful%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Mohandes Insurance,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Mohandes%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Salama Egypt,Takaful Life,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Salama%20Egypt%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sarwa Life Insurance,Life Insurance,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Sarwa%20Life%20Insurance%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
AROPE Insurance Egypt,Property & Casualty,Egypt,Egypt,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=AROPE%20Insurance%20Egypt%20Egypt&sortBy=DD,Licensed or major insurance employer in Egypt,"Licensed or major insurance employer in Egypt. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
