id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
5218,Enterprise Architect,LinkedIn,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Jordan&sortBy=DD
5219,Enterprise Architect,Indeed,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://www.indeed.com/jobs?q=Enterprise+Architect&l=Jordan&sort=date
5220,Enterprise Architect,Glassdoor,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Jordan%22+jobs
5221,Enterprise Architect,Jooble,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Jordan%22+jobs
5222,Enterprise Architect,Careerjet,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Jordan
5223,Enterprise Architect,Talent.com,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Enterprise+Architect&l=Jordan
5224,Enterprise Architect,Google Jobs,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Google job search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Enterprise+Architect+jobs+Jordan
5225,Enterprise Architect,Bayt,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Bayt,https://www.bayt.com/en/jordan/jobs/enterprise-architect-jobs/
5226,Enterprise Architect,Akhtaboot,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Akhtaboot,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Enterprise+Architect%22+%22Jordan%22+jobs
5227,Enterprise Architect,Tanqeeb,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Tanqeeb,https://www.google.com/search?q=site%3Atanqeeb.com+%22Enterprise+Architect%22+%22Jordan%22+jobs
5228,Enterprise Architect,Naukrigulf,Enterprise Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Enterprise Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Naukrigulf,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Enterprise+Architect%22+%22Jordan%22+jobs
5229,Solutions Architect,LinkedIn,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Solutions+Architect&location=Jordan&sortBy=DD
5230,Solutions Architect,Indeed,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://www.indeed.com/jobs?q=Solutions+Architect&l=Jordan&sort=date
5231,Solutions Architect,Glassdoor,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solutions+Architect%22+%22Jordan%22+jobs
5232,Solutions Architect,Jooble,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Solutions+Architect%22+%22Jordan%22+jobs
5233,Solutions Architect,Careerjet,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Solutions+Architect&l=Jordan
5234,Solutions Architect,Talent.com,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Solutions+Architect&l=Jordan
5235,Solutions Architect,Google Jobs,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Google job search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Solutions+Architect+jobs+Jordan
5236,Solutions Architect,Bayt,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Bayt,https://www.bayt.com/en/jordan/jobs/solutions-architect-jobs/
5237,Solutions Architect,Akhtaboot,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Akhtaboot,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Solutions+Architect%22+%22Jordan%22+jobs
5238,Solutions Architect,Tanqeeb,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Tanqeeb,https://www.google.com/search?q=site%3Atanqeeb.com+%22Solutions+Architect%22+%22Jordan%22+jobs
5239,Solutions Architect,Naukrigulf,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Solutions Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Naukrigulf,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solutions+Architect%22+%22Jordan%22+jobs
5240,Solution Architect,LinkedIn,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Solution+Architect&location=Jordan&sortBy=DD
5241,Solution Architect,Indeed,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://www.indeed.com/jobs?q=Solution+Architect&l=Jordan&sort=date
5242,Solution Architect,Glassdoor,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Solution+Architect%22+%22Jordan%22+jobs
5243,Solution Architect,Jooble,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Solution+Architect%22+%22Jordan%22+jobs
5244,Solution Architect,Careerjet,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Solution+Architect&l=Jordan
5245,Solution Architect,Talent.com,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Talent.com,https://www.talent.com/jobs?k=Solution+Architect&l=Jordan
5246,Solution Architect,Google Jobs,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Google job search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Google Jobs,https://www.google.com/search?q=Solution+Architect+jobs+Jordan
5247,Solution Architect,Bayt,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Direct platform search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Bayt,https://www.bayt.com/en/jordan/jobs/solution-architect-jobs/
5248,Solution Architect,Akhtaboot,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Akhtaboot,https://www.google.com/search?q=site%3Ajobs.akhtaboot.com+%22Solution+Architect%22+%22Jordan%22+jobs
5249,Solution Architect,Tanqeeb,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Tanqeeb,https://www.google.com/search?q=site%3Atanqeeb.com+%22Solution+Architect%22+%22Jordan%22+jobs
5250,Solution Architect,Naukrigulf,Solution Architecture,Arab Region,Jordan,Jordan,High,Available,Live search,2026-07-20,"Platform-indexed search for Solution Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Naukrigulf,https://www.google.com/search?q=site%3Anaukrigulf.com+%22Solution+Architect%22+%22Jordan%22+jobs
5251,Technical Architect,LinkedIn,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Technical Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Technical+Architect&location=Jordan&sortBy=DD
5252,Technical Architect,Indeed,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Technical Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Indeed,https://www.indeed.com/jobs?q=Technical+Architect&l=Jordan&sort=date
5253,Technical Architect,Glassdoor,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Technical Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Glassdoor,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Technical+Architect%22+%22Jordan%22+jobs
5254,Technical Architect,Jooble,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Platform-indexed search for Technical Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Jooble,https://www.google.com/search?q=site%3Ajooble.org+%22Technical+Architect%22+%22Jordan%22+jobs
5255,Technical Architect,Careerjet,Solution Architecture,Arab Region,Jordan,Jordan,Medium,Available,Live search,2026-07-20,"Direct platform search for Technical Architect in Jordan. Sort by newest on the platform and verify employer, date, location eligibility and application route.",Careerjet,https://www.careerjet.com/search/jobs?s=Technical+Architect&l=Jordan
