id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,sourceClass,coverage,specialism,accountRequired,alertsAvailable,rssUrl,reviewFrequency,priority,egyptEligibility,remoteScope,officialApplyPolicy,sourceRank,sourceGroup,careersLinkQuality,lifecycleStatus
source-001,United Nations Careers,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Official UN Secretariat vacancies. Other UN entities use their own portals.,Official multilateral careers,https://careers.un.org/jobs,Official multilateral careers,Global,UN Secretariat; ICT; management; development,Yes,RSS + account alerts,https://careers.un.org/jobfeed?isPage=true&language=en,Daily,High,International and national roles; check vacancy,Some roles remote; duty-station rules apply,Apply on official UN Careers portal,6,UN & Multilateral,Direct careers page,Active
source-002,UNDP Jobs,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Development; digital transformation; governance; programme technology. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://jobs.undp.org/cj_view_jobs.cfm?cur_lang=en,Official multilateral careers,Global,Development; digital transformation; governance; programme technology,Yes,Saved search / email,,Daily,High,"Egypt, Africa and international roles","Includes international, local and remote opportunities",Apply on official UNDP portal,6,UN & Multilateral,Direct careers page,Active
source-003,UNICEF Careers,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Children; health; digital; data; programme management. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://jobs.unicef.org/en-us/listing/,Official multilateral careers,Global,Children; health; digital; data; programme management,Optional,Email subscription,,Daily,High,"Egypt, MENA, Africa and international roles",Some consultancies are remote; restrictions vary,Apply on official UNICEF portal,6,UN & Multilateral,Direct careers page,Active
source-004,UNOPS Jobs,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Project services; infrastructure; procurement; IT; programme delivery. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://jobs.unops.org/,Official multilateral careers,Global,Project services; infrastructure; procurement; IT; programme delivery,Yes,Job alerts,,Daily,High,International and local roles; check nationality conditions,Some home-based opportunities,Apply on official UNOPS portal,6,UN & Multilateral,Direct careers page,Active
source-005,UNHCR Careers,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Refugee response; humanitarian operations; ICT; data. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://unhcr.wd3.myworkdayjobs.com/External,Official multilateral careers,Global,Refugee response; humanitarian operations; ICT; data,Yes,Account alerts,,Daily,High,International and national roles,Remote eligibility varies,Applications accepted through official UNHCR platform,6,UN & Multilateral,Direct careers page,Active
source-006,WHO Careers,Health & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Public health; digital health; data; operations; leadership. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://careers.who.int/careersection/ex/jobsearch.ftl?lang=en,Official multilateral careers,Global,Public health; digital health; data; operations; leadership,Yes,RSS + saved search,https://careers.who.int/careersection/ex/jobsearch.ftl?lang=en,Daily,High,"International Professional, National Professional and consultant roles",Some consultancies and assignments may be remote,Apply through WHO Stellis,6,Health & Multilateral,Direct careers page,Active
source-007,World Bank Group Careers,Development Finance,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Development finance; digital development; data; operations. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.worldbank.org/en/about/careers,Official multilateral careers,Global,Development finance; digital development; data; operations,Yes,Talent network / alerts,,2–3 days,High,Global recruitment; role-specific nationality rules,Some positions allow flexible work,Apply on World Bank Group careers portal,6,Development Finance,Direct careers page,Active
source-008,IFC Careers,Development Finance,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Private-sector development; investment; digital infrastructure. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.ifc.org/en/about/careers,Official multilateral careers,Global,Private-sector development; investment; digital infrastructure,Yes,Talent network,,Weekly,High,Global recruitment,Role-specific,Apply on IFC / World Bank Group portal,6,Development Finance,Direct careers page,Active
source-009,IOM Careers,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Migration; humanitarian; programme systems; data. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.iom.int/careers,Official multilateral careers,Global,Migration; humanitarian; programme systems; data,Yes,Vacancy alerts,,Daily,High,International and national posts,Role-specific,Apply through official IOM recruitment system,6,UN & Multilateral,Direct careers page,Active
source-010,African Union Careers,African Institutions,Job Source,Africa,Africa,Africa,High,Careers Page Available,,2026-07-21,Pan-African policy; digital transformation; administration; programmes. Review individual vacancy eligibility and deadline on the original listing.,Official regional institution,https://jobs.au.int/,Official regional institution,Africa,Pan-African policy; digital transformation; administration; programmes,Yes,Account alerts,,2–3 days,High,African Union member-state eligibility varies by role,Mostly duty-station based,Apply on AU official careers portal,6,African Institutions,Direct careers page,Active
source-011,African Development Bank Careers,Development Finance,Job Source,Africa,Africa,Africa,High,Careers Page Available,,2026-07-21,Development finance; digital; operations; consultants. Review individual vacancy eligibility and deadline on the original listing.,Official development bank,https://www.afdb.org/en/about-us/careers/current-vacancies,Official development bank,Africa,Development finance; digital; operations; consultants,Optional,RSS + email,https://www.afdb.org/en/vacancies/about-us/careers/current-vacancies/rss,2–3 days,High,International recruitment; role conditions vary,Mostly duty-station based,Apply on AfDB official portal,6,Development Finance,Direct careers page,Active
source-012,AfDB Consultant Vacancies,Development Consulting,Job Source,Africa,Africa,Africa,High,Careers Page Available,,2026-07-21,Consulting assignments; technical assistance. Review individual vacancy eligibility and deadline on the original listing.,Official development bank,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Official development bank,Africa,Consulting assignments; technical assistance,Optional,RSS + email,https://www.afdb.org/en/vacancies/about-us/careers/current-vacancies/consultants/news-and-events/rss,2–3 days,High,Consultant eligibility varies,Some assignments may include travel or remote inputs,Apply according to official notice,6,Development Consulting,Direct careers page,Active
source-013,Islamic Development Bank Careers,Development Finance,Job Source,MENA / Global,Global,Member countries,High,Careers Page Available,,2026-07-21,Development finance; technology; operations. Review individual vacancy eligibility and deadline on the original listing.,Official development bank,https://www.isdb.org/careers,Official development bank,Member countries,Development finance; technology; operations,Yes,Talent alerts,,Weekly,High,Member-country and role conditions vary,Mostly duty-station based,Apply on IsDB official portal,6,Development Finance,Direct careers page,Active
source-014,EBRD Careers,Development Finance,Job Source,EMEA,Global,EBRD regions,Medium,Careers Page Available,,2026-07-21,Banking; digital; infrastructure; operations. Review individual vacancy eligibility and deadline on the original listing.,Official development bank,https://www.ebrd.com/home/work-with-us/careers.html,Official development bank,EBRD regions,Banking; digital; infrastructure; operations,Yes,Job alerts,,Weekly,Medium,Role-specific,Hybrid/flexible depends on role,Apply on EBRD official portal,6,Development Finance,Direct careers page,Active
source-015,Africa CDC Careers,Health & African Institutions,Job Source,Africa,Africa,Africa,High,Careers Page Available,,2026-07-21,Public health; health security; digital health; data. Review individual vacancy eligibility and deadline on the original listing.,Official African public-health institution,https://africacdc.org/career/,Official African public-health institution,Africa,Public health; health security; digital health; data,Optional,Website updates,,Weekly,High,African and international roles vary,Mostly duty-station based,Apply through official Africa CDC notices,6,Health & African Institutions,Direct careers page,Active
source-016,UNFPA Jobs,UN & Multilateral,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Population; health; data; programme management. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.unfpa.org/jobs,Official multilateral careers,Global,Population; health; data; programme management,Yes,Job alerts,,Daily,High,International and national roles,Some consultancies remote,Apply on UNFPA official portal,6,UN & Multilateral,Direct careers page,Active
source-017,WFP Careers,UN & Humanitarian,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Humanitarian logistics; data; technology; programme operations. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.wfp.org/careers,Official multilateral careers,Global,Humanitarian logistics; data; technology; programme operations,Yes,Job alerts,,Daily,High,International and local roles,Role-specific,Apply on WFP official portal,6,UN & Humanitarian,Direct careers page,Active
source-018,FAO Employment,UN & Multilateral,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Agriculture; data; digital; operations; consultants. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.fao.org/employment/home/en/,Official multilateral careers,Global,Agriculture; data; digital; operations; consultants,Yes,Job alerts,,Weekly,Medium,International and national roles,Consultancies vary,Apply on FAO official portal,6,UN & Multilateral,Direct careers page,Active
source-019,ILO Jobs,UN & Multilateral,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Labour policy; digital systems; programme management. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://jobs.ilo.org/,Official multilateral careers,Global,Labour policy; digital systems; programme management,Yes,Job alerts,,Weekly,Medium,International and national roles,Role-specific,Apply on ILO official portal,6,UN & Multilateral,Direct careers page,Active
source-020,UNESCO Careers,UN & Multilateral,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Education; science; culture; digital; administration. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://careers.unesco.org/,Official multilateral careers,Global,Education; science; culture; digital; administration,Yes,Job alerts,,Weekly,Medium,International and local roles,Role-specific,Apply on UNESCO official portal,6,UN & Multilateral,Direct careers page,Active
source-021,UN Women Careers,UN & Multilateral,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Gender; programmes; data; operations. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://jobs.undp.org/cj_view_jobs.cfm?cur_org=UNWOMEN,Official multilateral careers,Global,Gender; programmes; data; operations,Yes,Email alerts,,Weekly,Medium,International and national roles,Some consultancies remote,Apply through official UN Women / UNDP jobs system,6,UN & Multilateral,Direct careers page,Active
source-022,UNEP Careers,UN & Multilateral,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Environment; digital; data; programme management. Review individual vacancy eligibility and deadline on the original listing.,Official multilateral careers,https://www.unep.org/work-with-us,Official multilateral careers,Global,Environment; digital; data; programme management,Optional,UN Careers alerts,,Weekly,Medium,Roles may be on UN Careers or partner portals,Role-specific,Use official UNEP work-with-us links,6,UN & Multilateral,Direct careers page,Active
source-023,Impactpool,Development Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,UN; NGO; EU; international development; senior roles. Review individual vacancy eligibility and deadline on the original listing.,Established specialist platform,https://www.impactpool.org/jobs,Established specialist platform,Global,UN; NGO; EU; international development; senior roles,Yes,Email alerts,,Daily,High,Filter by country and organization; verify role restrictions,Remote and home-based filters available,Apply on platform or linked official portal,5,Development Platforms,Direct careers page,Active
source-024,Devex Jobs,Development Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,International development; consulting; NGOs; donors. Review individual vacancy eligibility and deadline on the original listing.,Established specialist platform,https://www.devex.com/jobs,Established specialist platform,Global,International development; consulting; NGOs; donors,Yes,Email alerts,,Daily,High,Global; membership may affect access,Remote filter varies,Prefer linked official application page,5,Development Platforms,Direct careers page,Active
source-025,DevelopmentAid Jobs,Development Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,International development; experts; consulting; staff roles. Review individual vacancy eligibility and deadline on the original listing.,Established specialist platform,https://internationaljobs.developmentaid.org/,Established specialist platform,Global,International development; experts; consulting; staff roles,Yes,Early alerts,,Daily,High,Public and member-only listings,Remote and regional roles included,Easy Apply or redirect to official organization,5,Development Platforms,Direct careers page,Active
source-026,DevNetJobs,Development Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,NGO; development; consulting; humanitarian. Review individual vacancy eligibility and deadline on the original listing.,Established specialist platform,https://devnetjobs.org/,Established specialist platform,Global,NGO; development; consulting; humanitarian,Optional,Daily alerts / newsletter,,Daily,High,Global listings; some member-only details,Remote/regional listings included,Apply according to listing; verify employer,5,Development Platforms,Direct careers page,Active
source-027,ReliefWeb Jobs,Humanitarian Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Humanitarian; emergency; NGO; UN. Review individual vacancy eligibility and deadline on the original listing.,Official humanitarian platform,https://reliefweb.int/jobs,Official humanitarian platform,Global,Humanitarian; emergency; NGO; UN,No,RSS / filters,https://reliefweb.int/jobs/rss.xml,Daily,High,Global; check each employer requirement,Remote and roving roles included,Prefer employer application link,5,Humanitarian Platforms,Direct careers page,Active
source-028,Idealist,Nonprofit Platforms,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Nonprofit; social impact; foundations. Review individual vacancy eligibility and deadline on the original listing.,Established nonprofit platform,https://www.idealist.org/en/jobs,Established nonprofit platform,Global,Nonprofit; social impact; foundations,Yes,Email alerts,,Weekly,Medium,Many roles country-restricted,Remote filter available,Apply on platform or employer site,4,Nonprofit Platforms,Established search platform,Active
source-029,CharityJob,Nonprofit Platforms,Job Source,Europe,United Kingdom,United Kingdom,Medium,Careers Page Available,,2026-07-21,Charity; NGO; international development. Review individual vacancy eligibility and deadline on the original listing.,Established nonprofit platform,https://www.charityjob.co.uk/jobs,Established nonprofit platform,United Kingdom,Charity; NGO; international development,Yes,Email alerts,,Weekly,Low,Many roles require UK work authorization,UK-focused remote/hybrid,Apply on platform or employer site,4,Nonprofit Platforms,Established search platform,Active
source-030,Jobberman Nigeria,Africa Regional Boards,Job Source,West Africa,Nigeria,Nigeria,High,Careers Page Available,,2026-07-21,General; technology; healthcare; NGO; management. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.jobberman.com/jobs,Established regional job board,Nigeria,General; technology; healthcare; NGO; management,Yes,Email / browser notifications,,Weekly,High,Open to applicants eligible for Nigerian roles,Remote filter available,Platform applications and employer redirects,4,Africa Regional Boards,Established search platform,Active
source-031,Jobberman Ghana,Africa Regional Boards,Job Source,West Africa,Ghana,Ghana,Medium,Careers Page Available,,2026-07-21,General; technology; NGO; management. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.jobberman.com.gh/jobs,Established regional job board,Ghana,General; technology; NGO; management,Yes,Email alerts,,Weekly,Medium,Check Ghana work eligibility,Some remote listings,Platform applications and employer redirects,4,Africa Regional Boards,Established search platform,Active
source-032,BrighterMonday Kenya,Africa Regional Boards,Job Source,East Africa,Kenya,Kenya,High,Careers Page Available,,2026-07-21,General; technology; NGO; healthcare; management. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.brightermonday.co.ke/jobs,Established regional job board,Kenya,General; technology; NGO; healthcare; management,Yes,Hourly / daily / weekly alerts,,Weekly,High,Check Kenya or international eligibility,Remote filter available,Platform applications and employer redirects,4,Africa Regional Boards,Established search platform,Active
source-033,BrighterMonday Uganda,Africa Regional Boards,Job Source,East Africa,Uganda,Uganda,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; operations. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.brightermonday.co.ug/jobs,Established regional job board,Uganda,General; NGO; technology; operations,Yes,Email alerts,,Weekly,Medium,Check Uganda work eligibility,Some remote listings,Platform applications and employer redirects,4,Africa Regional Boards,Established search platform,Active
